,in,many,countries,",",what,kind,of,pay,gap,is,there,?
in,1.0,0.41474202275276184,0.3027990758419037,0.5201468467712402,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.14415781199932098,0.1954546719789505,0.5394441485404968,0.5361666083335876,0.20430970191955566
many,0.41474202275276184,0.9999999403953552,0.4298940598964691,0.40610817074775696,0.36131182312965393,0.3219348192214966,0.37253960967063904,0.21472592651844025,0.15930962562561035,0.2649032473564148,0.4993700683116913,0.2124512493610382
countries,0.3027990758419037,0.4298940598964691,0.9999999403953552,0.2966555655002594,0.22319257259368896,0.21813634037971497,0.2800094783306122,0.30859214067459106,0.15931865572929382,0.254234254360199,0.31948450207710266,0.15128466486930847
",",0.5201468467712402,0.40610817074775696,0.2966555655002594,1.0000001192092896,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.18754567205905914,0.213828906416893,0.4691906273365021,0.4587128460407257,0.31091248989105225
there,0.5361666083335876,0.4993700683116913,0.31948450207710266,0.4587128460407257,0.35085538029670715,0.29799365997314453,0.44397735595703125,0.1666414886713028,0.2424214631319046,0.3904260993003845,1.0,0.29405656456947327
is,0.5394441485404968,0.2649032473564148,0.254234254360199,0.4691906273365021,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.12657347321510315,0.19868990778923035,1.0,0.3904260993003845,0.22961433231830597
a,0.539380669593811,0.2872205972671509,0.2672088146209717,0.427140474319458,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.1940600425004959,0.22175835072994232,0.658733606338501,0.4214206337928772,0.23916715383529663
gender,0.20639578998088837,0.21478547155857086,0.2715521454811096,0.21584902703762054,0.2898462414741516,0.23659729957580566,0.20023681223392487,0.15415158867835999,0.14767587184906006,0.17580533027648926,0.17788800597190857,0.22791960835456848
pay,0.14415781199932098,0.21472592651844025,0.30859214067459106,0.18754567205905914,0.2870062291622162,0.09387102723121643,0.1583462655544281,1.0,0.1660258173942566,0.12657347321510315,0.1666414886713028,0.19821009039878845
gap,0.1954546719789505,0.15930962562561035,0.15931865572929382,0.213828906416893,0.17691411077976227,0.08882535994052887,0.2172139286994934,0.1660258173942566,0.9999999403953552,0.19868990778923035,0.2424214631319046,0.09251954406499863
in,1.0,0.41474202275276184,0.3027990758419037,0.5201468467712402,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.14415781199932098,0.1954546719789505,0.5394441485404968,0.5361666083335876,0.20430970191955566
favor,0.2092810571193695,0.14624309539794922,0.17828509211540222,0.2809197008609772,0.28772833943367004,0.13610972464084625,0.25472742319107056,0.17782552540302277,0.10322234779596329,0.19178210198879242,0.16837330162525177,0.17767609655857086
of,0.5696388483047485,0.37253960967063904,0.2800094783306122,0.4946078956127167,0.33290785551071167,0.2285657674074173,1.0,0.1583462655544281,0.2172139286994934,0.4854315221309662,0.44397735595703125,0.1826142966747284
males,0.15003740787506104,0.17493151128292084,0.2544423043727875,0.188463494181633,0.13452015817165375,0.13081449270248413,0.18199875950813293,0.16779902577400208,0.17132596671581268,0.19300204515457153,0.25754591822624207,0.16612517833709717
in,1.0,0.41474202275276184,0.3027990758419037,0.5201468467712402,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.14415781199932098,0.1954546719789505,0.5394441485404968,0.5361666083335876,0.20430970191955566
the,0.6662389636039734,0.4335206151008606,0.33290645480155945,0.4933079481124878,0.42745697498321533,0.2516445517539978,0.733189046382904,0.1903611719608307,0.27986636757850647,0.5823672413825989,0.47025805711746216,0.22068053483963013
labor,0.1950610727071762,0.15743814408779144,0.21448670327663422,0.2110631912946701,0.1943984031677246,0.06837394088506699,0.23769748210906982,0.281541645526886,0.06279081851243973,0.13817991316318512,0.11927588284015656,0.19386747479438782
market,0.27003997564315796,0.2502439022064209,0.24953775107860565,0.2499394416809082,0.12116116285324097,0.15619608759880066,0.1694333702325821,0.22201301157474518,0.1379002332687378,0.2463478147983551,0.22767995297908783,0.12805593013763428
.,0.5591574311256409,0.3974229395389557,0.27938392758369446,0.6812511086463928,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.17372290790081024,0.17168964445590973,0.4569662809371948,0.43897318840026855,0.4130953550338745
,in,many,countries,",",what,kind,of,pay,gap,is,there,?
the,0.6662389636039734,0.4335206151008606,0.33290645480155945,0.4933079481124878,0.42745697498321533,0.2516445517539978,0.733189046382904,0.1903611719608307,0.27986636757850647,0.5823672413825989,0.47025805711746216,0.22068053483963013
income,0.1795814335346222,0.22169648110866547,0.2989959716796875,0.19703416526317596,0.21837803721427917,0.11950460821390152,0.2581324577331543,0.4039134979248047,0.24564556777477264,0.14559021592140198,0.2881235182285309,0.14935168623924255
gap,0.1954546719789505,0.15930962562561035,0.15931865572929382,0.213828906416893,0.17691411077976227,0.08882535994052887,0.2172139286994934,0.1660258173942566,0.9999999403953552,0.19868990778923035,0.2424214631319046,0.09251954406499863
in,1.0,0.41474202275276184,0.3027990758419037,0.5201468467712402,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.14415781199932098,0.1954546719789505,0.5394441485404968,0.5361666083335876,0.20430970191955566
other,0.39989137649536133,0.6324484348297119,0.42453643679618835,0.4446498453617096,0.341873437166214,0.2729318141937256,0.38583824038505554,0.2491520196199417,0.2026313990354538,0.25895947217941284,0.5342466235160828,0.24682199954986572
