,who,won,the,battle,near,the,helan,mountains,?
one,0.40083858370780945,0.22625021636486053,0.5514441132545471,0.20512545108795166,0.19300477206707,0.5514441132545471,0.18050949275493622,0.19572226703166962,0.2673267424106598
of,0.2827862501144409,0.20832067728042603,0.733189046382904,0.2291749268770218,0.2651676535606384,0.733189046382904,0.1272287666797638,0.22132478654384613,0.1826142966747284
the,0.3733934462070465,0.29432493448257446,1.0,0.2820790410041809,0.2879819869995117,1.0,0.19335336983203888,0.27269288897514343,0.22068053483963013
tangut,0.16115117073059082,0.1601579785346985,0.300812304019928,0.17513079941272736,0.2092408984899521,0.300812304019928,0.34059515595436096,0.2766117751598358,0.157356396317482
generals,0.2792568504810333,0.2395658940076828,0.27897581458091736,0.3690282702445984,0.13483676314353943,0.27897581458091736,0.1052652969956398,0.20301127433776855,0.16273394227027893
challenged,0.31148815155029297,0.3523786962032318,0.2500322163105011,0.2257043421268463,0.05845380201935768,0.2500322163105011,0.13110119104385376,0.11045249551534653,0.224136084318161
the,0.3733934462070465,0.29432493448257446,1.0,0.2820790410041809,0.2879819869995117,1.0,0.19335336983203888,0.27269288897514343,0.22068053483963013
mongols,0.2709572911262512,0.2110661119222641,0.310281366109848,0.33253735303878784,0.1941196471452713,0.310281366109848,0.1417282074689865,0.2756894528865814,0.11517509818077087
to,0.42656609416007996,0.1945943981409073,0.535392165184021,0.17405389249324799,0.2456841915845871,0.535392165184021,0.14877445995807648,0.2097938507795334,0.29463258385658264
a,0.36608949303627014,0.22534137964248657,0.5829201340675354,0.1176733672618866,0.25033900141716003,0.5829201340675354,0.23052449524402618,0.1995611935853958,0.23916715383529663
battle,0.16377700865268707,0.20552633702754974,0.2820790410041809,1.0000001192092896,0.26103419065475464,0.2820790410041809,0.13953405618667603,0.17670375108718872,0.1680624783039093
near,0.08319083601236343,0.09647924453020096,0.2879819869995117,0.26103419065475464,1.0000001192092896,0.2879819869995117,0.10008928179740906,0.3309731185436249,0.10734958201646805
helan,0.27148857712745667,0.17890740931034088,0.19335336983203888,0.13953405618667603,0.10008928179740906,0.19335336983203888,1.0,0.19730615615844727,0.13546627759933472
mountains,0.17478840053081512,0.1685287207365036,0.27269288897514343,0.17670375108718872,0.3309731185436249,0.27269288897514343,0.19730615615844727,1.0000001192092896,0.08633821457624435
but,0.4487357437610626,0.24738717079162598,0.4859698414802551,0.19603469967842102,0.1911310851573944,0.4859698414802551,0.15826278924942017,0.2175551950931549,0.27921953797340393
was,0.3318818509578705,0.35383549332618713,0.48711544275283813,0.23319749534130096,0.1933041363954544,0.48711544275283813,0.23373036086559296,0.15521857142448425,0.18412111699581146
defeated,0.24426424503326416,0.4306989014148712,0.2833898365497589,0.46693575382232666,0.13697771728038788,0.2833898365497589,0.11814390867948532,0.16375194489955902,0.1413237303495407
.,0.3541337847709656,0.3011801838874817,0.5934505462646484,0.1661834716796875,0.2532462477684021,0.5934505462646484,0.1821666806936264,0.1869059056043625,0.4130953550338745
