,what,did,article,65,of,the,ecsc,ban,?
article,0.40514686703681946,0.27629354596138,0.9999999403953552,0.20205532014369965,0.25720444321632385,0.3329811692237854,0.17780648171901703,0.3200305998325348,0.4948462247848511
65,0.1392022669315338,0.11888891458511353,0.20205532014369965,1.0,0.16624827682971954,0.1360354721546173,0.14081113040447235,0.15804113447666168,0.1632431149482727
of,0.33290785551071167,0.2513895630836487,0.25720444321632385,0.16624827682971954,1.0,0.733189046382904,0.22802619636058807,0.15118597447872162,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.3329811692237854,0.1360354721546173,0.733189046382904,1.0,0.19419440627098083,0.1830999106168747,0.22068053483963013
agreement,0.2851087749004364,0.2812501788139343,0.26174482703208923,0.12457997351884842,0.21259461343288422,0.2490699142217636,0.11377882212400436,0.2894086241722107,0.15830197930335999
banned,0.28035780787467957,0.3102046251296997,0.2946382164955139,0.12290376424789429,0.19701224565505981,0.2399827241897583,0.14740969240665436,0.6187858581542969,0.3147534728050232
cartels,0.2161150425672531,0.2536974549293518,0.18471325933933258,0.1452212780714035,0.2859932482242584,0.2566133141517639,0.24100063741207123,0.209253191947937,0.1410376876592636
and,0.31309178471565247,0.34479495882987976,0.23647621273994446,0.10020112991333008,0.5116966962814331,0.5171257257461548,0.2803400456905365,0.15939861536026,0.20544172823429108
article,0.40514686703681946,0.27629354596138,0.9999999403953552,0.20205532014369965,0.25720444321632385,0.3329811692237854,0.17780648171901703,0.3200305998325348,0.4948462247848511
66,-0.03193807974457741,0.002702066209167242,-0.018929583951830864,-0.05763516575098038,-0.032907720655202866,-0.01815365068614483,-0.02613392286002636,-0.13549171388149261,-0.056611161679029465
made,0.23419176042079926,0.3068731725215912,0.180598646402359,0.07884996384382248,0.33167365193367004,0.3885267674922943,0.09901932626962662,0.18117213249206543,0.17218779027462006
provisions,0.2471846491098404,0.28340375423431396,0.31265199184417725,0.18730969727039337,0.2910953760147095,0.28538835048675537,0.1431247442960739,0.31192341446876526,0.22902937233448029
for,0.3017193675041199,0.318512886762619,0.31357312202453613,0.03512706980109215,0.4185989499092102,0.4739971458911896,0.2351102977991104,0.2181331366300583,0.264628142118454
concentrations,0.21233819425106049,0.18700706958770752,0.11355304718017578,0.07797730714082718,0.2697436809539795,0.24966663122177124,0.21231594681739807,0.15468446910381317,0.12325159460306168
",",0.3087472915649414,0.3015086054801941,0.28605279326438904,0.17741325497627258,0.4946078956127167,0.4933079481124878,0.2637556493282318,0.2151244729757309,0.31091248989105225
or,0.33867141604423523,0.28211739659309387,0.28299111127853394,0.09955866634845734,0.3792596757411957,0.4174870550632477,0.23182667791843414,0.19212977588176727,0.32389625906944275
mergers,0.18053722381591797,0.1612216830253601,0.2775726914405823,-0.06287936866283417,0.20111000537872314,0.2736377418041229,0.17492446303367615,0.2275073230266571,0.1755273938179016
",",0.3087472915649414,0.3015086054801941,0.28605279326438904,0.17741325497627258,0.4946078956127167,0.4933079481124878,0.2637556493282318,0.2151244729757309,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.23647621273994446,0.10020112991333008,0.5116966962814331,0.5171257257461548,0.2803400456905365,0.15939861536026,0.20544172823429108
the,0.42745697498321533,0.34736719727516174,0.3329811692237854,0.1360354721546173,0.733189046382904,1.0,0.19419440627098083,0.1830999106168747,0.22068053483963013
abuse,0.32149311900138855,0.23320788145065308,0.2380969375371933,0.17468330264091492,0.1888238936662674,0.18934819102287292,0.1703851819038391,0.3182263672351837,0.30148282647132874
of,0.33290785551071167,0.2513895630836487,0.25720444321632385,0.16624827682971954,1.0,0.733189046382904,0.22802619636058807,0.15118597447872162,0.1826142966747284
a,0.3320399522781372,0.2552328109741211,0.30913418531417847,0.14771664142608643,0.5052502155303955,0.5829201340675354,0.19252359867095947,0.2223033905029297,0.23916715383529663
dominant,0.21783894300460815,0.12949931621551514,0.12067847698926926,0.10076108574867249,0.3018357455730438,0.3743239641189575,0.2168886661529541,0.07551291584968567,0.07625212520360947
position,0.22031237185001373,0.2170831561088562,0.2100917249917984,0.16770991683006287,0.23636478185653687,0.3183514177799225,0.14590471982955933,0.18615950644016266,0.15529610216617584
by,0.2455483376979828,0.18574509024620056,0.22247393429279327,0.20121151208877563,0.3646814823150635,0.4408751428127289,0.13131196796894073,0.10889872163534164,0.17966607213020325
companies,0.20801754295825958,0.22622764110565186,0.20708860456943512,0.05028676614165306,0.22608543932437897,0.26917189359664917,0.12453754246234894,0.1319897174835205,0.14365637302398682
.,0.3567904531955719,0.35288307070732117,0.30669885873794556,0.13656707108020782,0.5352458953857422,0.5934505462646484,0.37300917506217957,0.20274263620376587,0.4130953550338745
