,why,were,johann,esch,and,heinrich,voes,executed,by,the,catholic,church,?
this,0.5040162205696106,0.25469228625297546,0.16754618287086487,0.16893760859966278,0.42353692650794983,0.1939058154821396,0.22472138702869415,0.1561034619808197,0.38438332080841064,0.6274310946464539,0.23315472900867462,0.18826861679553986,0.3155723512172699
behavior,0.3027920424938202,0.1433735340833664,0.07926450669765472,0.11538484692573547,0.22840261459350586,0.15302665531635284,0.113559789955616,0.13685493171215057,0.18637770414352417,0.2124595195055008,0.13630899786949158,0.05970567464828491,0.20805177092552185
started,0.18627730011940002,0.3347722291946411,0.16849441826343536,0.14310385286808014,0.2649672031402588,0.20245613157749176,0.22587646543979645,0.13692882657051086,0.24540266394615173,0.3222070634365082,0.1885545700788498,0.20759637653827667,0.19447724521160126
with,0.24107445776462555,0.3179011940956116,0.1721423864364624,0.19710782170295715,0.5477725267410278,0.10377375036478043,0.2694065272808075,0.16588449478149414,0.39731505513191223,0.4223487675189972,0.2027006596326828,0.17961077392101288,0.2433311939239502
his,0.19196097552776337,0.3142043352127075,0.2528531551361084,0.14995816349983215,0.4234102666378021,0.27715355157852173,0.2654341161251068,0.16000033915042877,0.3107621967792511,0.4394008219242096,0.2545863091945648,0.20669284462928772,0.18075084686279297
learning,0.2652290165424347,0.12278090417385101,0.15393275022506714,0.20010288059711456,0.2687397301197052,0.10268748551607132,0.20714198052883148,0.2294943630695343,0.18080872297286987,0.2504628002643585,0.15613673627376556,0.1535884588956833,0.25810256600379944
of,0.28464117646217346,0.34038281440734863,0.19805940985679626,0.24286475777626038,0.5116966962814331,0.21753917634487152,0.264090359210968,0.22732853889465332,0.3646814823150635,0.733189046382904,0.3452084958553314,0.3079429268836975,0.1826142966747284
the,0.30742117762565613,0.3906462490558624,0.1716882735490799,0.2576843202114105,0.5171257257461548,0.22804324328899384,0.3069547414779663,0.16640569269657135,0.4408751428127289,1.0,0.26391419768333435,0.23846197128295898,0.22068053483963013
execution,0.16195771098136902,0.2651183605194092,0.11424393206834793,0.15496927499771118,0.16205447912216187,0.15950290858745575,0.08292409032583237,0.763512372970581,0.2716760039329529,0.2074618637561798,0.2199852466583252,0.2552081346511841,0.15878841280937195
of,0.28464117646217346,0.34038281440734863,0.19805940985679626,0.24286475777626038,0.5116966962814331,0.21753917634487152,0.264090359210968,0.22732853889465332,0.3646814823150635,0.733189046382904,0.3452084958553314,0.3079429268836975,0.1826142966747284
johann,0.15220166742801666,0.20254716277122498,0.9999998807907104,0.3386606276035309,0.22396446764469147,0.5721694231033325,0.28347307443618774,0.16236329078674316,0.23808029294013977,0.1716882735490799,0.25915196537971497,0.23930971324443817,0.1194499209523201
