,how,do,students,learn,about,the,church,?
in,0.2601168751716614,0.23402775824069977,0.2676171064376831,0.18581099808216095,0.39797019958496094,0.6662389636039734,0.2493300437927246,0.20430970191955566
confirmation,0.24829088151454926,0.2970002293586731,0.21848097443580627,0.16561850905418396,0.2451794445514679,0.3052189350128174,0.2546837329864502,0.38350698351860046
and,0.33647966384887695,0.276123583316803,0.28111961483955383,0.266887903213501,0.3875081241130829,0.5171257257461548,0.1976170688867569,0.20544172823429108
membership,0.18317247927188873,0.14780209958553314,0.3699977397918701,0.14345963299274445,0.16004373133182526,0.2937599718570709,0.25890153646469116,0.15225854516029358
preparation,0.25317689776420593,0.22272975742816925,0.24867358803749084,0.21104417741298676,0.20455893874168396,0.3215954303741455,0.23337262868881226,0.12383629381656647
classes,0.27750828862190247,0.2632409930229187,0.4321373403072357,0.2828957736492157,0.17572610080242157,0.21469499170780182,0.18571561574935913,0.14397528767585754
",",0.22659391164779663,0.3283645510673523,0.26501646637916565,0.21191197633743286,0.3877100944519043,0.4933079481124878,0.2707274258136749,0.31091248989105225
students,0.25370386242866516,0.23736460506916046,1.0,0.44932475686073303,0.2952730655670166,0.25268980860710144,0.23784731328487396,0.18017297983169556
learn,0.45361876487731934,0.360649049282074,0.44932475686073303,1.0000001192092896,0.3319457173347473,0.2269158810377121,0.1476324498653412,0.3118754029273987
about,0.44264400005340576,0.3183841109275818,0.2952730655670166,0.3319457173347473,1.0,0.37995871901512146,0.21815736591815948,0.302409827709198
church,0.10719848424196243,0.13028843700885773,0.23784731328487396,0.1476324498653412,0.21815736591815948,0.23846197128295898,0.9999999403953552,0.18081501126289368
and,0.33647966384887695,0.276123583316803,0.28111961483955383,0.266887903213501,0.3875081241130829,0.5171257257461548,0.1976170688867569,0.20544172823429108
the,0.33890387415885925,0.30239659547805786,0.25268980860710144,0.2269158810377121,0.37995871901512146,1.0,0.23846197128295898,0.22068053483963013
methodist-christian,0.1448247879743576,0.19252915680408478,0.32122206687927246,0.17036083340644836,0.2118881195783615,0.23100219666957855,0.5924889445304871,0.18710531294345856
theological,0.1742677241563797,0.15521569550037384,0.3111730217933655,0.1923224925994873,0.22997520864009857,0.24311421811580658,0.48776403069496155,0.13711953163146973
tradition,0.17727917432785034,0.17767345905303955,0.23705486953258514,0.23400191962718964,0.2013360559940338,0.2632053792476654,0.3398995101451874,0.15717756748199463
in,0.2601168751716614,0.23402775824069977,0.2676171064376831,0.18581099808216095,0.39797019958496094,0.6662389636039734,0.2493300437927246,0.20430970191955566
order,0.22134430706501007,0.20566318929195404,0.1669643670320511,0.1698320508003235,0.18215838074684143,0.3284194767475128,0.16521160304546356,0.13725648820400238
to,0.44169697165489197,0.38876664638519287,0.2905822694301605,0.3487244248390198,0.391953706741333,0.535392165184021,0.24439501762390137,0.29463258385658264
