,how,many,men,older,than,18,are,there,for,every,100,women,?
for,0.3308170735836029,0.40972793102264404,0.25245723128318787,0.24448262155056,0.30793827772140503,-0.09931658953428268,0.3895993232727051,0.3728419542312622,0.9999999403953552,0.35918429493904114,0.1286492645740509,0.255394846200943,0.264628142118454
every,0.31805798411369324,0.3416140377521515,0.22678831219673157,0.16030734777450562,0.31630176305770874,-0.09264566749334335,0.3086106479167938,0.35443365573883057,0.35918429493904114,1.0,0.23187479376792908,0.2142001837491989,0.24066033959388733
100,0.16096413135528564,0.19939450919628143,0.18166527152061462,0.2041625827550888,0.18874500691890717,-0.05767837166786194,0.20713256299495697,0.15774992108345032,0.1286492645740509,0.23187479376792908,1.0,0.13797272741794586,0.19397632777690887
females,0.1940392255783081,0.17830140888690948,0.3757508099079132,0.2771679759025574,0.32938238978385925,-0.06034861132502556,0.29603311419487,0.2638246715068817,0.23470592498779297,0.2762899696826935,0.17268645763397217,0.3658827245235443,0.20584076642990112
age,0.17137715220451355,0.17488515377044678,0.2107812613248825,0.38801634311676025,0.16086430847644806,-0.027373259887099266,0.1542336493730545,0.225858673453331,0.23129768669605255,0.15062937140464783,0.04645305871963501,0.20069469511508942,0.16859300434589386
18,-0.03501921147108078,-0.0017783388029783964,0.04793737828731537,-0.020833542570471764,-0.09327849000692368,0.9999999403953552,-0.09796016663312912,-0.1199415922164917,-0.09931658953428268,-0.09264566749334335,-0.05767837166786194,0.0092036547139287,-0.04919438064098358
and,0.33647966384887695,0.5296266674995422,0.30918097496032715,0.3224782347679138,0.39361441135406494,-0.07680561393499374,0.48576638102531433,0.4242868423461914,0.5064792633056641,0.26607486605644226,0.1960631012916565,0.24605001509189606,0.20544172823429108
over,0.31446483731269836,0.47131630778312683,0.16993573307991028,0.19901801645755768,0.4074564576148987,-0.07699614018201828,0.2778770923614502,0.33811676502227783,0.3419422209262848,0.3796350955963135,0.133681058883667,0.15232501924037933,0.25742942094802856
",",0.22659391164779663,0.40610817074775696,0.2249656766653061,0.2598324418067932,0.3371901512145996,-0.03270421177148819,0.4062570035457611,0.4587128460407257,0.4464869201183319,0.25988471508026123,0.10963409394025803,0.18865817785263062,0.31091248989105225
there,0.3328511416912079,0.4993700683116913,0.2347530722618103,0.22046199440956116,0.4433900713920593,-0.1199415922164917,0.5433560013771057,1.0,0.3728419542312622,0.35443365573883057,0.15774992108345032,0.21169641613960266,0.29405656456947327
were,0.2082374095916748,0.4804460406303406,0.3566102683544159,0.2536395192146301,0.2885614037513733,-0.09013911336660385,0.6489362716674805,0.4359818994998932,0.33592689037323,0.2038871794939041,0.25621604919433594,0.3062214255332947,0.17890112102031708
91.3,0.09364119172096252,0.09839865565299988,0.0660691186785698,0.03919881954789162,0.2067076563835144,-0.0766628161072731,0.23298202455043793,0.2010681927204132,0.09073347598314285,0.24999013543128967,0.11000528931617737,0.04845123738050461,0.007056659087538719
males,0.21035175025463104,0.17493151128292084,0.37645211815834045,0.2782593071460724,0.3141571879386902,-0.07868095487356186,0.2880372405052185,0.25754591822624207,0.20889709889888763,0.2774178087711334,0.18647857010364532,0.32193198800086975,0.16612517833709717
.,0.3287222981452942,0.3974229395389557,0.25083568692207336,0.27821221947669983,0.3594527542591095,-0.05821654945611954,0.3452940285205841,0.43897318840026855,0.4726039469242096,0.3150964379310608,0.22238291800022125,0.2560822069644928,0.4130953550338745
