,what,were,tyneside,flats,built,as,?
tyneside,0.22811484336853027,0.2807382047176361,0.9999999403953552,0.24242188036441803,0.3841553330421448,0.307264506816864,0.10805024206638336
flats,0.15326234698295593,0.21403755247592926,0.24242188036441803,1.0,0.2795415222644806,0.14689214527606964,0.0691165030002594
were,0.22298263013362885,1.0000001192092896,0.2807382047176361,0.21403755247592926,0.31323960423469543,0.3025437891483307,0.17890112102031708
built,0.1554843783378601,0.31323960423469543,0.3841553330421448,0.2795415222644806,1.0000001192092896,0.20560723543167114,0.09449632465839386
as,0.31749409437179565,0.3025437891483307,0.307264506816864,0.14689214527606964,0.20560723543167114,1.0,0.27043893933296204
terraces,0.10560622066259384,0.252475768327713,0.3413095474243164,0.4170325696468353,0.35189005732536316,0.164165198802948,0.07399796694517136
",",0.3087472915649414,0.36755475401878357,0.2570286989212036,0.2111331820487976,0.22658206522464752,0.48816442489624023,0.31091248989105225
one,0.376489520072937,0.3453167676925659,0.24258430302143097,0.21977047622203827,0.2806268632411957,0.3954789340496063,0.2673267424106598
of,0.33290785551071167,0.34038281440734863,0.3008047938346863,0.1872427761554718,0.23442776501178741,0.3886612355709076,0.1826142966747284
each,0.3353266417980194,0.23227569460868835,0.23643124103546143,0.2376497983932495,0.16186732053756714,0.27854636311531067,0.21173812448978424
pair,0.1797199696302414,0.21414707601070404,0.16867828369140625,0.16712753474712372,0.1488913744688034,0.21515923738479614,0.11695868521928787
of,0.33290785551071167,0.34038281440734863,0.3008047938346863,0.1872427761554718,0.23442776501178741,0.3886612355709076,0.1826142966747284
doors,0.17951326072216034,0.2701701819896698,0.33344411849975586,0.34807097911834717,0.35021844506263733,0.2025960087776184,0.12192773818969727
led,0.12112844735383987,0.3353847861289978,0.2318984568119049,0.0635596513748169,0.24688881635665894,0.20535489916801453,0.09273858368396759
to,0.455847829580307,0.31913647055625916,0.2941407263278961,0.20626147091388702,0.2183011770248413,0.42092081904411316,0.29463258385658264
an,0.2821882665157318,0.08893381804227829,0.21408206224441528,0.10249200463294983,0.11691489815711975,0.37218472361564636,0.19793890416622162
upstairs,0.211111918091774,0.2554738521575928,0.3509206473827362,0.33971062302589417,0.31648439168930054,0.2618165910243988,0.1557307094335556
flat,0.18158896267414093,0.20836441218852997,0.20414680242538452,0.6728585958480835,0.20031943917274475,0.12696081399917603,0.10332070291042328
while,0.35511791706085205,0.3084527552127838,0.297529399394989,0.15684016048908234,0.12745101749897003,0.4165958762168884,0.21076419949531555
the,0.42745697498321533,0.3906462490558624,0.33988526463508606,0.2048041820526123,0.2950156033039093,0.48381632566452026,0.22068053483963013
other,0.341873437166214,0.4041554927825928,0.24160343408584595,0.21166183054447174,0.18388311564922333,0.42805421352386475,0.24682199954986572
led,0.12112844735383987,0.3353847861289978,0.2318984568119049,0.0635596513748169,0.24688881635665894,0.20535489916801453,0.09273858368396759
into,0.2180619090795517,0.2657007873058319,0.17734462022781372,0.14092084765434265,0.13573531806468964,0.24094121158123016,0.15662476420402527
the,0.42745697498321533,0.3906462490558624,0.33988526463508606,0.2048041820526123,0.2950156033039093,0.48381632566452026,0.22068053483963013
ground-floor,0.2469082772731781,0.18495024740695953,0.3284691870212555,0.3640817701816559,0.3192427456378937,0.23777788877487183,0.21315284073352814
flat,0.18158896267414093,0.20836441218852997,0.20414680242538452,0.6728585958480835,0.20031943917274475,0.12696081399917603,0.10332070291042328
",",0.3087472915649414,0.36755475401878357,0.2570286989212036,0.2111331820487976,0.22658206522464752,0.48816442489624023,0.31091248989105225
each,0.3353266417980194,0.23227569460868835,0.23643124103546143,0.2376497983932495,0.16186732053756714,0.27854636311531067,0.21173812448978424
of,0.33290785551071167,0.34038281440734863,0.3008047938346863,0.1872427761554718,0.23442776501178741,0.3886612355709076,0.1826142966747284
two,0.23363454639911652,0.4493520259857178,0.23061531782150269,0.22440741956233978,0.2191213220357895,0.3029302954673767,0.19645625352859497
or,0.33867141604423523,0.3389680087566376,0.27051877975463867,0.24075554311275482,0.1842118501663208,0.4400654137134552,0.32389625906944275
three,0.24888746440410614,0.38429051637649536,0.21120543777942657,0.21148371696472168,0.2060295194387436,0.23234014213085175,0.20928427577018738
rooms,0.15047875046730042,0.31975069642066956,0.19764330983161926,0.2926693260669708,0.3855975866317749,0.19043634831905365,0.11765021830797195
.,0.3567904531955719,0.3378238379955292,0.23986637592315674,0.1717451959848404,0.2374027520418167,0.515582263469696,0.4130953550338745
