,how,many,people,was,the,cm,designed,to,carry,in,the,end,?
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.48711544275283813,1.0,0.1848733276128769,0.2559613883495331,0.535392165184021,0.26752355694770813,0.6662389636039734,1.0,0.39658910036087036,0.22068053483963013
command,0.17853301763534546,0.17804791033267975,0.14306160807609558,0.22477014362812042,0.27488255500793457,0.10887647420167923,0.18784190714359283,0.25119054317474365,0.16683495044708252,0.18293465673923492,0.27488255500793457,0.18871359527111053,0.13402260839939117
module,0.21929074823856354,0.14934542775154114,0.12952078878879547,0.09592796117067337,0.15147453546524048,-0.005161388777196407,0.15687674283981323,0.17751087248325348,0.20771603286266327,0.0937533974647522,0.15147453546524048,0.08509755879640579,0.2131270468235016
(,0.1676948219537735,0.1455259770154953,0.17817604541778564,0.2980341613292694,0.33289089798927307,0.22482873499393463,0.1161717101931572,0.30882009863853455,0.1326606422662735,0.3087427020072937,0.33289089798927307,0.21691228449344635,0.40561532974243164
cm,0.22115537524223328,0.12452545762062073,0.08737942576408386,0.15153862535953522,0.1848733276128769,0.9999999403953552,0.13665771484375,0.16218599677085876,0.18016472458839417,0.14218971133232117,0.1848733276128769,0.0762358084321022,0.22839917242527008
),0.17939934134483337,0.16602720320224762,0.18634183704853058,0.3267642855644226,0.3456730246543884,0.22564169764518738,0.08523888885974884,0.31236231327056885,0.1394006609916687,0.3326910734176636,0.3456730246543884,0.2439398169517517,0.42300865054130554
was,0.16678167879581451,0.260356068611145,0.2518421411514282,1.0000001192092896,0.48711544275283813,0.15153862535953522,0.28384989500045776,0.3636345863342285,0.1526157259941101,0.45514053106307983,0.48711544275283813,0.19220198690891266,0.18412111699581146
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.48711544275283813,1.0,0.1848733276128769,0.2559613883495331,0.535392165184021,0.26752355694770813,0.6662389636039734,1.0,0.39658910036087036,0.22068053483963013
conical,0.23550282418727875,0.2352929711341858,0.07508780062198639,0.10811880230903625,0.24984674155712128,0.2820913791656494,0.2579552233219147,0.2374635636806488,0.2223292738199234,0.21268510818481445,0.24984674155712128,0.1504397839307785,0.10065434873104095
crew,0.1986125409603119,0.14106041193008423,0.21542808413505554,0.20329242944717407,0.25329816341400146,0.09735295176506042,0.13402403891086578,0.21819929778575897,0.26162803173065186,0.18897703289985657,0.25329816341400146,0.12288710474967957,0.16586194932460785
cabin,0.16587050259113312,0.2011869102716446,0.15584705770015717,0.20808860659599304,0.23489025235176086,0.033280499279499054,0.2003578245639801,0.2513850927352905,0.2597227692604065,0.19721314311027527,0.23489025235176086,0.15269994735717773,0.15796571969985962
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.45456063747406006,0.4933079481124878,0.2293582409620285,0.201692596077919,0.44245919585227966,0.1951419711112976,0.5201468467712402,0.4933079481124878,0.25448864698410034,0.31091248989105225
designed,0.21924960613250732,0.22914452850818634,0.15483458340168,0.28384989500045776,0.2559613883495331,0.13665771484375,1.0,0.3077097535133362,0.22533047199249268,0.22657902538776398,0.2559613883495331,0.09914100915193558,0.11213942617177963
to,0.44169697165489197,0.40243685245513916,0.37275731563568115,0.3636345863342285,0.535392165184021,0.16218599677085876,0.3077097535133362,1.0,0.32521840929985046,0.45010748505592346,0.535392165184021,0.3229445815086365,0.29463258385658264
carry,0.29718565940856934,0.28331053256988525,0.2720527648925781,0.1526157259941101,0.26752355694770813,0.18016472458839417,0.22533047199249268,0.32521840929985046,0.9999998807907104,0.19860897958278656,0.26752355694770813,0.13231241703033447,0.17171701788902283
three,0.23807744681835175,0.4501400589942932,0.1666570007801056,0.2748996615409851,0.43452659249305725,0.16688784956932068,0.16400448977947235,0.3043823838233948,0.17238779366016388,0.34828072786331177,0.43452659249305725,0.21347394585609436,0.20928427577018738
astronauts,0.18454807996749878,0.17227493226528168,0.26739493012428284,0.2057761251926422,0.197182759642601,0.10368598997592926,0.19090843200683594,0.22723354399204254,0.22969254851341248,0.1392838954925537,0.197182759642601,0.12352556735277176,0.15138289332389832
from,0.22939439117908478,0.33099696040153503,0.30292633175849915,0.31171464920043945,0.40150508284568787,0.1880866438150406,0.12069370597600937,0.4069952368736267,0.20240025222301483,0.4274188280105591,0.40150508284568787,0.31609439849853516,0.19969791173934937
launch,0.15294672548770905,0.15432266891002655,0.11140618473291397,0.22367219626903534,0.2628649175167084,0.1477668434381485,0.21457387506961823,0.25276505947113037,0.30516231060028076,0.19686491787433624,0.2628649175167084,0.1817208230495453,0.22009649872779846
to,0.44169697165489197,0.40243685245513916,0.37275731563568115,0.3636345863342285,0.535392165184021,0.16218599677085876,0.3077097535133362,1.0,0.32521840929985046,0.45010748505592346,0.535392165184021,0.3229445815086365,0.29463258385658264
lunar,0.21081319451332092,0.1407979428768158,0.11518645286560059,0.17547959089279175,0.23309995234012604,0.14330726861953735,0.17751821875572205,0.15437743067741394,0.1841992735862732,0.17049738764762878,0.23309995234012604,0.15438824892044067,0.1628302037715912
orbit,0.18904346227645874,0.12388269603252411,0.06246403604745865,0.1862146407365799,0.1565481424331665,0.12326119840145111,0.19156122207641602,0.23271086812019348,0.19223619997501373,0.13808301091194153,0.1565481424331665,0.1267048418521881,0.16621392965316772
and,0.33647966384887695,0.5296266674995422,0.3016039729118347,0.3740963041782379,0.5171257257461548,0.2066713124513626,0.2359010875225067,0.48971283435821533,0.2731964588165283,0.4954058527946472,0.5171257257461548,0.24708716571331024,0.20544172823429108
back,0.2557322680950165,0.2512952387332916,0.17861567437648773,0.2438982129096985,0.3612101674079895,0.1985015869140625,0.09485671669244766,0.4675939381122589,0.1993768960237503,0.25397348403930664,0.3612101674079895,0.36246630549430847,0.2397768795490265
to,0.44169697165489197,0.40243685245513916,0.37275731563568115,0.3636345863342285,0.535392165184021,0.16218599677085876,0.3077097535133362,1.0,0.32521840929985046,0.45010748505592346,0.535392165184021,0.3229445815086365,0.29463258385658264
an,0.2520636022090912,0.2465583086013794,0.16753636300563812,0.3694365322589874,0.4207492768764496,0.1796703040599823,0.19688421487808228,0.3138085603713989,0.13768047094345093,0.2605783939361572,0.4207492768764496,0.1506708711385727,0.19793890416622162
earth,0.2756480276584625,0.22623728215694427,0.1306694597005844,0.18661361932754517,0.2801888585090637,0.0821603313088417,0.09149140864610672,0.2486501932144165,0.14695990085601807,0.18566735088825226,0.2801888585090637,0.2051011174917221,0.17717236280441284
ocean,0.17809687554836273,0.2407136708498001,0.24075636267662048,0.18688063323497772,0.3185477554798126,0.1247539296746254,0.15115386247634888,0.30701687932014465,0.15744714438915253,0.22995012998580933,0.3185477554798126,0.24286995828151703,0.15205028653144836
landing,0.09343604743480682,0.1812470257282257,0.19470667839050293,0.21103228628635406,0.24055521190166473,0.12787024676799774,0.20361106097698212,0.27316537499427795,0.17651960253715515,0.2088729292154312,0.24055521190166473,0.16903410851955414,0.11133739352226257
.,0.3287222981452942,0.3974229395389557,0.33118996024131775,0.40146201848983765,0.5934505462646484,0.2647310197353363,0.24422594904899597,0.4645031690597534,0.21299658715724945,0.5591574311256409,0.5934505462646484,0.26526886224746704,0.4130953550338745
