,what,unforeseen,problem,caused,tesla,to,hit,his,experiment,with,a,sledgehammer,?
as,0.31749409437179565,0.3089058995246887,0.2586832344532013,0.16101646423339844,0.10285310447216034,0.42092081904411316,0.20771877467632294,0.3146366477012634,0.2577669024467468,0.40387406945228577,0.39550232887268066,0.24212788045406342,0.27043893933296204
the,0.42745697498321533,0.3630446493625641,0.24928659200668335,0.24990202486515045,0.1324402391910553,0.535392165184021,0.2674407958984375,0.4394008219242096,0.168198361992836,0.4223487675189972,0.5829201340675354,0.3153368830680847,0.22068053483963013
speed,0.23285695910453796,0.22583036124706268,0.18595245480537415,0.19176967442035675,0.32621487975120544,0.2900872230529785,0.24720005691051483,0.14704850316047668,0.19050072133541107,0.1828751116991043,0.2531464993953705,0.335587739944458,0.17392314970493317
grew,0.11968503892421722,0.10451037436723709,0.09617560356855392,0.23830252885818481,0.0895489752292633,0.20424646139144897,0.15424928069114685,0.2484082281589508,0.06597733497619629,0.1802409440279007,0.15698304772377014,0.1719469279050827,0.05505307391285896
",",0.3087472915649414,0.3337016999721527,0.23938199877738953,0.2600580155849457,0.20599327981472015,0.44245919585227966,0.2842342257499695,0.3378419280052185,0.19933569431304932,0.4120737314224243,0.427140474319458,0.33077073097229004,0.31091248989105225
it,0.45803478360176086,0.31117451190948486,0.296018123626709,0.16968581080436707,0.17596082389354706,0.513711154460907,0.29964008927345276,0.2876833975315094,0.227716863155365,0.3369046747684479,0.5452592968940735,0.24654404819011688,0.25732165575027466
is,0.28837618231773376,0.26601549983024597,0.23238427937030792,0.16288428008556366,0.14061255753040314,0.42745086550712585,0.18227532505989075,0.24372583627700806,0.15963079035282135,0.3250955045223236,0.658733606338501,0.18726369738578796,0.22961433231830597
said,0.3951668441295624,0.39666733145713806,0.28390052914619446,0.27848780155181885,0.1453642100095749,0.34274402260780334,0.19369438290596008,0.34223124384880066,0.19174818694591522,0.28060880303382874,0.31069710850715637,0.2727730870246887,0.28991883993148804
that,0.6297725439071655,0.47498464584350586,0.4416671693325043,0.33201703429222107,0.22102725505828857,0.5436353087425232,0.23079267144203186,0.3173833191394806,0.3135862946510315,0.4154358208179474,0.47537946701049805,0.25483667850494385,0.32716336846351624
the,0.42745697498321533,0.3630446493625641,0.24928659200668335,0.24990202486515045,0.1324402391910553,0.535392165184021,0.2674407958984375,0.4394008219242096,0.168198361992836,0.4223487675189972,0.5829201340675354,0.3153368830680847,0.22068053483963013
machine,0.23075932264328003,0.13549837470054626,0.23731867969036102,0.12094619870185852,0.2521411180496216,0.1634126603603363,0.15534669160842896,0.16966959834098816,0.30807122588157654,0.1688918024301529,0.24983544647693634,0.2821674644947052,0.17587624490261078
oscillated,0.25258785486221313,0.2942797839641571,0.26323097944259644,0.3390827178955078,0.2617161273956299,0.27134084701538086,0.2356284111738205,0.11837919801473618,0.32224008440971375,0.2256319373846054,0.34188178181648254,0.24256549775600433,0.1673077940940857
at,0.2838611304759979,0.2645376920700073,0.2246675044298172,0.19337967038154602,0.16552478075027466,0.36524343490600586,0.246683269739151,0.27659502625465393,0.21586920320987701,0.29126521944999695,0.3095070421695709,0.318499356508255,0.21978627145290375
the,0.42745697498321533,0.3630446493625641,0.24928659200668335,0.24990202486515045,0.1324402391910553,0.535392165184021,0.2674407958984375,0.4394008219242096,0.168198361992836,0.4223487675189972,0.5829201340675354,0.3153368830680847,0.22068053483963013
resonance,0.276218056678772,0.3628183603286743,0.2537238597869873,0.20364956557750702,0.34966838359832764,0.19774317741394043,0.17759346961975098,0.1780938059091568,0.427126944065094,0.17646704614162445,0.28833508491516113,0.22474922239780426,0.17075729370117188
frequency,0.2807137370109558,0.3037971258163452,0.269677072763443,0.24203941226005554,0.2809634506702423,0.2516654431819916,0.1911800354719162,0.15255048871040344,0.3227894604206085,0.18958339095115662,0.26973575353622437,0.21041812002658844,0.17067383229732513
of,0.33290785551071167,0.3396761119365692,0.20464475452899933,0.29665443301200867,0.18837453424930573,0.41548454761505127,0.1960723102092743,0.38364991545677185,0.12456657737493515,0.41827285289764404,0.5052502155303955,0.23264232277870178,0.1826142966747284
his,0.26976513862609863,0.22454023361206055,0.17596246302127838,0.17088682949543,0.1580733060836792,0.3715193271636963,0.24520030617713928,0.9999998807907104,0.21297486126422882,0.33836179971694946,0.3497250974178314,0.35307252407073975,0.18075084686279297
own,0.35062843561172485,0.2664489150047302,0.1789887696504593,0.11640898138284683,0.17710740864276886,0.35879063606262207,0.18022510409355164,0.4417259395122528,0.20498435199260712,0.290842205286026,0.3093770742416382,0.25772625207901,0.1937696635723114
building,0.23529528081417084,0.21348895132541656,0.18067708611488342,0.16601313650608063,0.20417912304401398,0.2658686637878418,0.19037754833698273,0.17787423729896545,0.18052805960178375,0.1992759108543396,0.2576078176498413,0.1753116250038147,0.13549931347370148
and,0.31309178471565247,0.3139863610267639,0.24328261613845825,0.2892237603664398,0.19560420513153076,0.48971283435821533,0.24528738856315613,0.4234102666378021,0.2532333433628082,0.5477725267410278,0.3739250600337982,0.29290518164634705,0.20544172823429108
",",0.3087472915649414,0.3337016999721527,0.23938199877738953,0.2600580155849457,0.20599327981472015,0.44245919585227966,0.2842342257499695,0.3378419280052185,0.19933569431304932,0.4120737314224243,0.427140474319458,0.33077073097229004,0.31091248989105225
