,what,countries,is,corporal,punishment,still,a,normal,practice,?
official,0.18967986106872559,0.20068010687828064,0.21236078441143036,0.11733120679855347,0.08248214423656464,0.23638123273849487,0.19875815510749817,0.13631896674633026,0.20263750851154327,0.18097688257694244
corporal,0.148063525557518,0.14045284688472748,0.13202491402626038,1.0,0.34936437010765076,0.14199551939964294,0.1676696091890335,0.16315710544586182,0.1352444440126419,0.1554132103919983
punishment,0.31300443410873413,0.19745223224163055,0.22508563101291656,0.34936437010765076,1.0000001192092896,0.1986568421125412,0.1934642344713211,0.16113843023777008,0.26913946866989136,0.23842233419418335
",",0.3087472915649414,0.2966555655002594,0.4691906273365021,0.2217067927122116,0.2216428816318512,0.35217106342315674,0.427140474319458,0.25911128520965576,0.2838936448097229,0.31091248989105225
often,0.3849453330039978,0.336731880903244,0.3856629431247711,0.18025285005569458,0.2746441066265106,0.43414175510406494,0.3930865228176117,0.41359779238700867,0.3245416283607483,0.23748154938220978
by,0.2455483376979828,0.2241220921278,0.3899846076965332,0.23562589287757874,0.20423543453216553,0.25492724776268005,0.32094135880470276,0.14346270263195038,0.199177086353302,0.17966607213020325
caning,0.2811415195465088,0.2638755440711975,0.28356894850730896,0.25296467542648315,0.26914817094802856,0.3313385844230652,0.36298468708992004,0.2520107626914978,0.23356880247592926,0.19453231990337372
",",0.3087472915649414,0.2966555655002594,0.4691906273365021,0.2217067927122116,0.2216428816318512,0.35217106342315674,0.427140474319458,0.25911128520965576,0.2838936448097229,0.31091248989105225
remains,0.2232762724161148,0.1985899657011032,0.3655484914779663,0.1908639818429947,0.14632931351661682,0.5221015810966492,0.30793967843055725,0.15451616048812866,0.23985479772090912,0.1479063630104065
commonplace,0.24919162690639496,0.34066545963287354,0.22932273149490356,0.12411004304885864,0.13312393426895142,0.37807804346084595,0.2705218493938446,0.3546160161495209,0.24428656697273254,0.2074085921049118
in,0.30808621644973755,0.3027990758419037,0.5394441485404968,0.15530824661254883,0.19258901476860046,0.3424699008464813,0.539380669593811,0.25896620750427246,0.24572531878948212,0.20430970191955566
schools,0.1820785105228424,0.3294385075569153,0.2022145688533783,0.21419920027256012,0.18592701852321625,0.24031971395015717,0.2118925303220749,0.14656159281730652,0.34740740060806274,0.18349280953407288
in,0.30808621644973755,0.3027990758419037,0.5394441485404968,0.15530824661254883,0.19258901476860046,0.3424699008464813,0.539380669593811,0.25896620750427246,0.24572531878948212,0.20430970191955566
some,0.4491020441055298,0.4101204574108124,0.3038453459739685,0.13640184700489044,0.2556392252445221,0.5148454308509827,0.34539633989334106,0.3682631254196167,0.2881247103214264,0.2562315762042999
asian,0.06828422844409943,0.3150169849395752,0.17223115265369415,0.16719292104244232,0.1018998920917511,0.15812478959560394,0.17434273660182953,0.1468118131160736,0.18391628563404083,0.10526347905397415
",",0.3087472915649414,0.2966555655002594,0.4691906273365021,0.2217067927122116,0.2216428816318512,0.35217106342315674,0.427140474319458,0.25911128520965576,0.2838936448097229,0.31091248989105225
african,0.11136822402477264,0.24855110049247742,0.17217126488685608,0.15058492124080658,0.08503083884716034,0.19950206577777863,0.17609646916389465,0.22884048521518707,0.19284027814865112,0.11862778663635254
and,0.31309178471565247,0.37200918793678284,0.3859752118587494,0.2243828922510147,0.2325662225484848,0.37647393345832825,0.3739250600337982,0.3120298683643341,0.2791718542575836,0.20544172823429108
caribbean,0.15882912278175354,0.3626813590526581,0.2064785361289978,0.16386573016643524,0.18884490430355072,0.1871461570262909,0.2038372904062271,0.15092116594314575,0.15804949402809143,0.13602977991104126
countries,0.22319257259368896,0.9999999403953552,0.254234254360199,0.14045284688472748,0.19745223224163055,0.32192978262901306,0.2672088146209717,0.25762462615966797,0.2672508656978607,0.15128466486930847
.,0.3567904531955719,0.27938392758369446,0.4569662809371948,0.23281329870224,0.24320337176322937,0.38162845373153687,0.50484299659729,0.2961207330226898,0.2513175904750824,0.4130953550338745
