,what,is,a,hauptlied,?
``,0.008517155423760414,0.058766357600688934,0.07272057235240936,-0.026706309989094734,0.0685480609536171
nun,0.12535716593265533,0.16323691606521606,0.24216000735759735,0.31545427441596985,0.18081775307655334
komm,0.15932036936283112,0.15504369139671326,0.18877965211868286,0.3808569014072418,0.23406080901622772
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.3464183211326599,0.31091248989105225
der,0.15763898193836212,0.17827266454696655,0.1786900907754898,0.4278273284435272,0.10571374744176865
heiden,0.18510212004184723,0.1607673317193985,0.2253594696521759,0.4676743745803833,0.11846069991588593
heiland,0.13331109285354614,0.20370933413505554,0.20249240100383759,0.4529605209827423,0.15920250117778778
'',0.08143015950918198,0.0793738141655922,0.04890415817499161,-0.000907527341041714,0.018684765323996544
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.2573724389076233,0.40561532974243164
now,0.4903225302696228,0.39589470624923706,0.3046339154243469,0.24922579526901245,0.29641881585121155
come,0.39461299777030945,0.25866594910621643,0.23267972469329834,0.16458994150161743,0.22318024933338165
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.3464183211326599,0.31091248989105225
savior,0.30994105339050293,0.2569485008716583,0.2096930742263794,0.33556997776031494,0.17049013078212738
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.3365381360054016,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.38912010192871094,0.22068053483963013
gentiles,0.24657444655895233,0.1977391391992569,0.1816524863243103,0.2902294099330902,0.17858034372329712
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.25731736421585083,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.3464183211326599,0.31091248989105225
based,0.274813175201416,0.3248139023780823,0.2977409064769745,0.20263580977916718,0.134929820895195
on,0.34226128458976746,0.3635730445384979,0.3848365545272827,0.2881322503089905,0.2714994251728058
veni,0.16764304041862488,0.16433757543563843,0.1759614199399948,0.21702753007411957,0.18587850034236908
redemptor,0.2633131146430969,0.22141289710998535,0.29480212926864624,0.33401790261268616,0.16927209496498108
gentium,0.24244467914104462,0.20693032443523407,0.22247952222824097,0.313189834356308,0.1618622988462448
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.3464183211326599,0.31091248989105225
became,0.1434093862771988,0.34253424406051636,0.28774285316467285,0.32777339220046997,0.11374033987522125
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.38912010192871094,0.22068053483963013
main,0.2344268560409546,0.3009335994720459,0.27217230200767517,0.24117030203342438,0.1665669083595276
hymn,0.17087575793266296,0.12444980442523956,0.1312560737133026,0.29013171792030334,0.15131041407585144
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.2573724389076233,0.40561532974243164
hauptlied,0.2854711711406708,0.18625245988368988,0.26199227571487427,1.0,0.25322848558425903
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.25731736421585083,0.42300865054130554
for,0.3017193675041199,0.43268078565597534,0.44038116931915283,0.2320089191198349,0.264628142118454
advent,0.19781844317913055,0.12407537549734116,0.17741094529628754,0.19359154999256134,0.14403489232063293
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.3102630376815796,0.4130953550338745
