,what,impact,did,this,loss,have,on,abercrombie,?
abercrombie,0.16113899648189545,0.041935995221138,0.13679982721805573,0.1806555539369583,0.11899268627166748,0.17213071882724762,0.22835934162139893,1.0,0.19258330762386322
was,0.22111038863658905,0.23431995511054993,0.41399896144866943,0.3638818562030792,0.13580112159252167,0.2863433063030243,0.3909217119216919,0.24433477222919464,0.18412111699581146
recalled,0.26177313923835754,0.26654618978500366,0.3526061773300171,0.26329663395881653,0.25553280115127563,0.28489723801612854,0.2485205978155136,0.1535298228263855,0.1700260043144226
and,0.31309178471565247,0.19650109112262726,0.34479495882987976,0.42353692650794983,0.20191490650177002,0.4711785912513733,0.4077630043029785,0.30352672934532166,0.20544172823429108
replaced,0.12975038588047028,0.17851419746875763,0.19568689167499542,0.20410224795341492,0.1418280005455017,0.19048047065734863,0.2418564409017563,0.16721560060977936,0.14945141971111298
by,0.2455483376979828,0.17438781261444092,0.18574509024620056,0.38438332080841064,0.19461268186569214,0.3359639644622803,0.33887791633605957,0.1342201828956604,0.17966607213020325
jeffery,0.1405649036169052,0.09470831602811813,0.1965043842792511,0.16970796883106232,0.08119950443506241,0.15351466834545135,0.25710535049438477,0.33098769187927246,0.2106655240058899
amherst,0.26161208748817444,0.21864667534828186,0.16107970476150513,0.2087588757276535,0.09768763184547424,0.1585014909505844,0.22432145476341248,0.36306342482566833,0.14774024486541748
",",0.3087472915649414,0.2012101411819458,0.3015086054801941,0.4316047728061676,0.23328691720962524,0.3541618287563324,0.49057599902153015,0.3788672983646393,0.31091248989105225
victor,0.07260368764400482,0.14798621833324432,0.12204471230506897,0.11806586384773254,0.21086552739143372,0.09619354456663132,0.13302236795425415,0.17933347821235657,0.13866813480854034
at,0.2838611304759979,0.10744886100292206,0.28390252590179443,0.32544323801994324,0.12692929804325104,0.29004791378974915,0.4806317389011383,0.25669729709625244,0.21978627145290375
louisbourg,0.17557744681835175,0.141471266746521,0.15016630291938782,0.16393938660621643,0.16140922904014587,0.11386212706565857,0.28741884231567383,0.2523253858089447,0.09875453263521194
.,0.3567904531955719,0.2026742696762085,0.35288307070732117,0.500583827495575,0.21266451478004456,0.41614407300949097,0.49257001280784607,0.3442099690437317,0.4130953550338745
,what,impact,did,this,loss,have,on,abercrombie,?
abercrombie,0.16113899648189545,0.041935995221138,0.13679982721805573,0.1806555539369583,0.11899268627166748,0.17213071882724762,0.22835934162139893,1.0,0.19258330762386322
saved,0.23043100535869598,0.1583167165517807,0.23556722700595856,0.2973197102546692,0.29442283511161804,0.22671538591384888,0.21111707389354706,0.20412039756774902,0.17632731795310974
something,0.6258514523506165,0.25021183490753174,0.31644681096076965,0.5144066214561462,0.18388497829437256,0.431578665971756,0.22810131311416626,0.15982303023338318,0.4761815667152405
from,0.2737620174884796,0.15606744587421417,0.20248863101005554,0.3469814360141754,0.14446182548999786,0.30702701210975647,0.36926645040512085,0.19679704308509827,0.19969791173934937
the,0.42745697498321533,0.22336715459823608,0.34736719727516174,0.6274310946464539,0.27898719906806946,0.40389683842658997,0.5107308030128479,0.2878928482532501,0.22068053483963013
disaster,0.23969987034797668,0.30537915229797363,0.15834394097328186,0.2504778504371643,0.32611164450645447,0.1365346610546112,0.22735480964183807,0.18296632170677185,0.18600745499134064
when,0.4700249433517456,0.1764514297246933,0.3228907287120819,0.4959332048892975,0.2679787576198578,0.40555819869041443,0.37706470489501953,0.22637268900871277,0.22841128706932068
he,0.3114890456199646,0.1757737547159195,0.3292143940925598,0.3176022469997406,0.1636691391468048,0.3020331561565399,0.32403138279914856,0.2120870053768158,0.2089974731206894
sent,0.19595611095428467,0.13070030510425568,0.3411059081554413,0.22922520339488983,0.16014473140239716,0.20981134474277496,0.21862196922302246,0.1463039666414261,0.10903520882129669
john,0.18237407505512238,0.16593067348003387,0.18785913288593292,0.1772448569536209,0.12970340251922607,0.1348961442708969,0.194100484251976,0.33575737476348877,0.13162356615066528
bradstreet,0.17745746672153473,0.12101758271455765,0.22409439086914062,0.14018191397190094,0.13427284359931946,0.15496119856834412,0.23521028459072113,0.43388572335243225,0.1481928676366806
on,0.34226128458976746,0.24748864769935608,0.2670976221561432,0.4193967580795288,0.2052750140428543,0.36494916677474976,0.9999999403953552,0.22835934162139893,0.2714994251728058
an,0.2821882665157318,0.16689299046993256,0.22598257660865784,0.41881775856018066,0.1333940327167511,0.22897054255008698,0.3192969560623169,0.27087995409965515,0.19793890416622162
