,what,did,s,&,p,recommend,to,somewhat,remedy,the,wealth,gap,?
to,0.455847829580307,0.4452643394470215,0.35941416025161743,0.1254875510931015,0.14269764721393585,0.336964875459671,1.0,0.3475700914859772,0.28719449043273926,0.535392165184021,0.30562296509742737,0.22861579060554504,0.29463258385658264
partially,0.24273231625556946,0.1673588752746582,0.13428741693496704,0.1290462762117386,0.10500132292509079,0.1831190437078476,0.26340022683143616,0.353982537984848,0.15876030921936035,0.27405473589897156,0.16350746154785156,0.1577128916978836,0.10232327878475189
remedy,0.2918687164783478,0.21013371646404266,0.18348735570907593,0.1428649127483368,0.1999751329421997,0.31593915820121765,0.28719449043273926,0.256367564201355,1.0000001192092896,0.2060876041650772,0.2499983310699463,0.12530402839183807,0.28438740968704224
the,0.42745697498321533,0.34736719727516174,0.46610721945762634,0.14992168545722961,0.16481639444828033,0.2400718331336975,0.535392165184021,0.24373650550842285,0.2060876041650772,1.0,0.24999672174453735,0.27986636757850647,0.22068053483963013
wealth,0.2415573000907898,0.18967029452323914,0.19424870610237122,0.1077028214931488,0.10892049968242645,0.12874490022659302,0.30562296509742737,0.20373135805130005,0.2499983310699463,0.24999672174453735,0.9999998807907104,0.1647871434688568,0.1624586433172226
gap,0.17691411077976227,0.15783648192882538,0.1948179304599762,0.1537168025970459,0.08007128536701202,0.14065663516521454,0.22861579060554504,0.11954595893621445,0.12530402839183807,0.27986636757850647,0.1647871434688568,0.9999999403953552,0.09251954406499863
and,0.31309178471565247,0.34479495882987976,0.36742347478866577,0.34093084931373596,0.198231041431427,0.24754086136817932,0.48971283435821533,0.3294816315174103,0.2271551787853241,0.5171257257461548,0.29316192865371704,0.23067711293697357,0.20544172823429108
the,0.42745697498321533,0.34736719727516174,0.46610721945762634,0.14992168545722961,0.16481639444828033,0.2400718331336975,0.535392165184021,0.24373650550842285,0.2060876041650772,1.0,0.24999672174453735,0.27986636757850647,0.22068053483963013
resulting,0.17960047721862793,0.17864365875720978,0.1813230961561203,0.0978517159819603,0.07089325040578842,0.24048909544944763,0.26808956265449524,0.2684876024723053,0.27620840072631836,0.3905409574508667,0.18448473513126373,0.19608816504478455,0.10813049972057343
slow,0.22626596689224243,0.21056197583675385,0.1963798552751541,0.08795034885406494,0.07282271981239319,0.2527295649051666,0.3074672520160675,0.21607515215873718,0.19486525654792786,0.2366129457950592,0.07590121030807495,0.15166382491588593,0.15685610473155975
growth,0.1739405393600464,0.09287795424461365,0.20397831499576569,0.0028874618001282215,0.1163371205329895,0.183611199259758,0.2701800763607025,0.1865960657596588,0.20917467772960663,0.2912366986274719,0.3748585283756256,0.20133845508098602,0.07547862827777863
",",0.3087472915649414,0.3015086054801941,0.361433744430542,0.2516871392726898,0.291064590215683,0.24663792550563812,0.44245919585227966,0.25225475430488586,0.21228623390197754,0.4933079481124878,0.22482609748840332,0.213828906416893,0.31091248989105225
s,0.3634900748729706,0.33910059928894043,1.0,0.17796005308628082,0.17642848193645477,0.264515221118927,0.35941416025161743,0.23341524600982666,0.18348735570907593,0.46610721945762634,0.19424870610237122,0.1948179304599762,0.25130221247673035
&,0.11141876131296158,0.160298690199852,0.17796005308628082,0.9999998807907104,0.10110129415988922,0.04755605384707451,0.1254875510931015,0.10044536739587784,0.1428649127483368,0.14992168545722961,0.1077028214931488,0.1537168025970459,0.12596383690834045
p,0.18586504459381104,0.1595689356327057,0.17642848193645477,0.10110129415988922,1.0,0.06454543024301529,0.14269764721393585,0.11547523736953735,0.1999751329421997,0.16481639444828033,0.10892049968242645,0.08007128536701202,0.20840544998645782
recommended,0.19394323229789734,0.2296464890241623,0.22906479239463806,0.033237919211387634,0.06256590038537979,0.8613465428352356,0.2934373915195465,0.23311004042625427,0.29452529549598694,0.2700778841972351,0.12958112359046936,0.16105659306049347,0.22072286903858185
increasing,0.2066856026649475,0.16384060680866241,0.2621535062789917,0.08067337423563004,0.06100842356681824,0.2921694815158844,0.35017409920692444,0.3101123571395874,0.3109886944293976,0.34958165884017944,0.3357248604297638,0.22914062440395355,0.0681626945734024
access,0.2685140371322632,0.17740806937217712,0.14048482477664948,0.12091520428657532,0.11985558271408081,0.24126848578453064,0.3465658128261566,0.1719246655702591,0.28662776947021484,0.22827552258968353,0.19101683795452118,0.15075357258319855,0.2482174038887024
to,0.455847829580307,0.4452643394470215,0.35941416025161743,0.1254875510931015,0.14269764721393585,0.336964875459671,1.0,0.3475700914859772,0.28719449043273926,0.535392165184021,0.30562296509742737,0.22861579060554504,0.29463258385658264
education,0.19940856099128723,0.19762296974658966,0.25834667682647705,0.16498492658138275,0.1606135219335556,0.2751566171646118,0.2626708149909973,0.09173846244812012,0.19879773259162903,0.23982903361320496,0.34567898511886597,0.08729963004589081,0.18067774176597595
.,0.3567904531955719,0.35288307070732117,0.43327459692955017,0.16452857851982117,0.2982616722583771,0.2671709358692169,0.4645031690597534,0.2795824110507965,0.2153840810060501,0.5934505462646484,0.1815606653690338,0.17168964445590973,0.4130953550338745
