,what,swiss,city,was,the,center,of,the,calvinist,movement,?
the,0.42745697498321533,0.17452241480350494,0.35769423842430115,0.48711544275283813,1.0,0.29064592719078064,0.733189046382904,1.0,0.22695963084697723,0.339571475982666,0.22068053483963013
nickname,0.09292520582675934,0.06833486258983612,0.2083786278963089,0.23231683671474457,0.20167101919651031,0.1133364662528038,0.19932328164577484,0.20167101919651031,0.11466308683156967,0.1902780830860138,0.11573968082666397
may,0.25739946961402893,0.15219059586524963,0.12727726995944977,0.3388521671295166,0.2694292366504669,0.10807719081640244,0.26447007060050964,0.2694292366504669,0.13452677428722382,0.15910479426383972,0.2768254578113556
have,0.39808809757232666,0.07945048063993454,0.154191792011261,0.2863433063030243,0.40389683842658997,0.18899105489253998,0.3802283704280853,0.40389683842658997,0.15199260413646698,0.19237689673900604,0.32991164922714233
been,0.2567804455757141,0.11069811880588531,0.1773093044757843,0.518218457698822,0.3563927710056305,0.16837598383426666,0.31685134768486023,0.3563927710056305,0.12017569690942764,0.15120309591293335,0.24354910850524902
a,0.3320399522781372,0.20721806585788727,0.2349124401807785,0.4508470594882965,0.5829201340675354,0.2640431225299835,0.5052502155303955,0.5829201340675354,0.197673037648201,0.23380696773529053,0.23916715383529663
combined,0.21267308294773102,0.11631622165441513,0.20684872567653656,0.23431967198848724,0.3713363707065582,0.13569840788841248,0.399336040019989,0.3713363707065582,0.14439314603805542,0.1841343343257904,0.17985320091247559
reference,0.27632904052734375,0.09275258332490921,0.09141988307237625,0.21164053678512573,0.26254498958587646,0.14890094101428986,0.21538788080215454,0.26254498958587646,0.1820051521062851,0.17664527893066406,0.2950310707092285
to,0.455847829580307,0.0861743912100792,0.20300441980361938,0.3636345863342285,0.535392165184021,0.17764393985271454,0.41548454761505127,0.535392165184021,0.16533730924129486,0.2780168950557709,0.29463258385658264
the,0.42745697498321533,0.17452241480350494,0.35769423842430115,0.48711544275283813,1.0,0.29064592719078064,0.733189046382904,1.0,0.22695963084697723,0.339571475982666,0.22068053483963013
swiss,0.06743662059307098,1.0,0.11988233774900436,0.1790563017129898,0.17452241480350494,0.0976274386048317,0.13239948451519012,0.17452241480350494,0.2853023409843445,0.10238196700811386,0.11023817211389542
politician,0.12760162353515625,0.2125541865825653,0.25094616413116455,0.2843790054321289,0.14830683171749115,0.13399747014045715,0.17174553871154785,0.14830683171749115,0.3317544460296631,0.20952631533145905,0.14215156435966492
besançon,0.15865877270698547,0.3034173548221588,0.3409945070743561,0.2811921536922455,0.3301619589328766,0.28142380714416504,0.31113263964653015,0.3301619589328766,0.21644918620586395,0.13225211203098297,0.1670161634683609
hugues,0.1411924511194229,0.29887497425079346,0.15630018711090088,0.23024730384349823,0.23052576184272766,0.16127707064151764,0.25119030475616455,0.23052576184272766,0.3770977556705475,0.2606903910636902,0.21094021201133728
(,0.2411840260028839,0.1667776256799698,0.19590984284877777,0.2980341613292694,0.33289089798927307,0.1899242252111435,0.35032153129577637,0.33289089798927307,0.19033785164356232,0.11378148943185806,0.40561532974243164
died,0.11138711869716644,0.17801935970783234,0.2599557936191559,0.4570699632167816,0.18710990250110626,0.17460517585277557,0.25637882947921753,0.18710990250110626,0.22329206764698029,0.08020856976509094,0.15254227817058563
1532,0.02190728485584259,0.1207263171672821,0.021566784009337425,0.041512761265039444,0.07150014489889145,-0.09826777875423431,0.03808183968067169,0.07150014489889145,0.009753014892339706,0.03914671763777733,0.013385014608502388
),0.26259949803352356,0.1705211102962494,0.2113075703382492,0.3267642855644226,0.3456730246543884,0.2161751240491867,0.3680361211299896,0.3456730246543884,0.2016104757785797,0.14506514370441437,0.42300865054130554
and,0.31309178471565247,0.19069941341876984,0.2827445864677429,0.3740963041782379,0.5171257257461548,0.28670641779899597,0.5116966962814331,0.5171257257461548,0.24251225590705872,0.2837696671485901,0.20544172823429108
the,0.42745697498321533,0.17452241480350494,0.35769423842430115,0.48711544275283813,1.0,0.29064592719078064,0.733189046382904,1.0,0.22695963084697723,0.339571475982666,0.22068053483963013
religiously,0.32692253589630127,0.1713831126689911,0.23938879370689392,0.28767499327659607,0.2632165253162384,0.1888335794210434,0.28236696124076843,0.2632165253162384,0.45195111632347107,0.3197326362133026,0.22381481528282166
conflicted,0.3548571765422821,0.09845857322216034,0.11095529794692993,0.2099931836128235,0.25352200865745544,0.07536737620830536,0.22336991131305695,0.25352200865745544,0.253691703081131,0.21660155057907104,0.3349017798900604
nature,0.2566179633140564,0.10356159508228302,0.13472388684749603,0.16693586111068726,0.19596898555755615,0.14367039501667023,0.22892364859580994,0.19596898555755615,0.19210347533226013,0.19639112055301666,0.17397694289684296
of,0.33290785551071167,0.13239948451519012,0.32503411173820496,0.4069072902202606,0.733189046382904,0.24526838958263397,1.0,0.733189046382904,0.2458454817533493,0.2662941515445709,0.1826142966747284
swiss,0.06743662059307098,1.0,0.11988233774900436,0.1790563017129898,0.17452241480350494,0.0976274386048317,0.13239948451519012,0.17452241480350494,0.2853023409843445,0.10238196700811386,0.11023817211389542
republicanism,0.30937108397483826,0.19603478908538818,0.24050438404083252,0.24709552526474,0.24764785170555115,0.1240595206618309,0.2409985512495041,0.24764785170555115,0.47600823640823364,0.3793051838874817,0.2220282256603241
