,what,is,another,name,for,state,route,168,?
state,0.24273863434791565,0.2627358138561249,0.18883290886878967,0.19896633923053741,0.19460363686084747,1.0,0.24191424250602722,-0.16830338537693024,0.1160883978009224
route,0.23103561997413635,0.2375296801328659,0.1722557246685028,0.18850113451480865,0.21589265763759613,0.24191424250602722,1.0,-0.2000783532857895,0.10957027226686478
168,-0.41324925422668457,-0.22041796147823334,-0.3793937563896179,-0.1005905494093895,-0.3724428117275238,-0.16830338537693024,-0.2000783532857895,0.9999999403953552,-0.2413584589958191
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.28145334124565125,0.4464869201183319,0.29481780529022217,0.21133576333522797,-0.26825135946273804,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.3171212375164032,0.4739971458911896,0.3097178041934967,0.22322526574134827,-0.3878300189971924,0.22068053483963013
sierra,0.15706034004688263,0.17019520699977875,0.10372385382652283,0.14144836366176605,0.17667727172374725,0.19684183597564697,0.16395670175552368,-0.04536799341440201,0.07792355120182037
freeway,0.21182982623577118,0.16396518051624298,0.1465199738740921,0.1620693951845169,0.17816157639026642,0.3071974217891693,0.4741276502609253,-0.14074698090553284,0.1306171715259552
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.28145334124565125,0.4464869201183319,0.29481780529022217,0.21133576333522797,-0.26825135946273804,0.31091248989105225
heads,0.22840413451194763,0.21464884281158447,0.1519547551870346,0.1603829264640808,0.17960312962532043,0.2728872299194336,0.09733498841524124,-0.21170185506343842,0.13046061992645264
east,0.19840149581432343,0.2596127688884735,0.16592496633529663,0.20845475792884827,0.20268000662326813,0.2478339523077011,0.32231876254081726,-0.0420144684612751,0.10070597380399704
to,0.455847829580307,0.42745086550712585,0.48769932985305786,0.27806994318962097,0.4451248347759247,0.25557461380958557,0.2605549395084381,-0.4975426197052002,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.3171212375164032,0.4739971458911896,0.3097178041934967,0.22322526574134827,-0.3878300189971924,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.14786472916603088,0.22892655432224274,0.18687109649181366,0.4248887002468109,0.3064732849597931,-0.05892237275838852,0.13423943519592285
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.24075818061828613,0.4185989499092102,0.34253445267677307,0.1700238138437271,-0.2635534703731537,0.1826142966747284
clovis,0.2143704742193222,0.20556557178497314,0.26311802864074707,0.23603129386901855,0.130298912525177,0.2591301202774048,0.12492045015096664,-0.06562469899654388,0.20699521899223328
and,0.31309178471565247,0.3859752118587494,0.3214244842529297,0.21235932409763336,0.5064792633056641,0.2653750479221344,0.2168188840150833,-0.4014347791671753,0.20544172823429108
huntington,0.17186126112937927,0.195100337266922,0.2035662978887558,0.10976844280958176,0.25920674204826355,0.22095513343811035,0.19577151536941528,-0.0992378517985344,0.1482890248298645
lake,0.17778855562210083,0.22300897538661957,0.1701860874891281,0.13222096860408783,0.1457349956035614,0.18612776696681976,0.22813807427883148,-0.0647539347410202,0.07226386666297913
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.24737101793289185,0.4726039469242096,0.31380724906921387,0.25726518034935,-0.3484751880168915,0.4130953550338745
