,what,are,the,most,powerful,class,of,anti-inflammatory,drugs,?
anti-inflammatory,0.22603416442871094,0.28550535440444946,0.2132551670074463,0.1770782470703125,0.14869463443756104,0.1354244351387024,0.2399972677230835,1.0,0.5137049555778503,0.22249925136566162
drugs,0.27091342210769653,0.2709655165672302,0.19485467672348022,0.18508397042751312,0.17907759547233582,0.16658331453800201,0.21399663388729095,0.5137049555778503,1.0000001192092896,0.15436270833015442
are,0.29724663496017456,1.0,0.40399202704429626,0.48698675632476807,0.20714731514453888,0.1495869755744934,0.39081433415412903,0.28550535440444946,0.2709655165672302,0.24591213464736938
often,0.3849453330039978,0.5443448424339294,0.38004449009895325,0.4833095073699951,0.27006950974464417,0.1089857965707779,0.3351972997188568,0.2933342754840851,0.28305310010910034,0.23748154938220978
used,0.27546408772468567,0.3322218656539917,0.3718377649784088,0.306323766708374,0.25376537442207336,0.21125833690166473,0.3075267970561981,0.2641291320323944,0.26952141523361206,0.22430120408535004
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.321603000164032,0.2654764950275421,0.18696844577789307,0.41548454761505127,0.22989478707313538,0.2537701725959778,0.29463258385658264
control,0.2821830213069916,0.174149289727211,0.32841500639915466,0.1871030181646347,0.33560147881507874,0.13295118510723114,0.2817542552947998,0.18263491988182068,0.2640681266784668,0.1620711386203766
the,0.42745697498321533,0.40399202704429626,1.0,0.47635307908058167,0.3115491271018982,0.18034407496452332,0.733189046382904,0.2132551670074463,0.19485467672348022,0.22068053483963013
effects,0.22572848200798035,0.27667149901390076,0.25316479802131653,0.21620358526706696,0.25423094630241394,0.09091321378946304,0.21244898438453674,0.4536973536014557,0.451539009809494,0.16749060153961182
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.4178851246833801,0.2867213189601898,0.19740594923496246,1.0,0.2399972677230835,0.21399663388729095,0.1826142966747284
inflammation,0.24853453040122986,0.301786333322525,0.2567841410636902,0.20298516750335693,0.14435051381587982,0.1164957582950592,0.24866501986980438,0.8706033825874329,0.4646252393722534,0.2187519371509552
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.35404038429260254,0.2159569263458252,0.24688394367694855,0.5352458953857422,0.2397410273551941,0.23083394765853882,0.4130953550338745
