,what,is,the,break,down,of,years,at,different,level,of,education,?
basic,0.3564627468585968,0.2828887104988098,0.27259987592697144,0.17811457812786102,0.16516362130641937,0.2817785441875458,0.13840252161026,0.19943657517433167,0.42677929997444153,0.26465991139411926,0.2817785441875458,0.2635203003883362,0.26534420251846313
formal,0.26485171914100647,0.21914683282375336,0.245810866355896,0.1705179065465927,0.12527242302894592,0.2704104781150818,0.15502294898033142,0.1948622316122055,0.29841405153274536,0.1574857234954834,0.2704104781150818,0.28848952054977417,0.1989586055278778
education,0.19940856099128723,0.18778188526630402,0.23982903361320496,0.05323895066976547,0.13947205245494843,0.3015166223049164,0.24918466806411743,0.22585788369178772,0.15440194308757782,0.3096246123313904,0.3015166223049164,1.0,0.18067774176597595
starts,0.24892903864383698,0.36385443806648254,0.39423343539237976,0.2810915410518646,0.22672252357006073,0.2781079411506653,0.20684583485126495,0.23017387092113495,0.20689916610717773,0.2044244110584259,0.2781079411506653,0.09740208089351654,0.17788195610046387
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.1374286264181137,0.21045294404029846,0.42558613419532776,0.2851444482803345,1.0,0.27290254831314087,0.24496568739414215,0.42558613419532776,0.22585788369178772,0.21978627145290375
age,0.1895245760679245,0.17962174117565155,0.24711290001869202,0.13333605229854584,0.14626778662204742,0.2372717410326004,0.477315217256546,0.32409605383872986,0.21323120594024658,0.21840998530387878,0.2372717410326004,0.2708311676979065,0.16859300434589386
six,0.1779850870370865,0.20925110578536987,0.3614266812801361,0.22364328801631927,0.22940890491008759,0.3317931592464447,0.3696673810482025,0.269325315952301,0.3064137399196625,0.14942988753318787,0.3317931592464447,0.14846941828727722,0.15298804640769958
years,0.1981470286846161,0.19551363587379456,0.2912273406982422,0.2503592073917389,0.1730455905199051,0.2904134690761566,1.0,0.2851444482803345,0.22148673236370087,0.1529536247253418,0.2904134690761566,0.24918466806411743,0.1914375126361847
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2812328040599823,0.2760816216468811,0.5116966962814331,0.300204873085022,0.3571503460407257,0.39536112546920776,0.29463574290275574,0.5116966962814331,0.308173805475235,0.20544172823429108
lasts,0.21729539334774017,0.32914164662361145,0.2970173954963684,0.2347886562347412,0.10104020684957504,0.2921893894672394,0.39556172490119934,0.22217242419719696,0.24865585565567017,0.10830602794885635,0.2921893894672394,0.14988084137439728,0.17807826399803162
12,0.1696145385503769,0.33493560552597046,0.28907760977745056,0.08187463134527206,0.1664123833179474,0.2886716425418854,0.0803728774189949,0.14602552354335785,0.1656447798013687,0.0995064303278923,0.2886716425418854,-0.06571482867002487,0.10021790862083435
years,0.1981470286846161,0.19551363587379456,0.2912273406982422,0.2503592073917389,0.1730455905199051,0.2904134690761566,1.0,0.2851444482803345,0.22148673236370087,0.1529536247253418,0.2904134690761566,0.24918466806411743,0.1914375126361847
comprising,0.13995948433876038,0.3015725612640381,0.3166780471801758,0.13476358354091644,0.0994684174656868,0.4173128008842468,0.19981129467487335,0.189939484000206,0.30169498920440674,0.18770140409469604,0.4173128008842468,0.17034700512886047,0.043617378920316696
eight,0.15383057296276093,0.19970737397670746,0.34254369139671326,0.18993516266345978,0.16654181480407715,0.3220755457878113,0.3866816461086273,0.24192112684249878,0.29497742652893066,0.1667005717754364,0.3220755457878113,0.13472957909107208,0.11634626984596252
years,0.1981470286846161,0.19551363587379456,0.2912273406982422,0.2503592073917389,0.1730455905199051,0.2904134690761566,1.0,0.2851444482803345,0.22148673236370087,0.1529536247253418,0.2904134690761566,0.24918466806411743,0.1914375126361847
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.17133235931396484,0.2321847528219223,0.5696388483047485,0.33554986119270325,0.4374977946281433,0.29409363865852356,0.279204785823822,0.5696388483047485,0.2654339671134949,0.20430970191955566
primary,0.2113915979862213,0.23824772238731384,0.25688621401786804,0.12555451691150665,0.16665062308311462,0.23414276540279388,0.14403797686100006,0.1728028953075409,0.27170029282569885,0.1951998770236969,0.23414276540279388,0.3644731044769287,0.16286636888980865
school,0.18774057924747467,0.19488026201725006,0.22953221201896667,0.14499343931674957,0.14181092381477356,0.2391800880432129,0.24115975201129913,0.3177914023399353,0.14862452447414398,0.21516968309879303,0.2391800880432129,0.5861870050430298,0.15091250836849213
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2812328040599823,0.2760816216468811,0.5116966962814331,0.300204873085022,0.3571503460407257,0.39536112546920776,0.29463574290275574,0.5116966962814331,0.308173805475235,0.20544172823429108
four,0.18057085573673248,0.22331103682518005,0.40344667434692383,0.20536209642887115,0.1812206506729126,0.36293646693229675,0.3219561278820038,0.24268823862075806,0.3345320224761963,0.17634573578834534,0.36293646693229675,0.17069323360919952,0.14532537758350372
years,0.1981470286846161,0.19551363587379456,0.2912273406982422,0.2503592073917389,0.1730455905199051,0.2904134690761566,1.0,0.2851444482803345,0.22148673236370087,0.1529536247253418,0.2904134690761566,0.24918466806411743,0.1914375126361847
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.17133235931396484,0.2321847528219223,0.5696388483047485,0.33554986119270325,0.4374977946281433,0.29409363865852356,0.279204785823822,0.5696388483047485,0.2654339671134949,0.20430970191955566
high,0.20466077327728271,0.2383800595998764,0.28034812211990356,0.20073434710502625,0.20752109587192535,0.2803038954734802,0.19826285541057587,0.2874184250831604,0.23259232938289642,0.39304521679878235,0.2803038954734802,0.32903406023979187,0.11137914657592773
school,0.18774057924747467,0.19488026201725006,0.22953221201896667,0.14499343931674957,0.14181092381477356,0.2391800880432129,0.24115975201129913,0.3177914023399353,0.14862452447414398,0.21516968309879303,0.2391800880432129,0.5861870050430298,0.15091250836849213
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.24132806062698364,0.23573468625545502,0.3792596757411957,0.1433926820755005,0.21026140451431274,0.41923218965530396,0.3087853193283081,0.3792596757411957,0.14504022896289825,0.32389625906944275
secondary,0.20388361811637878,0.19772830605506897,0.21037471294403076,0.15534402430057526,0.13830339908599854,0.219074085354805,0.14433833956718445,0.1936700940132141,0.23539356887340546,0.2900587320327759,0.219074085354805,0.4472634196281433,0.18118004500865936
school,0.18774057924747467,0.19488026201725006,0.22953221201896667,0.14499343931674957,0.14181092381477356,0.2391800880432129,0.24115975201129913,0.3177914023399353,0.14862452447414398,0.21516968309879303,0.2391800880432129,0.5861870050430298,0.15091250836849213
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2548918128013611,0.2362249493598938,0.5352458953857422,0.31919315457344055,0.4549728035926819,0.31511759757995605,0.26056769490242004,0.5352458953857422,0.27047446370124817,0.4130953550338745
