,who,was,responsible,for,the,preliminary,archaeological,research,at,ologesailie,and,hyrax,hill,?
previous,0.1923418641090393,0.2747909128665924,0.26542678475379944,0.27794817090034485,0.34706559777259827,0.32815927267074585,0.21017403900623322,0.19922645390033722,0.19673341512680054,0.14765620231628418,0.22210395336151123,0.1852084994316101,0.07792172580957413,0.16724538803100586
research,0.17335498332977295,0.21417704224586487,0.2818394601345062,0.29481053352355957,0.24391183257102966,0.24307343363761902,0.3614104986190796,1.0,0.21588429808616638,0.32191622257232666,0.27611881494522095,0.20377036929130554,0.1253507137298584,0.13481977581977844
on,0.2340552806854248,0.3909217119216919,0.1621275097131729,0.36199691891670227,0.5107308030128479,0.2922118604183197,0.18250824511051178,0.2395089864730835,0.4806317389011383,0.23387359082698822,0.4077630043029785,0.2718142867088318,0.21364395320415497,0.2714994251728058
early,0.23985694348812103,0.4148794412612915,0.13161978125572205,0.2892865538597107,0.34442198276519775,0.19758111238479614,0.2667120695114136,0.21679182350635529,0.2549361288547516,0.2795391082763672,0.29847630858421326,0.24795587360858917,0.15478278696537018,0.15272949635982513
hominids,0.2578932046890259,0.19090862572193146,0.18849590420722961,0.2113528698682785,0.30310869216918945,0.23700323700904846,0.4761008024215698,0.34002479910850525,0.2122514247894287,0.32712432742118835,0.2906818687915802,0.5352751016616821,0.13605663180351257,0.19376027584075928
is,0.24293622374534607,0.5810302495956421,0.24123810231685638,0.43268078565597534,0.5823672413825989,0.1479693353176117,0.2319364994764328,0.23478153347969055,0.25906258821487427,0.2642504572868347,0.3859752118587494,0.30323341488838196,0.18022680282592773,0.22961433231830597
particularly,0.27192622423171997,0.2561531662940979,0.30187803506851196,0.4007916748523712,0.32132959365844727,0.12721526622772217,0.19934262335300446,0.23313945531845093,0.19909445941448212,0.2005288004875183,0.38546788692474365,0.15696406364440918,0.11895208060741425,0.2644225060939789
identified,0.28017953038215637,0.22457899153232574,0.3669554889202118,0.1838030368089676,0.3162215054035187,0.18172943592071533,0.29905590415000916,0.2861224114894867,0.20435358583927155,0.2183489352464676,0.2591819763183594,0.33098742365837097,0.10614870488643646,0.18080152571201324
with,0.3282766342163086,0.27411898970603943,0.1930297166109085,0.39140474796295166,0.4223487675189972,0.24217790365219116,0.12100186944007874,0.17809204757213593,0.29126521944999695,0.21429452300071716,0.5477725267410278,0.28428807854652405,0.15371324121952057,0.2433311939239502
mary,0.23222416639328003,0.2567506730556488,0.11394258588552475,0.1572747677564621,0.18200480937957764,0.10552435368299484,0.1972530335187912,0.13609744608402252,0.16916227340698242,0.34897834062576294,0.2055310755968094,0.19889289140701294,0.2100597769021988,0.17181165516376495
leakey,0.24641656875610352,0.2554331123828888,0.20987749099731445,0.16192619502544403,0.21973571181297302,0.10781063139438629,0.4161345660686493,0.4474978744983673,0.19832579791545868,0.4120309054851532,0.22548557817935944,0.28398779034614563,0.15299153327941895,0.13373079895973206
and,0.41279885172843933,0.3740963041782379,0.29945531487464905,0.5064792633056641,0.5171257257461548,0.20404261350631714,0.245624840259552,0.27611881494522095,0.3571503460407257,0.28014636039733887,1.0,0.32319968938827515,0.23841705918312073,0.20544172823429108
louis,0.25727662444114685,0.28063738346099854,0.1295153647661209,0.16085198521614075,0.22078758478164673,0.11930173635482788,0.13799913227558136,0.0955573171377182,0.18360884487628937,0.42906689643859863,0.20344610512256622,0.18338093161582947,0.09355868399143219,0.09819188714027405
leakey,0.24641656875610352,0.2554331123828888,0.20987749099731445,0.16192619502544403,0.21973571181297302,0.10781063139438629,0.4161345660686493,0.4474978744983673,0.19832579791545868,0.4120309054851532,0.22548557817935944,0.28398779034614563,0.15299153327941895,0.13373079895973206
",",0.3365725874900818,0.45456063747406006,0.2192283272743225,0.4464869201183319,0.4933079481124878,0.2639412581920624,0.2099265605211258,0.2764695882797241,0.38314947485923767,0.3796829879283905,0.6633074283599854,0.3783252239227295,0.2938556969165802,0.31091248989105225
who,0.9999998807907104,0.3318818509578705,0.2545164227485657,0.37110671401023865,0.3733934462070465,0.05820195749402046,0.16729742288589478,0.17335498332977295,0.22096660733222961,0.2645280659198761,0.41279885172843933,0.2966884672641754,0.15769852697849274,0.26220351457595825
were,0.3188014328479767,0.590133786201477,0.2653166949748993,0.33592689037323,0.3906462490558624,0.21309179067611694,0.2168470323085785,0.16198860108852386,0.2947486639022827,0.20772048830986023,0.42175528407096863,0.26558229327201843,0.18907079100608826,0.17890112102031708
responsible,0.2545164227485657,0.2582622170448303,1.0,0.35061514377593994,0.3305104374885559,0.2383195459842682,0.15772847831249237,0.2818394601345062,0.1904243379831314,0.22466765344142914,0.29945531487464905,0.19812524318695068,0.010040145367383957,0.11367333680391312
for,0.37110671401023865,0.3863949179649353,0.35061514377593994,0.9999999403953552,0.4739971458911896,0.21859794855117798,0.1898869276046753,0.29481053352355957,0.34237727522850037,0.20440903306007385,0.5064792633056641,0.23766127228736877,0.1629481464624405,0.264628142118454
the,0.3733934462070465,0.48711544275283813,0.3305104374885559,0.4739971458911896,1.0,0.3177361786365509,0.2767927050590515,0.24391183257102966,0.457212895154953,0.31528449058532715,0.5171257257461548,0.33160164952278137,0.24348382651805878,0.22068053483963013
preliminary,0.05820195749402046,0.21951059997081757,0.2383195459842682,0.21859794855117798,0.3177361786365509,1.0000001192092896,0.20489172637462616,0.24307343363761902,0.2185310423374176,0.21461200714111328,0.20404261350631714,0.16494238376617432,0.15987475216388702,0.1416303664445877
archaeological,0.16729742288589478,0.18959636986255646,0.15772847831249237,0.1898869276046753,0.2767927050590515,0.20489172637462616,0.9999999403953552,0.3614104986190796,0.22053802013397217,0.32153430581092834,0.245624840259552,0.24008485674858093,0.18677398562431335,0.13145314157009125
