,the,use,of,what,device,represented,the,last,major,evolution,of,the,steam,engine,?
the,1.0,0.34342584013938904,0.733189046382904,0.42745697498321533,0.2555081248283386,0.3256146013736725,1.0,0.3698786795139313,0.31775903701782227,0.2514035999774933,0.733189046382904,1.0,0.23105813562870026,0.21651263535022736,0.22068053483963013
final,0.3543182611465454,0.11888905614614487,0.24563951790332794,0.20972409844398499,0.08140884339809418,0.25297433137893677,0.3543182611465454,0.4394223988056183,0.19222761690616608,0.15386593341827393,0.24563951790332794,0.3543182611465454,0.1396767497062683,0.11403187364339828,0.17315025627613068
major,0.31775903701782227,0.12363851070404053,0.2641255557537079,0.21026742458343506,0.10672235488891602,0.14157229661941528,0.31775903701782227,0.229953333735466,0.9999998807907104,0.23667721450328827,0.2641255557537079,0.31775903701782227,0.10769499093294144,0.13686148822307587,0.19788557291030884
evolution,0.2514035999774933,0.19377414882183075,0.23780936002731323,0.2432696372270584,0.15669840574264526,0.164333775639534,0.2514035999774933,0.1687137335538864,0.23667721450328827,0.9999999403953552,0.23780936002731323,0.2514035999774933,0.17572443187236786,0.19263163208961487,0.26797422766685486
of,0.733189046382904,0.2750902473926544,1.0,0.33290785551071167,0.17168864607810974,0.3891753554344177,0.733189046382904,0.3052992522716522,0.2641255557537079,0.23780936002731323,1.0,0.733189046382904,0.20239725708961487,0.17095594108104706,0.1826142966747284
the,1.0,0.34342584013938904,0.733189046382904,0.42745697498321533,0.2555081248283386,0.3256146013736725,1.0,0.3698786795139313,0.31775903701782227,0.2514035999774933,0.733189046382904,1.0,0.23105813562870026,0.21651263535022736,0.22068053483963013
steam,0.23105813562870026,0.2950085997581482,0.20239725708961487,0.15672586858272552,0.37581905722618103,0.07268310338258743,0.23105813562870026,0.1351163536310196,0.10769499093294144,0.17572443187236786,0.20239725708961487,0.23105813562870026,1.0000001192092896,0.4921848475933075,0.113324373960495
engine,0.21651263535022736,0.2398114949464798,0.17095594108104706,0.18463268876075745,0.3519456088542938,0.08870012313127518,0.21651263535022736,0.060036271810531616,0.13686148822307587,0.19263163208961487,0.17095594108104706,0.21651263535022736,0.4921848475933075,1.0,0.17739196121692657
design,0.27913451194763184,0.2563382685184479,0.2522938847541809,0.23893405497074127,0.3404758870601654,0.1835036277770996,0.27913451194763184,0.07786214351654053,0.12617231905460358,0.2718290686607361,0.2522938847541809,0.27913451194763184,0.2571820318698883,0.3978540599346161,0.16351860761642456
was,0.48711544275283813,0.17744606733322144,0.4069072902202606,0.22111038863658905,0.18397735059261322,0.28321829438209534,0.48711544275283813,0.32424551248550415,0.20676274597644806,0.183089017868042,0.4069072902202606,0.48711544275283813,0.16913670301437378,0.205611914396286,0.18412111699581146
the,1.0,0.34342584013938904,0.733189046382904,0.42745697498321533,0.2555081248283386,0.3256146013736725,1.0,0.3698786795139313,0.31775903701782227,0.2514035999774933,0.733189046382904,1.0,0.23105813562870026,0.21651263535022736,0.22068053483963013
use,0.34342584013938904,1.0,0.2750902473926544,0.3453877568244934,0.4153987169265747,0.18206845223903656,0.34342584013938904,0.23505158722400665,0.12363851070404053,0.19377414882183075,0.2750902473926544,0.34342584013938904,0.2950085997581482,0.2398114949464798,0.32795652747154236
of,0.733189046382904,0.2750902473926544,1.0,0.33290785551071167,0.17168864607810974,0.3891753554344177,0.733189046382904,0.3052992522716522,0.2641255557537079,0.23780936002731323,1.0,0.733189046382904,0.20239725708961487,0.17095594108104706,0.1826142966747284
steam,0.23105813562870026,0.2950085997581482,0.20239725708961487,0.15672586858272552,0.37581905722618103,0.07268310338258743,0.23105813562870026,0.1351163536310196,0.10769499093294144,0.17572443187236786,0.20239725708961487,0.23105813562870026,1.0000001192092896,0.4921848475933075,0.113324373960495
turbines,0.2202165722846985,0.3256891667842865,0.2403727024793625,0.17412316799163818,0.38623636960983276,0.14016328752040863,0.2202165722846985,0.09283304959535599,0.09536845237016678,0.2726331651210785,0.2403727024793625,0.2202165722846985,0.5227647423744202,0.4924341142177582,0.18342499434947968
starting,0.37272053956985474,0.25978559255599976,0.23960795998573303,0.25271084904670715,0.1348065882921219,0.2039611041545868,0.37272053956985474,0.2730604410171509,0.23052512109279633,0.15471801161766052,0.23960795998573303,0.37272053956985474,0.2164931744337082,0.23194681107997894,0.19133803248405457
in,0.6662389636039734,0.2715643048286438,0.5696388483047485,0.30808621644973755,0.16225403547286987,0.33309870958328247,0.6662389636039734,0.30714505910873413,0.3249945342540741,0.2174839824438095,0.5696388483047485,0.6662389636039734,0.19852672517299652,0.18885408341884613,0.20430970191955566
the,1.0,0.34342584013938904,0.733189046382904,0.42745697498321533,0.2555081248283386,0.3256146013736725,1.0,0.3698786795139313,0.31775903701782227,0.2514035999774933,0.733189046382904,1.0,0.23105813562870026,0.21651263535022736,0.22068053483963013
late,0.31481194496154785,0.1435537487268448,0.21690747141838074,0.1576872020959854,0.15133030712604523,0.18742984533309937,0.31481194496154785,0.31669628620147705,0.2213422805070877,0.1992969810962677,0.21690747141838074,0.31481194496154785,0.20586377382278442,0.12921491265296936,0.11339222639799118
part,0.527681291103363,0.22493810951709747,0.452393114566803,0.3476244807243347,0.1748168021440506,0.2370109111070633,0.527681291103363,0.23332151770591736,0.22967763245105743,0.15002387762069702,0.452393114566803,0.527681291103363,0.2198055386543274,0.1659967452287674,0.08557961881160736
of,0.733189046382904,0.2750902473926544,1.0,0.33290785551071167,0.17168864607810974,0.3891753554344177,0.733189046382904,0.3052992522716522,0.2641255557537079,0.23780936002731323,1.0,0.733189046382904,0.20239725708961487,0.17095594108104706,0.1826142966747284
the,1.0,0.34342584013938904,0.733189046382904,0.42745697498321533,0.2555081248283386,0.3256146013736725,1.0,0.3698786795139313,0.31775903701782227,0.2514035999774933,0.733189046382904,1.0,0.23105813562870026,0.21651263535022736,0.22068053483963013
19th,0.24964287877082825,0.1853867769241333,0.16605104506015778,0.11525199562311172,0.1952223926782608,0.20135550200939178,0.24964287877082825,0.14506672322750092,0.1350325644016266,0.12615279853343964,0.16605104506015778,0.24964287877082825,0.18786564469337463,0.17605720460414886,0.004712673369795084
century,0.3617299497127533,0.21389883756637573,0.2826060354709625,0.20422613620758057,0.18562649190425873,0.1735851764678955,0.3617299497127533,0.2742094397544861,0.21291306614875793,0.19739171862602234,0.2826060354709625,0.3617299497127533,0.2347051203250885,0.11477544158697128,0.1026201918721199
.,0.5934505462646484,0.3711656630039215,0.5352458953857422,0.3567904531955719,0.1592947095632553,0.26645728945732117,0.5934505462646484,0.3548945486545563,0.3054012954235077,0.3021080791950226,0.5352458953857422,0.5934505462646484,0.22855372726917267,0.21814921498298645,0.4130953550338745
