,what,show,did,peter,jennings,anchor,for,abc,?
the,0.42745697498321533,0.319829523563385,0.34736719727516174,0.24086274206638336,0.2316640317440033,0.21501964330673218,0.4739971458911896,0.2068762183189392,0.22068053483963013
block,0.33229514956474304,0.2366289347410202,0.17439137399196625,0.14810927212238312,0.24795404076576233,0.20545046031475067,0.2480357587337494,0.268513023853302,0.27211859822273254
of,0.33290785551071167,0.21383242309093475,0.2513895630836487,0.14779731631278992,0.15836428105831146,0.1308683305978775,0.4185989499092102,0.14607268571853638,0.1826142966747284
west,0.1946573108434677,0.1363782435655594,0.16852347552776337,0.1365828514099121,0.24026332795619965,0.0905454009771347,0.17698325216770172,0.18391461670398712,0.12088293582201004
end,0.29234179854393005,0.17708754539489746,0.18808481097221375,0.1236267015337944,0.19709910452365875,0.2539898455142975,0.22042374312877655,0.16926881670951843,0.12543344497680664
avenue,0.11924558132886887,0.15853725373744965,0.0673476979136467,0.10360028594732285,0.26006367802619934,0.1548803150653839,0.18164469301700592,0.1990077942609787,0.06327427178621292
housing,0.14871764183044434,0.101891428232193,0.19518278539180756,0.09718326479196548,0.21511413156986237,0.09145545214414597,0.2967211902141571,0.09592044353485107,0.11872038245201111
the,0.42745697498321533,0.319829523563385,0.34736719727516174,0.24086274206638336,0.2316640317440033,0.21501964330673218,0.4739971458911896,0.2068762183189392,0.22068053483963013
abc,0.1317344456911087,0.4449407458305359,0.13353709876537323,0.16186381876468658,0.3551056385040283,0.3904791474342346,0.22510288655757904,1.0000001192092896,0.19065172970294952
news,0.2584491968154907,0.2762581408023834,0.18422135710716248,0.15973451733589172,0.2260841727256775,0.4332883059978485,0.181859090924263,0.40620431303977966,0.1899169683456421
building,0.23529528081417084,0.18250925838947296,0.14995639026165009,0.1937635987997055,0.1528078019618988,0.14004749059677124,0.2644540071487427,0.10863203555345535,0.13549931347370148
was,0.22111038863658905,0.20142383873462677,0.41399896144866943,0.24126720428466797,0.2422993928194046,0.1356995701789856,0.3863949179649353,0.21565799415111542,0.18412111699581146
renamed,0.16309694945812225,0.15673452615737915,0.20125629007816315,0.15735800564289093,0.15137003362178802,0.13128958642482758,0.1537042260169983,0.17665110528469086,0.13648955523967743
peter,0.15377900004386902,0.16543519496917725,0.1588931679725647,1.0,0.31955286860466003,0.1339767724275589,0.1829002946615219,0.16186381876468658,0.11650477349758148
jennings,0.1697235256433487,0.2393048107624054,0.16656774282455444,0.31955286860466003,0.9999998807907104,0.250811368227005,0.23989848792552948,0.3551056385040283,0.2327541559934616
way,0.4835909903049469,0.24654343724250793,0.34534135460853577,0.21856042742729187,0.17565131187438965,0.10440301150083542,0.384344220161438,0.18054960668087006,0.31575819849967957
in,0.30808621644973755,0.27595704793930054,0.2593238651752472,0.168073832988739,0.2230689972639084,0.15393804013729095,0.4322226941585541,0.1697147786617279,0.20430970191955566
