,what,study,covered,subjects,in,"80,000",schools,?
it,0.45803478360176086,0.2164122611284256,0.29805508255958557,0.2615339457988739,0.5130809545516968,-0.09668140858411789,0.25572529435157776,0.25732165575027466
is,0.28837618231773376,0.20457550883293152,0.2292746752500534,0.2020462304353714,0.5394441485404968,-0.04319292679429054,0.2022145688533783,0.22961433231830597
therefore,0.4125064015388489,0.20900022983551025,0.1694875955581665,0.2903539836406708,0.2696720361709595,-0.01788203977048397,0.25964680314064026,0.3325358033180237
logical,0.35248708724975586,0.24408908188343048,0.07217776030302048,0.28603529930114746,0.15741807222366333,0.0075371237471699715,0.15429358184337616,0.22452732920646667
to,0.455847829580307,0.3326032757759094,0.243978813290596,0.3006519377231598,0.45010748505592346,-0.007197069004178047,0.2362271547317505,0.29463258385658264
conclude,0.31801578402519226,0.26099926233291626,0.18586762249469757,0.26536858081817627,0.2531396448612213,-0.09837381541728973,0.13733743131160736,0.19442129135131836
that,0.6297725439071655,0.31241273880004883,0.32170581817626953,0.32403165102005005,0.435920387506485,-0.025089122354984283,0.2649109661579132,0.32716336846351624
information,0.35283446311950684,0.33908897638320923,0.14634568989276886,0.37620970606803894,0.20385970175266266,0.08960055559873581,0.21988873183727264,0.24875912070274353
on,0.34226128458976746,0.1889076977968216,0.3599720597267151,0.23630590736865997,0.46853652596473694,-0.02144225873053074,0.18452578783035278,0.2714994251728058
the,0.42745697498321533,0.2533665597438812,0.3132939636707306,0.22999566793441772,0.6662389636039734,0.00957481749355793,0.22905772924423218,0.22068053483963013
percentage,0.27871522307395935,0.18029268085956573,0.140321746468544,0.2036067247390747,0.18874377012252808,0.02967766672372818,0.1464802473783493,0.16088637709617615
of,0.33290785551071167,0.29377859830856323,0.28798651695251465,0.24864935874938965,0.5696388483047485,0.04774238169193268,0.265506386756897,0.1826142966747284
abuses,0.24031168222427368,0.1856977641582489,0.11917362362146378,0.35102972388267517,0.1745140552520752,-0.11368546634912491,0.25301483273506165,0.1949743926525116
by,0.2455483376979828,0.1623244434595108,0.2547268867492676,0.24780595302581787,0.370934396982193,0.03507217764854431,0.1415957361459732,0.17966607213020325
teachers,0.2526462972164154,0.39217743277549744,0.10119368135929108,0.38129734992980957,0.2128150761127472,0.10499276965856552,0.5533654689788818,0.19522249698638916
in,0.30808621644973755,0.2875489294528961,0.27591216564178467,0.22681275010108948,1.0,-0.014375469647347927,0.2632134258747101,0.20430970191955566
