,what,spacecraft,contained,data,to,determine,the,oxygen,content,of,the,sun,?
analysis,0.2842639982700348,0.20470917224884033,0.253993421792984,0.32508599758148193,0.21860700845718384,0.3936672508716583,0.24241644144058228,0.19984814524650574,0.21335875988006592,0.24679350852966309,0.24241644144058228,0.10968854278326035,0.15352053940296173
of,0.33290785551071167,0.16566437482833862,0.37918418645858765,0.20013196766376495,0.41548454761505127,0.3512130081653595,0.733189046382904,0.16848602890968323,0.18281257152557373,1.0,0.733189046382904,0.22858914732933044,0.1826142966747284
a,0.3320399522781372,0.1892588883638382,0.301316499710083,0.2163095474243164,0.45503583550453186,0.3650607168674469,0.5829201340675354,0.21662019193172455,0.20795699954032898,0.5052502155303955,0.5829201340675354,0.18251942098140717,0.23916715383529663
silicon,0.18574021756649017,0.31255823373794556,0.20445439219474792,0.21566806733608246,0.19899728894233704,0.14587756991386414,0.23840630054473877,0.39430758357048035,0.25385162234306335,0.27253201603889465,0.23840630054473877,0.2207091599702835,0.0868363156914711
wafer,0.20795804262161255,0.2129165679216385,0.2811979353427887,0.27439913153648376,0.273711234331131,0.22013512253761292,0.2579030692577362,0.31122156977653503,0.25138524174690247,0.24846436083316803,0.2579030692577362,0.2558610141277313,0.16694091260433197
exposed,0.21776136755943298,0.21686694025993347,0.3327804207801819,0.14239759743213654,0.26349055767059326,0.25678586959838867,0.23872122168540955,0.36714857816696167,0.2657108008861542,0.2452162206172943,0.23872122168540955,0.20942151546478271,0.12477970123291016
to,0.455847829580307,0.25703316926956177,0.21074968576431274,0.24776634573936462,1.0,0.4076496958732605,0.535392165184021,0.24193501472473145,0.2765587866306305,0.41548454761505127,0.535392165184021,0.17790719866752625,0.29463258385658264
the,0.42745697498321533,0.21476294100284576,0.31440216302871704,0.20546740293502808,0.535392165184021,0.40889066457748413,1.0,0.20428593456745148,0.21174471080303192,0.733189046382904,1.0,0.258540540933609,0.22068053483963013
solar,0.19109857082366943,0.4425762891769409,0.16040867567062378,0.1472548395395279,0.19946952164173126,0.1677713543176651,0.2513602674007416,0.2792643904685974,0.22580327093601227,0.22685161232948303,0.2513602674007416,0.47874757647514343,0.18617206811904907
wind,0.2056615948677063,0.25046423077583313,0.12644334137439728,0.15977849066257477,0.198759526014328,0.13077253103256226,0.2338196188211441,0.19366751611232758,0.16815781593322754,0.22346341609954834,0.2338196188211441,0.2932126522064209,0.17669273912906647
in,0.30808621644973755,0.19417698681354523,0.3168308436870575,0.17588379979133606,0.45010748505592346,0.28156906366348267,0.6662389636039734,0.1672476977109909,0.1518891453742981,0.5696388483047485,0.6662389636039734,0.16873624920845032,0.20430970191955566
space,0.20525942742824554,0.6220287084579468,0.16570129990577698,0.27103573083877563,0.22712917625904083,0.19532141089439392,0.24495907127857208,0.25929561257362366,0.2528844177722931,0.21300287544727325,0.24495907127857208,0.13837723433971405,0.1885536164045334
and,0.31309178471565247,0.19242209196090698,0.3102993071079254,0.23368559777736664,0.48971283435821533,0.2686745524406433,0.5171257257461548,0.22261030972003937,0.31410330533981323,0.5116966962814331,0.5171257257461548,0.22661687433719635,0.20544172823429108
returned,0.15085899829864502,0.24051299691200256,0.18118146061897278,0.10420189052820206,0.30012887716293335,0.18550685048103333,0.32857778668403625,0.16706505417823792,0.053153764456510544,0.28002414107322693,0.32857778668403625,0.03743068128824234,0.07695316523313522
by,0.2455483376979828,0.19003267586231232,0.2723034620285034,0.17736557126045227,0.33534231781959534,0.25706249475479126,0.4408751428127289,0.1292176991701126,0.19067873060703278,0.3646814823150635,0.4408751428127289,0.18461088836193085,0.17966607213020325
