,how,old,was,manning,at,the,beginning,of,the,2015,season,?
under,0.23006081581115723,0.12744542956352234,0.2672741413116455,0.16125793755054474,0.2700437307357788,0.3348022699356079,0.18192905187606812,0.32766106724739075,0.3348022699356079,0.14021112024784088,0.059347424656152725,0.18233340978622437
kubiak,0.06607796996831894,0.13098150491714478,0.2883514165878296,0.3307993710041046,0.1462259739637375,0.1740415245294571,0.09440907090902328,0.15710368752479553,0.1740415245294571,0.10086428374052048,0.3101365864276886,0.15975911915302277
",",0.22659391164779663,0.26524028182029724,0.45456063747406006,0.30921146273612976,0.38314947485923767,0.4933079481124878,0.31347912549972534,0.4946078956127167,0.4933079481124878,0.06568983197212219,0.2232367992401123,0.31091248989105225
the,0.33890387415885925,0.31849798560142517,0.48711544275283813,0.27058160305023193,0.457212895154953,1.0,0.49622642993927,0.733189046382904,1.0,0.1466771513223648,0.2507155239582062,0.22068053483963013
broncos,0.11217407882213593,0.0845843181014061,0.23574475944042206,0.4807402193546295,0.23374907672405243,0.25985947251319885,0.23910169303417206,0.19310332834720612,0.25985947251319885,-0.0028495145961642265,0.3664494454860687,0.18377114832401276
planned,0.16940928995609283,0.1859440803527832,0.3590250015258789,0.17176447808742523,0.23726597428321838,0.3010992109775543,0.23950278759002686,0.2487981617450714,0.3010992109775543,0.11439397931098938,0.1452321708202362,0.16188396513462067
to,0.44169697165489197,0.2412436157464981,0.3636345863342285,0.24857525527477264,0.36524343490600586,0.535392165184021,0.32582011818885803,0.41548454761505127,0.535392165184021,-0.0031493064016103745,0.22382742166519165,0.29463258385658264
install,0.19285143911838531,0.14956757426261902,0.14562483131885529,0.1562677025794983,0.1627841591835022,0.18724390864372253,0.13741914927959442,0.14315830171108246,0.18724390864372253,0.0030894794035702944,0.09267032891511917,0.2745343744754791
a,0.29312583804130554,0.2846200466156006,0.4508470594882965,0.2509649395942688,0.3095070421695709,0.5829201340675354,0.31769853830337524,0.5052502155303955,0.5829201340675354,-0.008371892385184765,0.1855505406856537,0.23916715383529663
run-oriented,0.28839951753616333,0.17910142242908478,0.17600296437740326,0.1429678052663803,0.18814948201179504,0.26444050669670105,0.305443674325943,0.23865288496017456,0.26444050669670105,-0.04774857312440872,0.1752462238073349,0.10559862107038498
offense,0.18130072951316833,0.1371164470911026,0.23727211356163025,0.2943726181983948,0.1933489739894867,0.25977253913879395,0.22194133698940277,0.23099714517593384,0.25977253913879395,-0.025582807138562202,0.17414431273937225,0.28476977348327637
with,0.3525622487068176,0.20720098912715912,0.27411898970603943,0.18539859354496002,0.29126521944999695,0.4223487675189972,0.2523934543132782,0.41827285289764404,0.4223487675189972,-0.05818283185362816,0.26700887084007263,0.2433311939239502
zone,0.1622122824192047,0.07174910604953766,0.161222442984581,0.053107570856809616,0.16324889659881592,0.26423242688179016,0.13188683986663818,0.22467142343521118,0.26423242688179016,0.011973454616963863,0.17831367254257202,0.1173049733042717
blocking,0.3367662727832794,0.1134142279624939,0.16013281047344208,0.24728354811668396,0.14073026180267334,0.28961867094039917,0.25645911693573,0.21747972071170807,0.28961867094039917,-0.13950636982917786,0.13423003256320953,0.3374691307544708
to,0.44169697165489197,0.2412436157464981,0.3636345863342285,0.24857525527477264,0.36524343490600586,0.535392165184021,0.32582011818885803,0.41548454761505127,0.535392165184021,-0.0031493064016103745,0.22382742166519165,0.29463258385658264
blend,0.22215436398983002,0.1087200790643692,0.11487415432929993,0.057108473032712936,0.046393416821956635,0.18428699672222137,0.1784653663635254,0.14231498539447784,0.18428699672222137,-0.10274520516395569,0.0857684314250946,0.09344823658466339
in,0.2601168751716614,0.2865324318408966,0.45514053106307983,0.22345924377441406,0.4374977946281433,0.6662389636039734,0.3787442147731781,0.5696388483047485,0.6662389636039734,0.0891268327832222,0.2184021919965744,0.20430970191955566
with,0.3525622487068176,0.20720098912715912,0.27411898970603943,0.18539859354496002,0.29126521944999695,0.4223487675189972,0.2523934543132782,0.41827285289764404,0.4223487675189972,-0.05818283185362816,0.26700887084007263,0.2433311939239502
