,most,aspects,of,transport,safety,is,a,subject,dealt,with,by,whom,?
the,0.47635307908058167,0.2620294690132141,0.733189046382904,0.2433847039937973,0.25972458720207214,0.5823672413825989,0.5829201340675354,0.2387523651123047,0.24436350166797638,0.4223487675189972,0.4408751428127289,0.23752936720848083,0.22068053483963013
scottish,0.18787570297718048,0.12991531193256378,0.1698460429906845,0.08979259431362152,0.1854759007692337,0.16398480534553528,0.18544672429561615,0.11934399604797363,0.11284700036048889,0.20394033193588257,0.1562303602695465,0.2726116180419922,0.06442669779062271
parliament,0.14790794253349304,0.09590860456228256,0.2885259687900543,0.18174099922180176,0.16936138272285461,0.19676777720451355,0.22951169312000275,0.2438318133354187,0.12583079934120178,0.14422082901000977,0.1523929238319397,0.19471624493598938,0.1586504578590393
is,0.41165053844451904,0.23535941541194916,0.4854315221309662,0.22889505326747894,0.15942081809043884,1.0,0.658733606338501,0.25386592745780945,0.1399565488100052,0.3250955045223236,0.3899846076965332,0.15196239948272705,0.22961433231830597
unable,0.17919650673866272,0.12328225374221802,0.2372649908065796,0.15007682144641876,0.2694579064846039,0.11479603499174118,0.22923994064331055,0.21250416338443756,0.17027784883975983,0.2665347456932068,0.2509508430957794,0.27540841698646545,0.1804998219013214
to,0.321603000164032,0.23851177096366882,0.41548454761505127,0.21968118846416473,0.254177987575531,0.42745086550712585,0.45503583550453186,0.3198980987071991,0.25993335247039795,0.4239959120750427,0.33534231781959534,0.3108522593975067,0.29463258385658264
legislate,0.17530663311481476,0.2079043835401535,0.2925061583518982,0.1808130443096161,0.19398750364780426,0.1680021733045578,0.21953865885734558,0.3234691619873047,0.2632497251033783,0.16519159078598022,0.15154775977134705,0.18134203553199768,0.24869191646575928
on,0.28303956985473633,0.232073575258255,0.3966929316520691,0.15922781825065613,0.20992831885814667,0.3635730445384979,0.3848365545272827,0.2795393466949463,0.25009170174598694,0.40749499201774597,0.33887791633605957,0.14539912343025208,0.2714994251728058
such,0.38148126006126404,0.35961270332336426,0.3209529519081116,0.18698886036872864,0.23917198181152344,0.23545363545417786,0.2706976532936096,0.2565985918045044,0.2446172535419464,0.3346101939678192,0.2736194431781769,0.13612067699432373,0.17851735651493073
issues,0.18467910587787628,0.4371536374092102,0.2288406491279602,0.1549077183008194,0.2625616490840912,0.17773117125034332,0.24391965568065643,0.36772069334983826,0.4352542757987976,0.251447856426239,0.17440913617610931,0.1956142783164978,0.320565789937973
that,0.4497850239276886,0.3265916109085083,0.41498205065727234,0.25196561217308044,0.2526600956916809,0.3995479643344879,0.47537946701049805,0.3529222309589386,0.299767404794693,0.4154358208179474,0.37496164441108704,0.3278515338897705,0.32716336846351624
are,0.48698675632476807,0.27324211597442627,0.39081433415412903,0.20763421058654785,0.21447233855724335,0.5330929756164551,0.265255331993103,0.22845745086669922,0.22751621901988983,0.38996943831443787,0.37842893600463867,0.17908456921577454,0.24591213464736938
reserved,0.21093478798866272,0.15273764729499817,0.22991587221622467,0.18239986896514893,0.16308899223804474,0.2283981740474701,0.1901448518037796,0.15352149307727814,0.23911108076572418,0.16285564005374908,0.1556844264268875,0.2224537879228592,0.1177138090133667
