,what,is,the,name,of,the,host,committee,'s,charitable,initiative,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.26909032464027405,0.24322165548801422,-0.01540423184633255,0.2496783286333084,0.23040100932121277,0.22068053483963013
committee,0.18195343017578125,0.1410297304391861,0.24322165548801422,0.14093075692653656,0.2920650243759155,0.24322165548801422,0.15074416995048523,1.0,0.04900093004107475,0.28939294815063477,0.3100564777851105,0.12144632637500763
created,0.20714101195335388,0.28467464447021484,0.3539263904094696,0.25696396827697754,0.32043445110321045,0.3539263904094696,0.12901702523231506,0.2314150482416153,-0.015766004100441933,0.1865115910768509,0.17706143856048584,0.21177415549755096
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.26909032464027405,0.24322165548801422,-0.01540423184633255,0.2496783286333084,0.23040100932121277,0.22068053483963013
50,-0.04124141484498978,0.0017694636480882764,0.03602437674999237,-0.0409264862537384,0.006577443331480026,0.03602437674999237,-0.04591839388012886,-0.014448681846261024,-0.01041578408330679,0.05105019360780716,0.022957341745495796,0.030512850731611252
fund,0.14864346385002136,0.16683584451675415,0.25521403551101685,0.1593160480260849,0.27318620681762695,0.25521403551101685,0.1703566610813141,0.32903406023979187,0.04831458255648613,0.5047922730445862,0.4130183756351471,0.1883198469877243
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.19779783487319946,0.1826688051223755,-0.05775856226682663,0.24675196409225464,0.24590659141540527,0.27043893933296204
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.317160964012146,0.48690423369407654,0.559237003326416,0.20300376415252686,0.1876520961523056,0.03202139586210251,0.23494742810726166,0.19732637703418732,0.15103481709957123
philanthropic,0.1870797723531723,0.13364285230636597,0.17239925265312195,0.12189202755689621,0.20743587613105774,0.17239925265312195,0.23437561094760895,0.27776870131492615,0.08584237098693848,0.5074658989906311,0.35545599460601807,0.17462901771068573
initiative,0.22199440002441406,0.18351870775222778,0.23040100932121277,0.11261515319347382,0.250868022441864,0.23040100932121277,0.17587170004844666,0.3100564777851105,-0.0840248093008995,0.3540709614753723,1.0000001192092896,0.2048262655735016
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.2797408998012543,0.22311176359653473,0.06895173341035843,0.25795939564704895,0.24450580775737762,0.20544172823429108
focuses,0.27091580629348755,0.3330233693122864,0.26860302686691284,0.0658797025680542,0.29358524084091187,0.26860302686691284,0.06869638711214066,0.12135763466358185,0.005668343976140022,0.28617432713508606,0.28894954919815063,0.15887200832366943
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.17627742886543274,0.3966929316520691,0.5107308030128479,0.1900089532136917,0.20945778489112854,0.0026888418942689896,0.2532339096069336,0.19717080891132355,0.2714994251728058
providing,0.21766136586666107,0.27256250381469727,0.29839932918548584,0.035194624215364456,0.24403119087219238,0.29839932918548584,0.20433872938156128,0.16554845869541168,-0.042589202523231506,0.358589768409729,0.3577812612056732,0.1936793476343155
grants,0.18652507662773132,0.16080595552921295,0.2900126874446869,0.15477146208286285,0.3099519908428192,0.2900126874446869,0.13839149475097656,0.26475095748901367,-0.05198945850133896,0.4018951654434204,0.30003583431243896,0.1494954377412796
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.18300798535346985,0.24979650974273682,0.03782717138528824,0.2233010083436966,0.2696518898010254,0.29463258385658264
