,agassiz,'s,approach,to,science,combined,observation,and,what,?
agassiz,1.0,0.05147874727845192,0.08156751841306686,0.17619197070598602,0.302653044462204,0.10517796128988266,0.24079124629497528,0.24042153358459473,0.14283393323421478,0.15660278499126434
's,0.05147874727845192,0.9999999403953552,-0.010854327119886875,0.03782717138528824,0.03909866884350777,0.05644876882433891,-0.029027940705418587,0.06895173341035843,0.02692362666130066,-0.023395681753754616
perspective,0.10517511516809464,0.04078356921672821,0.38593369722366333,0.29367613792419434,0.35527926683425903,0.20438283681869507,0.32481878995895386,0.291872501373291,0.3797385096549988,0.20587648451328278
on,0.16108918190002441,0.0026888418942689896,0.263427197933197,0.41031414270401,0.2139003723859787,0.1816592961549759,0.2853553593158722,0.4077630043029785,0.34226128458976746,0.2714994251728058
science,0.302653044462204,0.03909866884350777,0.24830028414726257,0.2226530760526657,1.0,0.02243952453136444,0.3665241003036499,0.2865735590457916,0.2612018585205078,0.17974960803985596
combined,0.10517796128988266,0.05644876882433891,0.18679581582546234,0.24629315733909607,0.02243952453136444,1.0000001192092896,0.1056302860379219,0.3240981996059418,0.21267308294773102,0.17985320091247559
observation,0.24079124629497528,-0.029027940705418587,0.33186835050582886,0.24857792258262634,0.3665241003036499,0.1056302860379219,1.0,0.20826725661754608,0.2846803367137909,0.15791697800159454
with,0.1656159609556198,-0.04624466598033905,0.1915045827627182,0.4239959120750427,0.16571007668972015,0.340704083442688,0.1905817836523056,0.5477725267410278,0.2464839518070221,0.2433311939239502
intuition,0.11775118112564087,0.035269465297460556,0.3228848874568939,0.2761060297489166,0.35534194111824036,0.1760960817337036,0.37438514828681946,0.21705760061740875,0.36534836888313293,0.34162789583206177
and,0.24042153358459473,0.06895173341035843,0.2348477989435196,0.48971283435821533,0.2865735590457916,0.3240981996059418,0.20826725661754608,1.0,0.31309178471565247,0.20544172823429108
the,0.19301146268844604,-0.01540423184633255,0.1999826431274414,0.535392165184021,0.24037593603134155,0.3713363707065582,0.265403151512146,0.5171257257461548,0.42745697498321533,0.22068053483963013
assumption,0.17140261828899384,0.017019789665937424,0.36172014474868774,0.30439603328704834,0.24534308910369873,0.16517257690429688,0.2750343382358551,0.19467933475971222,0.4053521156311035,0.28394895792007446
that,0.20936129987239838,0.04397977516055107,0.24670064449310303,0.5436353087425232,0.2881232798099518,0.26636165380477905,0.31308111548423767,0.4731321930885315,0.6297725439071655,0.32716336846351624
a,0.191737562417984,0.04866964742541313,0.2336270660161972,0.45503583550453186,0.2378881424665451,0.2649520933628082,0.2369925081729889,0.3739250600337982,0.3320399522781372,0.23916715383529663
person,0.10400224477052689,-0.016232607886195183,0.12999071180820465,0.33486208319664,0.2069791704416275,0.2220696359872818,0.23023539781570435,0.27333492040634155,0.41527870297431946,0.324093222618103
can,0.13856784999370575,-0.02075597457587719,0.196861132979393,0.4979398250579834,0.1744820475578308,0.2668262720108032,0.28717029094696045,0.3675691485404968,0.34502777457237244,0.3226337134838104
grasp,0.09699244052171707,0.03299124911427498,0.27359992265701294,0.31856536865234375,0.26459163427352905,0.12975800037384033,0.270385205745697,0.2543633282184601,0.3526991903781891,0.33614590764045715
the,0.19301146268844604,-0.01540423184633255,0.1999826431274414,0.535392165184021,0.24037593603134155,0.3713363707065582,0.265403151512146,0.5171257257461548,0.42745697498321533,0.22068053483963013
``,0.057616718113422394,-0.03416389226913452,0.010264833457767963,0.06720756739377975,0.008533534593880177,0.08128747344017029,-0.016541356220841408,0.036644238978624344,0.008517155423760414,0.0685480609536171
divine,0.11145318299531937,0.05870935320854187,0.12966527044773102,0.1913808286190033,0.2056489884853363,0.1627735197544098,0.280910462141037,0.23068445920944214,0.2493596225976944,0.17546041309833527
plan,0.09879503399133682,0.014385199174284935,0.2616741359233856,0.36421895027160645,0.20254947245121002,0.12073888629674911,0.1853976547718048,0.26844465732574463,0.2947953939437866,0.1961054503917694
'',-0.007550436072051525,-0.04859459400177002,-0.06495973467826843,-0.009905828163027763,0.07709507644176483,0.12371319532394409,0.07435085624456406,0.021612688899040222,0.08143015950918198,0.018684765323996544
in,0.18513235449790955,-0.037580832839012146,0.17494414746761322,0.45010748505592346,0.269875705242157,0.3370276689529419,0.22631743550300598,0.4954058527946472,0.30808621644973755,0.20430970191955566
all,0.15745218098163605,0.03181743621826172,0.21760383248329163,0.42520734667778015,0.1796533465385437,0.331554114818573,0.2364605814218521,0.4542157053947449,0.41981086134910583,0.29575422406196594
phenomena,0.27378445863723755,-0.0286481324583292,0.32573068141937256,0.2164914757013321,0.4715580344200134,0.1525682806968689,0.46663618087768555,0.21630537509918213,0.29837703704833984,0.21085940301418304
.,0.23902593553066254,-0.003708066651597619,0.21207883954048157,0.4645031690597534,0.21781636774539948,0.2813032567501068,0.2165544480085373,0.588965117931366,0.3567904531955719,0.4130953550338745
