,when,the,recovery,between,the,widening,gap,between,the,richest,citizens,and,rest,of,the,nation,slow,?
in,0.4431333839893341,0.6662389636039734,0.22794748842716217,0.41100412607192993,0.6662389636039734,0.2539675831794739,0.1954546719789505,0.41100412607192993,0.6662389636039734,0.2720588445663452,0.28388577699661255,0.4954058527946472,0.3255048990249634,0.5696388483047485,0.6662389636039734,0.24983231723308563,0.17783866822719574,0.20430970191955566
2014,0.1509266346693039,0.059490643441677094,-0.058600593358278275,0.009617491625249386,0.059490643441677094,-0.05458616465330124,0.009176581166684628,0.009617491625249386,0.059490643441677094,0.09188402444124222,-0.055214062333106995,0.14333748817443848,0.005061950534582138,0.0493064783513546,0.059490643441677094,-0.0713178738951683,-0.04635852947831154,0.058127544820308685
",",0.36674630641937256,0.4933079481124878,0.20187516510486603,0.27714940905570984,0.4933079481124878,0.23455192148685455,0.213828906416893,0.27714940905570984,0.4933079481124878,0.2780846655368805,0.2264837771654129,0.6633074283599854,0.3065745532512665,0.4946078956127167,0.4933079481124878,0.2516145408153534,0.1939975768327713,0.31091248989105225
economists,0.17972677946090698,0.20146530866622925,0.20287419855594635,0.1872076392173767,0.20146530866622925,0.19062739610671997,0.1047419011592865,0.1872076392173767,0.20146530866622925,0.2740532457828522,0.3464086651802063,0.21251165866851807,0.12881740927696228,0.18642286956310272,0.20146530866622925,0.23092134296894073,0.15297438204288483,0.1671878695487976
with,0.5075214505195618,0.4223487675189972,0.2256179302930832,0.3829993009567261,0.4223487675189972,0.23099683225154877,0.19223357737064362,0.3829993009567261,0.4223487675189972,0.21477662026882172,0.16767141222953796,0.5477725267410278,0.3280266523361206,0.41827285289764404,0.4223487675189972,0.2163824439048767,0.17667777836322784,0.2433311939239502
the,0.5091903209686279,1.0,0.2886691391468048,0.39067012071609497,1.0,0.3781015872955322,0.27986636757850647,0.39067012071609497,1.0,0.27766263484954834,0.29208630323410034,0.5171257257461548,0.41330549120903015,0.733189046382904,1.0,0.39486879110336304,0.2366129457950592,0.22068053483963013
standard,0.2201707363128662,0.29008856415748596,0.11356765031814575,0.1977776139974594,0.29008856415748596,0.2905765175819397,0.19641906023025513,0.1977776139974594,0.29008856415748596,0.2063656747341156,0.19750885665416718,0.24117660522460938,0.2695401906967163,0.2296806275844574,0.29008856415748596,0.1882118135690689,0.23765872418880463,0.17029257118701935
&,0.050614893436431885,0.14992168545722961,0.09989806264638901,0.14426420629024506,0.14992168545722961,0.08820703625679016,0.1537168025970459,0.14426420629024506,0.14992168545722961,0.13036198914051056,0.020774146541953087,0.34093084931373596,0.12716224789619446,0.19900451600551605,0.14992168545722961,0.11116701364517212,0.08795034885406494,0.12596383690834045
poor,0.28178977966308594,0.21093174815177917,0.27129867672920227,0.1561765968799591,0.21093174815177917,0.2298995405435562,0.25873735547065735,0.1561765968799591,0.21093174815177917,0.3301037549972534,0.3020673990249634,0.31649142503738403,0.3354719281196594,0.23458099365234375,0.21093174815177917,0.2083241045475006,0.25205162167549133,0.12937016785144806
's,-0.03368149697780609,-0.01540423184633255,0.00434925127774477,0.006096371449530125,-0.01540423184633255,-0.011770334094762802,-0.05353022739291191,0.006096371449530125,-0.01540423184633255,-0.02634957991540432,0.050259269773960114,0.06895173341035843,0.04253825545310974,-0.03817026689648628,-0.01540423184633255,0.033554114401340485,0.08239768445491791,-0.023395681753754616
rating,0.23110592365264893,0.24654440581798553,0.23764505982398987,0.07526293396949768,0.24654440581798553,0.2268373966217041,0.10819486528635025,0.07526293396949768,0.24654440581798553,0.1938961297273636,0.18679657578468323,0.19924680888652802,0.2027105838060379,0.20229244232177734,0.24654440581798553,0.2329152673482895,0.18292208015918732,0.18754872679710388
agency,0.16371756792068481,0.24253644049167633,0.18168558180332184,0.14750936627388,0.24253644049167633,0.231519415974617,0.12645037472248077,0.14750936627388,0.24253644049167633,0.08668050169944763,0.19729918241500854,0.23476453125476837,0.1221722885966301,0.21890796720981598,0.24253644049167633,0.2771391272544861,0.07397584617137909,0.18185843527317047
concluded,0.22413310408592224,0.3024786412715912,0.3266962468624115,0.2604680359363556,0.3024786412715912,0.15626175701618195,0.13690991699695587,0.2604680359363556,0.3024786412715912,0.12785431742668152,0.17203155159950256,0.20419281721115112,0.2073807269334793,0.29793640971183777,0.3024786412715912,0.17776942253112793,0.138274148106575,0.13595789670944214
that,0.5860282182693481,0.5473989248275757,0.26089438796043396,0.299440860748291,0.5473989248275757,0.34657061100006104,0.24178916215896606,0.299440860748291,0.5473989248275757,0.19265452027320862,0.21861132979393005,0.4731321930885315,0.3498731553554535,0.41498205065727234,0.5473989248275757,0.24967946112155914,0.3056195080280304,0.32716336846351624
the,0.5091903209686279,1.0,0.2886691391468048,0.39067012071609497,1.0,0.3781015872955322,0.27986636757850647,0.39067012071609497,1.0,0.27766263484954834,0.29208630323410034,0.5171257257461548,0.41330549120903015,0.733189046382904,1.0,0.39486879110336304,0.2366129457950592,0.22068053483963013
widening,0.2810107171535492,0.3781015872955322,0.32195723056793213,0.24865911900997162,0.3781015872955322,1.0,0.28731751441955566,0.24865911900997162,0.3781015872955322,0.20028893649578094,0.1707586646080017,0.29138055443763733,0.27017244696617126,0.2925204038619995,0.3781015872955322,0.2645248472690582,0.2865573763847351,0.15005940198898315
disparity,0.3044878840446472,0.28894439339637756,0.3047000765800476,0.27406585216522217,0.28894439339637756,0.23517240583896637,0.19095534086227417,0.27406585216522217,0.28894439339637756,0.19595229625701904,0.24340075254440308,0.2454807311296463,0.24846364557743073,0.3107764422893524,0.28894439339637756,0.29999876022338867,0.24702705442905426,0.2772253155708313
between,0.38258615136146545,0.39067012071609497,0.11717601865530014,0.9999999403953552,0.39067012071609497,0.24865911900997162,0.30844828486442566,0.9999999403953552,0.39067012071609497,0.14392611384391785,0.09134194999933243,0.40645647048950195,0.22641295194625854,0.3737983703613281,0.39067012071609497,0.18237636983394623,0.14483000338077545,0.12887074053287506
the,0.5091903209686279,1.0,0.2886691391468048,0.39067012071609497,1.0,0.3781015872955322,0.27986636757850647,0.39067012071609497,1.0,0.27766263484954834,0.29208630323410034,0.5171257257461548,0.41330549120903015,0.733189046382904,1.0,0.39486879110336304,0.2366129457950592,0.22068053483963013
u.s.,0.1045418381690979,0.06592652946710587,0.043609924614429474,0.03985746204853058,0.06592652946710587,-0.027926115319132805,0.03550117835402489,0.03985746204853058,0.06592652946710587,0.003901862306520343,0.0569845512509346,0.011246231384575367,0.051188234239816666,0.011562774889171124,0.06592652946710587,0.02542990632355213,-0.05053975060582161,0.07886100560426712
's,-0.03368149697780609,-0.01540423184633255,0.00434925127774477,0.006096371449530125,-0.01540423184633255,-0.011770334094762802,-0.05353022739291191,0.006096371449530125,-0.01540423184633255,-0.02634957991540432,0.050259269773960114,0.06895173341035843,0.04253825545310974,-0.03817026689648628,-0.01540423184633255,0.033554114401340485,0.08239768445491791,-0.023395681753754616
wealthiest,0.19558003544807434,0.3305174708366394,0.13565780222415924,0.21127666532993317,0.3305174708366394,0.18481090664863586,0.15625038743019104,0.21127666532993317,0.3305174708366394,0.7016710638999939,0.39200663566589355,0.2977573275566101,0.22307227551937103,0.3388553857803345,0.3305174708366394,0.3834399878978729,0.009231333620846272,0.15221920609474182
citizens,0.1703348010778427,0.29208630323410034,0.13772942125797272,0.09134194999933243,0.29208630323410034,0.1707586646080017,0.08989708870649338,0.09134194999933243,0.29208630323410034,0.2493211030960083,1.0,0.23546771705150604,0.2191898226737976,0.24269554018974304,0.29208630323410034,0.40791451930999756,0.10514069348573685,0.14885954558849335
and,0.4716290831565857,0.5171257257461548,0.21304096281528473,0.40645647048950195,0.5171257257461548,0.29138055443763733,0.23067711293697357,0.40645647048950195,0.5171257257461548,0.2843356430530548,0.23546771705150604,1.0,0.34185317158699036,0.5116966962814331,0.5171257257461548,0.2466844916343689,0.24668022990226746,0.20544172823429108
the,0.5091903209686279,1.0,0.2886691391468048,0.39067012071609497,1.0,0.3781015872955322,0.27986636757850647,0.39067012071609497,1.0,0.27766263484954834,0.29208630323410034,0.5171257257461548,0.41330549120903015,0.733189046382904,1.0,0.39486879110336304,0.2366129457950592,0.22068053483963013
rest,0.3247845470905304,0.41330549120903015,0.2957908511161804,0.22641295194625854,0.41330549120903015,0.27017244696617126,0.2188493013381958,0.22641295194625854,0.41330549120903015,0.24012692272663116,0.2191898226737976,0.34185317158699036,1.0000001192092896,0.33621829748153687,0.41330549120903015,0.24646353721618652,0.19078321754932404,0.1725541204214096
of,0.3757161796092987,0.733189046382904,0.25668516755104065,0.3737983703613281,0.733189046382904,0.2925204038619995,0.2172139286994934,0.3737983703613281,0.733189046382904,0.3122171461582184,0.24269554018974304,0.5116966962814331,0.33621829748153687,1.0,0.733189046382904,0.3102196156978607,0.1380475014448166,0.1826142966747284
the,0.5091903209686279,1.0,0.2886691391468048,0.39067012071609497,1.0,0.3781015872955322,0.27986636757850647,0.39067012071609497,1.0,0.27766263484954834,0.29208630323410034,0.5171257257461548,0.41330549120903015,0.733189046382904,1.0,0.39486879110336304,0.2366129457950592,0.22068053483963013
nation,0.1968017816543579,0.39486879110336304,0.17084066569805145,0.18237636983394623,0.39486879110336304,0.2645248472690582,0.1870882362127304,0.18237636983394623,0.39486879110336304,0.278620183467865,0.40791451930999756,0.2466844916343689,0.24646353721618652,0.3102196156978607,0.39486879110336304,1.0,0.1644028276205063,0.17865248024463654
had,0.37526828050613403,0.3875846862792969,0.2773829400539398,0.28245165944099426,0.3875846862792969,0.23924347758293152,0.20540878176689148,0.28245165944099426,0.3875846862792969,0.21325922012329102,0.2131263017654419,0.3872550129890442,0.2710453271865845,0.37755560874938965,0.3875846862792969,0.2291521430015564,0.18068720400333405,0.20728366076946259
slowed,0.34194064140319824,0.313388854265213,0.4678211212158203,0.2370358407497406,0.313388854265213,0.32316485047340393,0.16881607472896576,0.2370358407497406,0.313388854265213,0.07539019733667374,0.16206735372543335,0.2605600357055664,0.238831028342247,0.2261045277118683,0.313388854265213,0.21909667551517487,0.6756471395492554,0.10585252940654755
its,0.34032323956489563,0.559237003326416,0.196946382522583,0.2510443925857544,0.559237003326416,0.29269468784332275,0.24606400728225708,0.2510443925857544,0.559237003326416,0.159257173538208,0.1880599856376648,0.3841775357723236,0.2827455997467041,0.48690423369407654,0.559237003326416,0.30812326073646545,0.2117268145084381,0.15103481709957123
recovery,0.2641809582710266,0.2886691391468048,1.0000001192092896,0.11717601865530014,0.2886691391468048,0.32195723056793213,0.18416717648506165,0.11717601865530014,0.2886691391468048,0.15292136371135712,0.13772942125797272,0.21304096281528473,0.2957908511161804,0.25668516755104065,0.2886691391468048,0.17084066569805145,0.3686431050300598,0.11030710488557816
from,0.405669629573822,0.40150508284568787,0.22407148778438568,0.3269653618335724,0.40150508284568787,0.24425113201141357,0.1334429681301117,0.3269653618335724,0.40150508284568787,0.15981441736221313,0.16245996952056885,0.3601827025413513,0.25913378596305847,0.4249346852302551,0.40150508284568787,0.2036208063364029,0.15548473596572876,0.19969791173934937
the,0.5091903209686279,1.0,0.2886691391468048,0.39067012071609497,1.0,0.3781015872955322,0.27986636757850647,0.39067012071609497,1.0,0.27766263484954834,0.29208630323410034,0.5171257257461548,0.41330549120903015,0.733189046382904,1.0,0.39486879110336304,0.2366129457950592,0.22068053483963013
2008-2009,-0.12483319640159607,-0.030424339696764946,-0.15992319583892822,-0.15663282573223114,-0.030424339696764946,-0.17752428352832794,-0.15080700814723969,-0.15663282573223114,-0.030424339696764946,-0.006040455307811499,0.010535357519984245,-0.055193085223436356,-0.07718632370233536,-0.02860206924378872,-0.030424339696764946,0.015300426632165909,-0.2166198343038559,-0.11141005158424377
recession,0.291655957698822,0.3396528363227844,0.37370210886001587,0.21939584612846375,0.3396528363227844,0.36391350626945496,0.19076275825500488,0.21939584612846375,0.3396528363227844,0.212287038564682,0.24432258307933807,0.22412803769111633,0.18354929983615875,0.3236427903175354,0.3396528363227844,0.3000088036060333,0.31586116552352905,0.11054877191781998
and,0.4716290831565857,0.5171257257461548,0.21304096281528473,0.40645647048950195,0.5171257257461548,0.29138055443763733,0.23067711293697357,0.40645647048950195,0.5171257257461548,0.2843356430530548,0.23546771705150604,1.0,0.34185317158699036,0.5116966962814331,0.5171257257461548,0.2466844916343689,0.24668022990226746,0.20544172823429108
made,0.2936893105506897,0.3885267674922943,0.15989431738853455,0.20875616371631622,0.3885267674922943,0.23920181393623352,0.08504068106412888,0.20875616371631622,0.3885267674922943,0.1825169026851654,0.12802499532699585,0.34954607486724854,0.18246012926101685,0.33167365193367004,0.3885267674922943,0.13129264116287231,0.152754545211792,0.17218779027462006
it,0.4775012135505676,0.6251175999641418,0.2027793824672699,0.311247855424881,0.6251175999641418,0.313793420791626,0.19969838857650757,0.311247855424881,0.6251175999641418,0.2249782681465149,0.16866059601306915,0.40957894921302795,0.31067076325416565,0.38761502504348755,0.6251175999641418,0.28148317337036133,0.2596661448478699,0.25732165575027466
more,0.359977662563324,0.39758381247520447,0.2578483819961548,0.2803398668766022,0.39758381247520447,0.347793310880661,0.15857937932014465,0.2803398668766022,0.39758381247520447,0.20074482262134552,0.19930945336818695,0.39880692958831787,0.2788274884223938,0.30478984117507935,0.39758381247520447,0.2126917988061905,0.2961147725582123,0.27894994616508484
prone,0.24858364462852478,0.21115435659885406,0.31828686594963074,0.19145670533180237,0.21115435659885406,0.36526429653167725,0.1574430763721466,0.19145670533180237,0.21115435659885406,0.17408998310565948,0.14273163676261902,0.2671547830104828,0.18439768254756927,0.17674559354782104,0.21115435659885406,0.1512601226568222,0.3161398470401764,0.19483062624931335
to,0.5423505902290344,0.535392165184021,0.25767725706100464,0.3639189600944519,0.535392165184021,0.34789928793907166,0.22861579060554504,0.3639189600944519,0.535392165184021,0.17104682326316833,0.2594742178916931,0.48971283435821533,0.367563933134079,0.41548454761505127,0.535392165184021,0.2556411623954773,0.3074672520160675,0.29463258385658264
boom-and-bust,0.32847651839256287,0.3664504587650299,0.30879107117652893,0.18589268624782562,0.3664504587650299,0.32604819536209106,0.2627405822277069,0.18589268624782562,0.3664504587650299,0.29782989621162415,0.24857307970523834,0.3616923689842224,0.22339576482772827,0.2717345654964447,0.3664504587650299,0.28663280606269836,0.29482051730155945,0.2771144211292267
cycles,0.2327560931444168,0.2874864637851715,0.21359378099441528,0.22834405303001404,0.2874864637851715,0.2866398096084595,0.1527106910943985,0.22834405303001404,0.2874864637851715,0.12798868119716644,0.14333312213420868,0.2548370063304901,0.16534161567687988,0.2640573978424072,0.2874864637851715,0.143162339925766,0.27361175417900085,0.10661901533603668
.,0.475719153881073,0.5934505462646484,0.26325103640556335,0.30295518040657043,0.5934505462646484,0.283306747674942,0.17168964445590973,0.30295518040657043,0.5934505462646484,0.25926893949508667,0.19396132230758667,0.588965117931366,0.36049437522888184,0.5352458953857422,0.5934505462646484,0.2852533757686615,0.22769072651863098,0.4130953550338745
