,who,was,the,main,proponent,of,the,cellular,theory,of,immunity,?
according,0.22336459159851074,0.31116798520088196,0.3202974498271942,0.12122757732868195,0.30278152227401733,0.3307822346687317,0.3202974498271942,0.048920419067144394,0.2092074304819107,0.3307822346687317,0.15166327357292175,0.21173474192619324
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.26116618514060974,0.22281113266944885,0.41548454761505127,0.535392165184021,0.16043607890605927,0.21947365999221802,0.41548454761505127,0.23462912440299988,0.29463258385658264
the,0.3733934462070465,0.48711544275283813,1.0,0.38631999492645264,0.2463405430316925,0.733189046382904,1.0,0.20089124143123627,0.2277156263589859,0.733189046382904,0.25992491841316223,0.22068053483963013
cellular,0.1379985213279724,0.12790630757808685,0.20089124143123627,0.1661667376756668,0.1845407485961914,0.19871774315834045,0.20089124143123627,1.0000001192092896,0.24189800024032593,0.19871774315834045,0.33158576488494873,0.16428864002227783
theory,0.19210977852344513,0.18278326094150543,0.2277156263589859,0.17853248119354248,0.4336831867694855,0.23506702482700348,0.2277156263589859,0.24189800024032593,0.9999999403953552,0.23506702482700348,0.2129906266927719,0.1387292891740799
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.3177044689655304,0.27180153131484985,1.0,0.733189046382904,0.19871774315834045,0.23506702482700348,1.0,0.17778201401233673,0.1826142966747284
immunity,0.23388412594795227,0.1830712854862213,0.25992491841316223,0.13622315227985382,0.1947602778673172,0.17778201401233673,0.25992491841316223,0.33158576488494873,0.2129906266927719,0.17778201401233673,1.0000001192092896,0.16423189640045166
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2989408075809479,0.2272019386291504,0.4946078956127167,0.4933079481124878,0.15201711654663086,0.18095813691616058,0.4946078956127167,0.21605436503887177,0.31091248989105225
represented,0.17065028846263885,0.28321829438209534,0.3256146013736725,0.19755350053310394,0.27362778782844543,0.3891753554344177,0.3256146013736725,0.1098458394408226,0.13868072628974915,0.3891753554344177,0.13902385532855988,0.11276352405548096
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.28862449526786804,0.19235078990459442,0.5696388483047485,0.6662389636039734,0.20714080333709717,0.16955126821994781,0.5696388483047485,0.16387996077537537,0.20430970191955566
particular,0.304595410823822,0.20213615894317627,0.4066357910633087,0.35202276706695557,0.3492599129676819,0.3490585684776306,0.4066357910633087,0.31707286834716797,0.31689029932022095,0.3490585684776306,0.27822181582450867,0.2741454839706421
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.21864338219165802,0.19171926379203796,0.3646814823150635,0.4408751428127289,0.15252184867858887,0.17579947412014008,0.3646814823150635,0.20264138281345367,0.17966607213020325
elie,0.29132190346717834,0.22746491432189941,0.21759118139743805,0.12009817361831665,0.24392449855804443,0.16890323162078857,0.21759118139743805,0.17412959039211273,0.2444058209657669,0.16890323162078857,0.23165224492549896,0.16349981725215912
metchnikoff,0.2701369822025299,0.34945234656333923,0.2820717394351959,0.20737674832344055,0.2647985816001892,0.273300439119339,0.2820717394351959,0.3853710889816284,0.2979962229728699,0.273300439119339,0.2929466664791107,0.22752532362937927
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2989408075809479,0.2272019386291504,0.4946078956127167,0.4933079481124878,0.15201711654663086,0.18095813691616058,0.4946078956127167,0.21605436503887177,0.31091248989105225
it,0.2868398427963257,0.4577186405658722,0.6251175999641418,0.2827725112438202,0.16994871199131012,0.38761502504348755,0.6251175999641418,0.14601285755634308,0.19945570826530457,0.38761502504348755,0.20609386265277863,0.25732165575027466
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.21035033464431763,0.32684126496315,0.4069072902202606,0.48711544275283813,0.12790630757808685,0.18278326094150543,0.4069072902202606,0.1830712854862213,0.18412111699581146
cells,0.14406023919582367,0.12093250453472137,0.19095487892627716,0.12159634381532669,0.10409083962440491,0.21305565536022186,0.19095487892627716,0.6283379793167114,0.18208518624305725,0.21305565536022186,0.3603610694408417,0.1898086667060852
–,0.2920783460140228,0.30754852294921875,0.2607575058937073,0.07471643388271332,0.1997995674610138,0.2799985408782959,0.2607575058937073,0.12196560949087143,0.11112674325704575,0.2799985408782959,0.13037200272083282,0.2714554965496063
