,who,halted,the,advance,of,hulagu,khan,across,the,middle,east,?
his,0.44966956973075867,0.27213969826698303,0.4394008219242096,0.23560470342636108,0.38364991545677185,0.34923699498176575,0.26570460200309753,0.22208181023597717,0.4394008219242096,0.1569664478302002,0.17724090814590454,0.18075084686279297
descendant,0.3264788091182709,0.16706229746341705,0.27002206444740295,0.07442259788513184,0.29808375239372253,0.21556448936462402,0.19751887023448944,0.08216020464897156,0.27002206444740295,0.17599570751190186,0.21236127614974976,0.109697625041008
hulagu,0.2729198634624481,0.26854878664016724,0.28237754106521606,0.2661667764186859,0.254523903131485,1.0,0.5551163554191589,0.18281860649585724,0.28237754106521606,0.20716583728790283,0.19463106989860535,0.20386822521686554
khan,0.2616176903247833,0.1752285361289978,0.21067845821380615,0.1690959334373474,0.17124508321285248,0.5551163554191589,1.0,0.10598119348287582,0.21067845821380615,0.13592681288719177,0.16025978326797485,0.12862591445446014
destroyed,0.198551207780838,0.31249555945396423,0.3403017520904541,0.17973577976226807,0.27498680353164673,0.2696188688278198,0.08322438597679138,0.2753760814666748,0.3403017520904541,0.2130996435880661,0.23999342322349548,0.10318030416965485
much,0.2998695373535156,0.19130995869636536,0.35023224353790283,0.24941672384738922,0.2671096920967102,0.17770639061927795,0.16338728368282318,0.313662052154541,0.35023224353790283,0.19514094293117523,0.19139017164707184,0.23442231118679047
of,0.2827862501144409,0.21486762166023254,0.733189046382904,0.19167833030223846,1.0,0.254523903131485,0.17124508321285248,0.2936134934425354,0.733189046382904,0.2799445688724518,0.314786434173584,0.1826142966747284
iran,0.1571817845106125,0.12818951904773712,0.2222200483083725,0.07751023024320602,0.23381876945495605,0.331879198551178,0.356723427772522,0.0954647809267044,0.2222200483083725,0.18735814094543457,0.2026064693927765,0.13501082360744476
's,0.05599616840481758,-0.08208218961954117,-0.01540423184633255,0.03715536743402481,-0.03817026689648628,0.023081915453076363,0.05307086929678917,0.010988947004079819,-0.01540423184633255,-0.017355401068925858,0.05105345696210861,-0.023395681753754616
northern,0.21377815306186676,0.18066677451133728,0.3422943353652954,0.1468953937292099,0.32586339116096497,0.26569366455078125,0.1290637105703354,0.3171909749507904,0.3422943353652954,0.265926331281662,0.4434449076652527,0.13149388134479523
part,0.19576206803321838,0.20880162715911865,0.527681291103363,0.15666162967681885,0.452393114566803,0.17078648507595062,0.15835325419902802,0.3027701675891876,0.527681291103363,0.32326555252075195,0.3460236191749573,0.08557961881160736
and,0.41279885172843933,0.19749918580055237,0.5171257257461548,0.21963612735271454,0.5116966962814331,0.2742826044559479,0.22885166108608246,0.3308866024017334,0.5171257257461548,0.2514324486255646,0.27633291482925415,0.20544172823429108
