,what,entity,deals,with,eu,staff,issues,?
there,0.35085538029670715,0.1972605288028717,0.22791364789009094,0.37390366196632385,0.0963774099946022,0.15650536119937897,0.2735079228878021,0.29405656456947327
is,0.28837618231773376,0.28724968433380127,0.27342990040779114,0.3250955045223236,0.12234814465045929,0.14479392766952515,0.17773117125034332,0.22961433231830597
also,0.42747777700424194,0.23840709030628204,0.26075825095176697,0.44397303462028503,0.11792366206645966,0.22446565330028534,0.2907756268978119,0.21848613023757935
a,0.3320399522781372,0.2841722071170807,0.2577480673789978,0.3783375024795532,0.13932566344738007,0.17699815332889557,0.24391965568065643,0.23916715383529663
civil,0.15091551840305328,0.08851269632577896,0.1907760202884674,0.13053880631923676,0.14321628212928772,0.15202410519123077,0.22150123119354248,0.1494513899087906
service,0.16857224702835083,0.1856391727924347,0.15263347327709198,0.20442402362823486,0.16480354964733124,0.25979021191596985,0.2175704836845398,0.1676298975944519
tribunal,0.2804557681083679,0.24621500074863434,0.2449391633272171,0.1091650202870369,0.17444245517253876,0.22466014325618744,0.30636218190193176,0.19446547329425812
to,0.455847829580307,0.19512765109539032,0.2674049735069275,0.4239959120750427,0.1539587825536728,0.22379563748836517,0.27458062767982483,0.29463258385658264
deal,0.3379717469215393,0.14322073757648468,0.5508126616477966,0.4295210540294647,0.19992128014564514,0.2185874879360199,0.3791363537311554,0.2513751685619354
with,0.2464839518070221,0.10929257422685623,0.3572756052017212,0.9999999403953552,0.20157751441001892,0.20955438911914825,0.251447856426239,0.2433311939239502
eu,0.15409135818481445,0.12207561731338501,0.1819295883178711,0.20157751441001892,0.9999998807907104,0.07984042912721634,0.14685893058776855,0.21586786210536957
staff,0.17602989077568054,0.09926877915859222,0.23344387114048004,0.20955438911914825,0.07984042912721634,0.9999998807907104,0.19817453622817993,0.15871673822402954
issues,0.33279702067375183,0.3174993693828583,0.4182151257991791,0.251447856426239,0.14685893058776855,0.19817453622817993,1.0,0.320565789937973
",",0.3087472915649414,0.19129666686058044,0.2566559612751007,0.4120737314224243,0.1565755307674408,0.20899298787117004,0.2560703754425049,0.31091248989105225
and,0.31309178471565247,0.20907706022262573,0.3152588903903961,0.5477725267410278,0.16977795958518982,0.2557026147842407,0.2817770540714264,0.20544172823429108
then,0.4072686731815338,0.32058846950531006,0.14652828872203827,0.37121716141700745,0.05471714586019516,0.18820098042488098,0.23758992552757263,0.2884598970413208
a,0.3320399522781372,0.2841722071170807,0.2577480673789978,0.3783375024795532,0.13932566344738007,0.17699815332889557,0.24391965568065643,0.23916715383529663
separate,0.33215096592903137,0.3709500730037689,0.22554992139339447,0.29082512855529785,0.10710200667381287,0.08958131819963455,0.22268076241016388,0.16835719347000122
court,0.23440583050251007,0.17786403000354767,0.2515653669834137,0.14494022727012634,0.16374509036540985,0.22467577457427979,0.2151578962802887,0.17100423574447632
of,0.33290785551071167,0.21258564293384552,0.34589913487434387,0.41827285289764404,0.1579294353723526,0.237106591463089,0.2288406491279602,0.1826142966747284
auditors,0.308113157749176,0.16691163182258606,0.26315486431121826,0.16833673417568207,0.13320879638195038,0.2550423741340637,0.2615896165370941,0.20263656973838806
.,0.3567904531955719,0.24862751364707947,0.22662842273712158,0.4446153938770294,0.1552242487668991,0.2509625256061554,0.23493336141109467,0.4130953550338745
