,where,was,the,measurment,for,the,standard,gravity,on,earth,taken,?
today,0.27820688486099243,0.3137040436267853,0.35740926861763,0.20872928202152252,0.31663668155670166,0.35740926861763,0.2918112277984619,0.09402107447385788,0.2263319492340088,0.20168204605579376,0.19120678305625916,0.17338968813419342
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.28422001004219055,0.4464869201183319,0.4933079481124878,0.2593318521976471,0.18731217086315155,0.49057599902153015,0.23186853528022766,0.28904372453689575,0.31091248989105225
this,0.4012809097766876,0.3638818562030792,0.6274310946464539,0.33182206749916077,0.5082864165306091,0.6274310946464539,0.3091355860233307,0.3038611114025116,0.4193967580795288,0.2956106662750244,0.3044009506702423,0.3155723512172699
acceleration,0.2329925298690796,0.1786421239376068,0.29868006706237793,0.4693157970905304,0.23662486672401428,0.29868006706237793,0.3193652331829071,0.5664060115814209,0.19412635266780853,0.3610192835330963,0.13949640095233917,0.16905567049980164
due,0.18401895463466644,0.29011407494544983,0.22577603161334991,0.2685711979866028,0.2363993525505066,0.22577603161334991,0.19972319900989532,0.2324686050415039,0.3553527891635895,0.16260184347629547,0.1859806478023529,0.10954997688531876
to,0.47735077142715454,0.3636345863342285,0.535392165184021,0.2855902910232544,0.4451248347759247,0.535392165184021,0.1969985067844391,0.23946231603622437,0.41031414270401,0.2486501932144165,0.2772596478462219,0.29463258385658264
gravity,0.21862275898456573,0.15787701308727264,0.22609853744506836,0.34753409028053284,0.17030301690101624,0.22609853744506836,0.19705484807491302,0.9999999403953552,0.18129420280456543,0.4948450028896332,0.12357128411531448,0.18354056775569916
towards,0.35452669858932495,0.14273172616958618,0.31815874576568604,0.21491186320781708,0.24786117672920227,0.31815874576568604,0.08639088273048401,0.26593202352523804,0.29651278257369995,0.23982219398021698,0.17843499779701233,0.13023285567760468
the,0.5003893971443176,0.48711544275283813,1.0,0.3172871172428131,0.4739971458911896,1.0,0.29008856415748596,0.22609853744506836,0.5107308030128479,0.2801888585090637,0.3309854567050934,0.22068053483963013
surface,0.2541312277317047,0.15540370345115662,0.2555135488510132,0.4221871793270111,0.17463307082653046,0.2555135488510132,0.16415759921073914,0.4751412570476532,0.2674844264984131,0.49709221720695496,0.1502377837896347,0.14613434672355652
