,what,was,phillips,official,title,for,nasa,?
phillips,0.1776774823665619,0.2839582860469818,0.9999998807907104,0.17530390620231628,0.10693510621786118,0.1842086762189865,0.207257479429245,0.15470919013023376
',0.3245812654495239,0.33675912022590637,0.20117095112800598,0.29566490650177,0.24944783747196198,0.31184524297714233,0.20420905947685242,0.330942302942276
superior,0.2175816148519516,0.2357424944639206,0.1300496608018875,0.05602005869150162,0.15013492107391357,0.1955835521221161,0.15722639858722687,0.08769503235816956
officer,0.18551595509052277,0.33140087127685547,0.2786867618560791,0.24072706699371338,0.15686437487602234,0.17035067081451416,0.22808672487735748,0.119948610663414
bernard,0.1147925928235054,0.23581311106681824,0.3694649934768677,0.13296082615852356,0.11058051884174347,0.1684466451406479,0.14222638309001923,0.12774893641471863
a.,-0.06772881746292114,0.02592141553759575,0.01731979101896286,0.05216793343424797,-0.0760376900434494,-0.023511242121458054,0.08015679568052292,0.04165230318903923
schriever,0.24061083793640137,0.27102646231651306,0.40427616238594055,0.22987611591815948,0.1761281043291092,0.30587175488471985,0.15920667350292206,0.2503110468387604
agreed,0.3416297733783722,0.2848299443721771,0.13854143023490906,0.16991576552391052,0.1308937966823578,0.23074856400489807,0.13314101099967957,0.21258382499217987
to,0.455847829580307,0.3636345863342285,0.19412821531295776,0.18259026110172272,0.24913249909877777,0.4451248347759247,0.21193136274814606,0.29463258385658264
loan,0.11092481762170792,0.12920160591602325,0.14186491072177887,0.1836138367652893,0.09547838568687439,0.24813199043273926,0.11245071142911911,0.1957326978445053
phillips,0.1776774823665619,0.2839582860469818,0.9999998807907104,0.17530390620231628,0.10693510621786118,0.1842086762189865,0.207257479429245,0.15470919013023376
to,0.455847829580307,0.3636345863342285,0.19412821531295776,0.18259026110172272,0.24913249909877777,0.4451248347759247,0.21193136274814606,0.29463258385658264
nasa,0.21178755164146423,0.19417528808116913,0.207257479429245,0.19015096127986908,0.08511637151241302,0.17481353878974915,1.0000001192092896,0.1809994876384735
",",0.3087472915649414,0.45456063747406006,0.35821542143821716,0.2088543325662613,0.2202284336090088,0.4464869201183319,0.18665438890457153,0.31091248989105225
along,0.22421957552433014,0.24175575375556946,0.21284303069114685,0.13696779310703278,0.0634048655629158,0.249526709318161,0.0984765961766243,0.17134909331798553
with,0.2464839518070221,0.27411898970603943,0.22208432853221893,0.1332864612340927,0.16094465553760529,0.39140474796295166,0.12890534102916718,0.2433311939239502
a,0.3320399522781372,0.4508470594882965,0.23526975512504578,0.19875815510749817,0.23181948065757751,0.44038116931915283,0.19403119385242462,0.23916715383529663
staff,0.17602989077568054,0.21558520197868347,0.2180408537387848,0.1958208531141281,0.11072508990764618,0.2633745074272156,0.2133013904094696,0.15871673822402954
of,0.33290785551071167,0.4069072902202606,0.19958513975143433,0.2864961326122284,0.18969319760799408,0.4185989499092102,0.17935146391391754,0.1826142966747284
officers,0.20936226844787598,0.24956022202968597,0.2004544585943222,0.2072925716638565,0.12070568650960922,0.18508780002593994,0.14490658044815063,0.14072641730308533
under,0.20154598355293274,0.2672741413116455,0.11367681622505188,0.1434745490550995,0.2150648981332779,0.2930702269077301,0.04737166687846184,0.18233340978622437
him,0.34912991523742676,0.3675798773765564,0.21019385755062103,0.1470867544412613,0.19993215799331665,0.34431272745132446,0.13297466933727264,0.23943768441677094
",",0.3087472915649414,0.45456063747406006,0.35821542143821716,0.2088543325662613,0.2202284336090088,0.4464869201183319,0.18665438890457153,0.31091248989105225
on,0.34226128458976746,0.3909217119216919,0.19533957540988922,0.2521604001522064,0.16559039056301117,0.36199691891670227,0.18220403790473938,0.2714994251728058
the,0.42745697498321533,0.48711544275283813,0.1886449009180069,0.3133983910083771,0.27465343475341797,0.4739971458911896,0.19786997139453888,0.22068053483963013
condition,0.32254523038864136,0.20449285209178925,0.1424306482076645,0.08660902082920074,0.1783330738544464,0.2632654905319214,0.07269851118326187,0.19857749342918396
that,0.6297725439071655,0.33670201897621155,0.18161951005458832,0.1902298480272293,0.18916001915931702,0.4137635827064514,0.26653343439102173,0.32716336846351624
phillips,0.1776774823665619,0.2839582860469818,0.9999998807907104,0.17530390620231628,0.10693510621786118,0.1842086762189865,0.207257479429245,0.15470919013023376
be,0.3929833769798279,0.42228707671165466,0.1504908800125122,0.10468355566263199,0.2216247171163559,0.3801851272583008,0.22388871014118195,0.3324260413646698
made,0.23419176042079926,0.3433256447315216,0.11283187568187714,0.18841449916362762,0.15023131668567657,0.3147922456264496,0.19967365264892578,0.17218779027462006
apollo,0.13561789691448212,0.2306441366672516,0.1914997547864914,0.05447428300976753,0.10690837353467941,0.18462510406970978,0.4747956395149231,0.191528782248497
program,0.25047802925109863,0.1849333792924881,0.23150035738945007,0.1709645688533783,0.0705978274345398,0.29441335797309875,0.3442091643810272,0.1440187245607376
director,0.12868234515190125,0.30621418356895447,0.27633678913116455,0.21564485132694244,0.12714476883411407,0.2707504630088806,0.26589417457580566,0.09360282123088837
.,0.3567904531955719,0.40146201848983765,0.2573055326938629,0.2367454320192337,0.26782113313674927,0.4726039469242096,0.22033250331878662,0.4130953550338745
