,policies,which,try,to,control,unemployment,support,economic,growth,because,they,reduce,what,?
policies,0.9999998807907104,0.23623785376548767,0.3002244234085083,0.31011244654655457,0.30695486068725586,0.3988690972328186,0.40628618001937866,0.3956981301307678,0.2949559688568115,0.3058178424835205,0.24607710540294647,0.27617430686950684,0.37312451004981995,0.2969106435775757
aiming,0.33341050148010254,0.3714107871055603,0.37462911009788513,0.3616480529308319,0.2266247570514679,0.2147863656282425,0.33264678716659546,0.21285969018936157,0.2619262635707855,0.3737220764160156,0.2434549629688263,0.27623382210731506,0.3648797571659088,0.276167094707489
at,0.1588076800107956,0.3286694884300232,0.1983899176120758,0.36524343490600586,0.1741713136434555,0.21182619035243988,0.17800305783748627,0.11987590044736862,0.1545177549123764,0.32998594641685486,0.29493749141693115,0.18923968076705933,0.2838611304759979,0.21978627145290375
controlling,0.3151543140411377,0.38284772634506226,0.29221001267433167,0.2985723912715912,0.7689707279205322,0.24887049198150635,0.2606869041919708,0.24763596057891846,0.2929590940475464,0.3412896692752838,0.29492661356925964,0.363126277923584,0.3202577531337738,0.1598898321390152
unemployment,0.3988690972328186,0.1988108605146408,0.16724571585655212,0.20550286769866943,0.20348519086837769,0.9999999403953552,0.2519013583660126,0.5093812346458435,0.4337153732776642,0.24264533817768097,0.1855250597000122,0.36972683668136597,0.1712515503168106,0.20707537233829498
and,0.2788451910018921,0.506277859210968,0.359083354473114,0.48971283435821533,0.29790008068084717,0.2652346193790436,0.25609129667282104,0.2707010805606842,0.2731747627258301,0.5069696307182312,0.5073080658912659,0.2456025630235672,0.31309178471565247,0.20544172823429108
in,0.12669669091701508,0.4840516746044159,0.24484941363334656,0.45010748505592346,0.24831421673297882,0.24091598391532898,0.17618270218372345,0.22027181088924408,0.2819603681564331,0.37423941493034363,0.4330179989337921,0.22053970396518707,0.30808621644973755,0.20430970191955566
particular,0.2773149311542511,0.5626340508460999,0.270957350730896,0.40318208932876587,0.21864552795886993,0.2325233668088913,0.2591612637042999,0.21146388351917267,0.23518908023834229,0.4040614664554596,0.35919177532196045,0.33060163259506226,0.4548671245574951,0.2741454839706421
at,0.1588076800107956,0.3286694884300232,0.1983899176120758,0.36524343490600586,0.1741713136434555,0.21182619035243988,0.17800305783748627,0.11987590044736862,0.1545177549123764,0.32998594641685486,0.29493749141693115,0.18923968076705933,0.2838611304759979,0.21978627145290375
reducing,0.27342942357063293,0.3306034505367279,0.2599763572216034,0.2400641143321991,0.21039919555187225,0.3409002721309662,0.26197361946105957,0.29607051610946655,0.3192529082298279,0.3435882031917572,0.21652932465076447,0.735232949256897,0.16407831013202667,0.1068432405591011
its,0.16681824624538422,0.5154205560684204,0.1292683184146881,0.3691340684890747,0.23098616302013397,0.17084743082523346,0.19462807476520538,0.27847450971603394,0.33330482244491577,0.4357093274593353,0.36212384700775146,0.23881718516349792,0.30393704771995544,0.15103481709957123
inequality-associated,0.42868492007255554,0.3509456217288971,0.287642240524292,0.32397156953811646,0.2689272463321686,0.4659939110279083,0.2890976071357727,0.42855095863342285,0.33350345492362976,0.3958563208580017,0.3289478123188019,0.34613364934921265,0.29650136828422546,0.26184698939323425
effects,0.24723058938980103,0.2828926146030426,0.22433866560459137,0.2419324368238449,0.2504194378852844,0.2536725401878357,0.1889803409576416,0.25325119495391846,0.2771943509578705,0.3319046199321747,0.23242710530757904,0.3823302984237671,0.22572848200798035,0.16749060153961182
support,0.40628618001937866,0.21665282547473907,0.3139404058456421,0.2742273211479187,0.2613566517829895,0.2519013583660126,1.0000001192092896,0.2207997441291809,0.20986337959766388,0.3034655749797821,0.23787154257297516,0.28856441378593445,0.2797985076904297,0.22626608610153198
economic,0.3956981301307678,0.2570582926273346,0.1422407627105713,0.26856908202171326,0.22424155473709106,0.5093812346458435,0.2207997441291809,0.9999999403953552,0.4732155203819275,0.24202382564544678,0.2067524492740631,0.29510366916656494,0.18082544207572937,0.1206481084227562
growth,0.2949559688568115,0.32359230518341064,0.1025085598230362,0.2701800763607025,0.22832228243350983,0.4337153732776642,0.20986337959766388,0.4732155203819275,1.0000001192092896,0.2663889527320862,0.2682240307331085,0.31566423177719116,0.1739405393600464,0.07547862827777863
.,0.226143017411232,0.45942068099975586,0.3077121675014496,0.4645031690597534,0.24319837987422943,0.23137354850769043,0.2751289904117584,0.22435031831264496,0.2825547754764557,0.45765790343284607,0.4510921239852905,0.2184620201587677,0.3567904531955719,0.4130953550338745
