,what,work,of,luther,'s,became,popular,?
published,0.20457668602466583,0.33119451999664307,0.23023100197315216,0.15444858372211456,0.01244857907295227,0.2105138897895813,0.28753334283828735,0.16280238330364227
at,0.2838611304759979,0.24906395375728607,0.42558613419532776,0.13834704458713531,-0.08481216430664062,0.23894885182380676,0.11804749071598053,0.21978627145290375
a,0.3320399522781372,0.266241192817688,0.5052502155303955,0.17967689037322998,0.04866964742541313,0.28774285316467285,0.2756339907646179,0.23916715383529663
time,0.36319252848625183,0.33320653438568115,0.35127586126327515,0.17623016238212585,0.01301188487559557,0.3099048137664795,0.21377229690551758,0.27391523122787476
of,0.33290785551071167,0.23473061621189117,1.0,0.1719115972518921,-0.03817026689648628,0.3638904094696045,0.25281813740730286,0.1826142966747284
rising,0.18883290886878967,0.1549108922481537,0.27970030903816223,0.13513296842575073,-0.04362783581018448,0.20202025771141052,0.23906801640987396,0.07955946773290634
demand,0.2007312774658203,0.21970832347869873,0.2345065176486969,0.1569545865058899,0.009128083474934101,0.1624957174062729,0.22436070442199707,0.13359291851520538
for,0.3017193675041199,0.4087657630443573,0.4185989499092102,0.12958186864852905,-0.07241261005401611,0.3017078936100006,0.30736467242240906,0.264628142118454
german-language,0.3196391463279724,0.22971133887767792,0.28373149037361145,0.18835099041461945,-0.0008613807731308043,0.17871184647083282,0.19500936567783356,0.3201836347579956
publications,0.18124917149543762,0.31050628423690796,0.1714853048324585,0.15344926714897156,-0.02636771649122238,0.12959551811218262,0.17733028531074524,0.20990557968616486
",",0.3087472915649414,0.3283594250679016,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.2798398435115814,0.2819201350212097,0.31091248989105225
luther,0.2134782373905182,0.15580131113529205,0.1719115972518921,1.0,-0.009990512393414974,0.18142570555210114,0.1190042644739151,0.1732746809720993
's,0.02692362666130066,-0.03332063928246498,-0.03817026689648628,-0.009990512393414974,0.9999999403953552,0.0067522358149290085,0.11900079250335693,-0.023395681753754616
version,0.20755547285079956,0.22186952829360962,0.14166875183582306,0.18143774569034576,-0.009124638512730598,0.17773303389549255,0.22173543274402618,0.2573966085910797
quickly,0.27000871300697327,0.2103741466999054,0.1989620476961136,0.1543102264404297,0.04353427514433861,0.2755674421787262,0.2593923807144165,0.18131443858146667
became,0.1434093862771988,0.18583887815475464,0.3638904094696045,0.18142570555210114,0.0067522358149290085,1.0,0.3909672796726227,0.11374033987522125
a,0.3320399522781372,0.266241192817688,0.5052502155303955,0.17967689037322998,0.04866964742541313,0.28774285316467285,0.2756339907646179,0.23916715383529663
popular,0.186283677816391,0.17219805717468262,0.25281813740730286,0.1190042644739151,0.11900079250335693,0.3909672796726227,1.0,0.13108457624912262
and,0.31309178471565247,0.37551814317703247,0.5116966962814331,0.20796556770801544,0.06895173341035843,0.31226563453674316,0.3164171278476715,0.20544172823429108
influential,0.21743842959403992,0.3126862645149231,0.35619789361953735,0.132790207862854,0.002214092994108796,0.36194148659706116,0.44088175892829895,0.1465693712234497
bible,0.33710888028144836,0.2296442836523056,0.25664499402046204,0.3825412392616272,0.008640618063509464,0.15864849090576172,0.1928439438343048,0.22667601704597473
translation,0.22188860177993774,0.34953954815864563,0.18704865872859955,0.18200817704200745,-0.01735842600464821,0.10946024954319,0.13529135286808014,0.22574150562286377
.,0.3567904531955719,0.33121398091316223,0.5352458953857422,0.24907569587230682,-0.003708066651597619,0.2806840240955353,0.2864297032356262,0.4130953550338745
