,which,gallery,was,redesigned,in,the,1990s,and,later,improved,in,2002,?
a,0.56894451379776,0.13071094453334808,0.4508470594882965,0.2493896633386612,0.539380669593811,0.5829201340675354,-0.03140617534518242,0.3739250600337982,0.34254932403564453,0.2623547911643982,0.539380669593811,-0.04267120361328125,0.23916715383529663
few,0.339163601398468,0.21339614689350128,0.21633684635162354,0.15974591672420502,0.3588411808013916,0.34660017490386963,-0.047380317002534866,0.39845648407936096,0.3511977195739746,0.26407307386398315,0.3588411808013916,-0.053068872541189194,0.2334265559911728
galleries,0.28423401713371277,0.7802037596702576,0.14833402633666992,0.30107101798057556,0.2712664008140564,0.27603694796562195,-0.07480034232139587,0.3095110058784485,0.21087102591991425,0.18289165198802948,0.2712664008140564,-0.12275795638561249,0.1957392692565918
were,0.2807837128639221,0.13873814046382904,0.590133786201477,0.2351987659931183,0.3815755248069763,0.3906462490558624,-0.03965895250439644,0.42175528407096863,0.46195727586746216,0.22328655421733856,0.3815755248069763,-0.11263610422611237,0.17890112102031708
redesigned,0.2921527624130249,0.20432265102863312,0.35486769676208496,1.0000001192092896,0.1676761955022812,0.2598510682582855,0.021074853837490082,0.18124745786190033,0.249155193567276,0.4531245231628418,0.1676761955022812,-0.054577965289354324,0.18504595756530762
in,0.4840516746044159,0.21665531396865845,0.45514053106307983,0.1676761955022812,1.0,0.6662389636039734,-0.1172933429479599,0.4954058527946472,0.40857815742492676,0.2403203547000885,1.0,-0.15852214395999908,0.20430970191955566
the,0.6521818041801453,0.19251246750354767,0.48711544275283813,0.2598510682582855,0.6662389636039734,1.0,-0.09473290294408798,0.5171257257461548,0.4060266613960266,0.21394658088684082,0.6662389636039734,-0.07970229536294937,0.22068053483963013
1990s,-0.12769699096679688,-0.07340557873249054,0.023869428783655167,0.021074853837490082,-0.1172933429479599,-0.09473290294408798,1.0000001192092896,-0.1066596508026123,0.005362166557461023,0.09872765094041824,-0.1172933429479599,0.0952180027961731,0.11282819509506226
including,0.41826364398002625,0.2677716910839081,0.21884717047214508,0.17275038361549377,0.35857823491096497,0.3738902807235718,-0.11155018955469131,0.5144438743591309,0.30855050683021545,0.17012104392051697,0.35857823491096497,-0.054524362087249756,0.1633303165435791
the,0.6521818041801453,0.19251246750354767,0.48711544275283813,0.2598510682582855,0.6662389636039734,1.0,-0.09473290294408798,0.5171257257461548,0.4060266613960266,0.21394658088684082,0.6662389636039734,-0.07970229536294937,0.22068053483963013
