,who,was,the,first,president,of,the,university,of,chicago,?
founded,0.2723641097545624,0.36917948722839355,0.2840350568294525,0.29694172739982605,0.28054043650627136,0.24571022391319275,0.2840350568294525,0.3603554666042328,0.24571022391319275,0.17652809619903564,0.09119737893342972
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.3877052962779999,0.18304786086082458,0.3646814823150635,0.4408751428127289,0.1929011344909668,0.3646814823150635,0.18057090044021606,0.17966607213020325
the,0.3733934462070465,0.48711544275283813,1.0,0.49448907375335693,0.24330610036849976,0.733189046382904,1.0,0.263973206281662,0.733189046382904,0.27360326051712036,0.22068053483963013
american,0.3093835413455963,0.31632548570632935,0.24562937021255493,0.29280033707618713,0.25288230180740356,0.22180068492889404,0.24562937021255493,0.22128956019878387,0.22180068492889404,0.3793830871582031,0.18877598643302917
baptist,0.2024499624967575,0.23352500796318054,0.19322502613067627,0.15740787982940674,0.2695334255695343,0.2294047474861145,0.19322502613067627,0.2729613482952118,0.2294047474861145,0.193944051861763,0.13512451946735382
education,0.2051982581615448,0.23187610507011414,0.23982903361320496,0.18416465818881989,0.2633126676082611,0.3015166223049164,0.23982903361320496,0.503289520740509,0.3015166223049164,0.17451082170009613,0.18067774176597595
society,0.2507454752922058,0.21627455949783325,0.2789285480976105,0.158951997756958,0.1715964525938034,0.23646748065948486,0.2789285480976105,0.27261555194854736,0.23646748065948486,0.1606089323759079,0.1373005360364914
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.2691199779510498,0.14994901418685913,0.41827285289764404,0.4223487675189972,0.13264121115207672,0.41827285289764404,0.23699991405010223,0.2433311939239502
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.16959697008132935,0.5052502155303955,0.5829201340675354,0.20256656408309937,0.5052502155303955,0.17899899184703827,0.23916715383529663
donation,0.2374318391084671,0.25097429752349854,0.2916262447834015,0.22865377366542816,0.23252731561660767,0.2724698781967163,0.2916262447834015,0.27285951375961304,0.2724698781967163,0.13393603265285492,0.2340010702610016
from,0.27839982509613037,0.31171464920043945,0.40150508284568787,0.23348960280418396,0.14635725319385529,0.4249346852302551,0.40150508284568787,0.2771088182926178,0.4249346852302551,0.21376916766166687,0.19969791173934937
oil,0.13999517261981964,0.15102124214172363,0.21849922835826874,0.11076387017965317,0.1659858226776123,0.22900764644145966,0.21849922835826874,0.14503049850463867,0.22900764644145966,0.08672285079956055,0.14867261052131653
magnate,0.25411370396614075,0.30401191115379333,0.1785733550786972,0.22279922664165497,0.2848750948905945,0.2203247845172882,0.1785733550786972,0.2510603964328766,0.2203247845172882,0.22691069543361664,0.10767308622598648
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.3167642652988434,0.23286236822605133,0.5116966962814331,0.5171257257461548,0.2665814459323883,0.5116966962814331,0.23260825872421265,0.20544172823429108
wealthiest,0.3876049816608429,0.2865244746208191,0.3305174708366394,0.29010289907455444,0.256457656621933,0.3388553857803345,0.3305174708366394,0.2887149155139923,0.3388553857803345,0.22848013043403625,0.15221920609474182
man,0.3476670980453491,0.3030987083911896,0.23171134293079376,0.26658472418785095,0.16814158856868744,0.16490690410137177,0.23171134293079376,0.09502419084310532,0.16490690410137177,0.22013410925865173,0.2528940737247467
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.18811661005020142,0.5696388483047485,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.23921214044094086,0.20430970191955566
history,0.22458811104297638,0.25589004158973694,0.33215048909187317,0.3202230632305145,0.16636349260807037,0.31014925241470337,0.33215048909187317,0.27712079882621765,0.31014925241470337,0.18275943398475647,0.2501974403858185
john,0.30388808250427246,0.2875721752643585,0.2230520099401474,0.2870165705680847,0.21517303586006165,0.2407056987285614,0.2230520099401474,0.17917944490909576,0.2407056987285614,0.22266864776611328,0.13162356615066528
d.,0.2071729600429535,0.0687001422047615,0.03410084545612335,0.1267024725675583,-0.005834608338773251,0.025261009112000465,0.03410084545612335,-0.04384462907910347,0.025261009112000465,0.02317272499203682,-0.049560099840164185
