,what,is,the,estimated,cost,of,the,v,&,a,branded,gallery,?
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.18233482539653778,0.1677890419960022,0.3886612355709076,0.48381632566452026,0.10349564254283905,0.22134603559970856,0.39550232887268066,0.2152906060218811,0.21243180334568024,0.27043893933296204
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.30473583936691284,0.23332229256629944,1.0,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.17310917377471924,0.1971534639596939,0.1826142966747284
2015,-0.07269049435853958,0.04366588220000267,0.1466771513223648,0.21328146755695343,-0.027952969074249268,0.21138253808021545,0.1466771513223648,0.19379934668540955,0.008516076020896435,-0.008371892385184765,0.08564590662717819,0.027367429807782173,-0.029954981058835983
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2654368579387665,0.20970560610294342,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2695249915122986,0.21593497693538666,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.14269694685935974,0.2314605861902237,0.41827285289764404,0.4223487675189972,0.14314915239810944,0.20013411343097687,0.3783375024795532,0.23233801126480103,0.172745481133461,0.2433311939239502
costs,0.21587958931922913,0.20090270042419434,0.2180386483669281,0.3103395998477936,0.7332470417022705,0.1889231652021408,0.2180386483669281,0.14906692504882812,0.18306085467338562,0.21436090767383575,0.1962433159351349,0.210497185587883,0.19150719046592712
estimated,0.19670580327510834,0.23564131557941437,0.29184040427207947,1.0000001192092896,0.3361802101135254,0.30473583936691284,0.29184040427207947,0.11922155320644379,0.07286334782838821,0.23459957540035248,0.20598679780960083,0.09984202682971954,0.18149758875370026
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.2611149847507477,0.26695817708969116,0.42558613419532776,0.457212895154953,0.16234125196933746,0.12151119112968445,0.3095070421695709,0.1435118317604065,0.23417964577674866,0.21978627145290375
£76,-0.09269782900810242,-0.086262546479702,-0.08729079365730286,-0.07801824063062668,-0.03541133180260658,-0.05197100341320038,-0.08729079365730286,-0.04429124295711517,-0.1319243162870407,-0.07895037531852722,-0.02768273651599884,0.007782409433275461,-0.08123373985290527
million,0.22197039425373077,0.19962359964847565,0.277012437582016,0.5895706415176392,0.3814373016357422,0.21686489880084991,0.277012437582016,0.09677038341760635,0.13577571511268616,0.1811940222978592,0.23303106427192688,0.16088491678237915,0.23092924058437347
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2654368579387665,0.20970560610294342,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2695249915122986,0.21593497693538666,0.31091248989105225
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.22731517255306244,0.232465922832489,0.38761502504348755,0.6251175999641418,0.1784781813621521,0.08886928111314774,0.5452592968940735,0.19138497114181519,0.1477082520723343,0.25732165575027466
is,0.28837618231773376,1.0,0.5823672413825989,0.23564131557941437,0.21065181493759155,0.4854315221309662,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.1278757005929947,0.15374112129211426,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.29184040427207947,0.23177006840705872,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.21853436529636383,0.19251246750354767,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.2743355333805084,0.2543320953845978,0.4178851246833801,0.47635307908058167,0.14128151535987854,0.10219087451696396,0.3508910834789276,0.16067937016487122,0.22200295329093933,0.2107497900724411
expensive,0.20366261899471283,0.2977083623409271,0.2281464785337448,0.26389434933662415,0.570111095905304,0.20681683719158173,0.2281464785337448,0.13071280717849731,0.08810707181692123,0.27385133504867554,0.3117510974407196,0.21891163289546967,0.12475880235433578
gallery,0.1566055566072464,0.15374112129211426,0.19251246750354767,0.09984202682971954,0.1842876672744751,0.1971534639596939,0.19251246750354767,0.14258474111557007,0.21348820626735687,0.13071094453334808,0.13638372719287872,1.0,0.18202216923236847
project,0.27033838629722595,0.1924840211868286,0.2027820199728012,0.1527320295572281,0.25715333223342896,0.17578177154064178,0.2027820199728012,0.18323135375976562,0.11104155331850052,0.2328382134437561,0.1816081404685974,0.22608759999275208,0.30569031834602356
ever,0.3486426770687103,0.26543647050857544,0.3474041819572449,0.23196175694465637,0.19330258667469025,0.22901833057403564,0.3474041819572449,0.12306959927082062,0.06647107005119324,0.27561625838279724,0.09328539669513702,0.17048051953315735,0.3358461856842041
undertaken,0.21811716258525848,0.18082045018672943,0.3180011510848999,0.24453364312648773,0.24320723116397858,0.27399179339408875,0.3180011510848999,0.06070604547858238,0.13955989480018616,0.2830950617790222,0.2768844664096832,0.1521100103855133,0.15510587394237518
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2508986294269562,0.25200018286705017,0.5696388483047485,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.22221240401268005,0.21665531396865845,0.20430970191955566
scotland,0.16722074151039124,0.19796344637870789,0.23846951127052307,0.1214977279305458,0.19708575308322906,0.2208399921655655,0.23846951127052307,0.21097208559513092,0.10694672167301178,0.2106660157442093,0.20875589549541473,0.17483504116535187,0.09160218387842178
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23778799176216125,0.26134178042411804,0.5352458953857422,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.21424522995948792,0.21326512098312378,0.4130953550338745
