,what,is,the,most,important,problem,in,the,united,states,and,elsewhere,?
2013,-0.3886653184890747,-0.3365909159183502,-0.38509321212768555,-0.33203089237213135,-0.20815765857696533,-0.29922744631767273,-0.2606481909751892,-0.38509321212768555,-0.14843827486038208,-0.1820077747106552,-0.31428804993629456,-0.3111859858036041,-0.2969330847263336
economics,0.21107932925224304,0.19443869590759277,0.17465341091156006,0.14991821348667145,0.24581222236156464,0.17290662229061127,0.19117838144302368,0.17465341091156006,0.1987549066543579,0.16732662916183472,0.1880827248096466,0.15672215819358826,0.15849412977695465
nobel,0.20388969779014587,0.1316506415605545,0.1909446120262146,0.16647377610206604,0.21103140711784363,0.15921348333358765,0.19903117418289185,0.1909446120262146,0.19965529441833496,0.17064650356769562,0.1760268211364746,0.1470564305782318,0.15008176863193512
prize,0.1654435694217682,0.13773074746131897,0.18969248235225677,0.15443970263004303,0.22607143223285675,0.1422359049320221,0.21274791657924652,0.18969248235225677,0.2153044193983078,0.17659373581409454,0.19794146716594696,0.10306206345558167,0.14158497750759125
winner,0.16745254397392273,0.16638970375061035,0.25965070724487305,0.18018199503421783,0.1278032511472702,0.11951343715190887,0.2491646409034729,0.25965070724487305,0.18064531683921814,0.1764892339706421,0.2266683727502823,0.052752070128917694,0.14322948455810547
robert,0.1948658525943756,0.16191203892230988,0.2257954627275467,0.10399110615253448,0.09457537531852722,0.16826288402080536,0.22155319154262543,0.2257954627275467,0.19725874066352844,0.15857498347759247,0.21826715767383575,0.0844990536570549,0.11293095350265503
j.,-0.06363846361637115,0.06225122883915901,0.03800997510552406,-0.03453952074050903,-0.028817176818847656,-0.0034083870705217123,-0.05513869225978851,0.03800997510552406,-0.00740140862762928,-0.009143914096057415,-0.07826412469148636,-0.015934407711029053,0.004272869788110256
shiller,0.21897807717323303,0.2513643503189087,0.2861744463443756,0.1760091334581375,0.12477699667215347,0.11262310296297073,0.1999422311782837,0.2861744463443756,0.2244824320077896,0.17015433311462402,0.3247720003128052,0.06816481798887253,0.13507020473480225
said,0.3951668441295624,0.2595660388469696,0.3024602234363556,0.26140880584716797,0.23179098963737488,0.28390052914619446,0.23461468517780304,0.3024602234363556,0.22592084109783173,0.22977343201637268,0.2940692901611328,0.17004704475402832,0.28991883993148804
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.4497850239276886,0.3865286409854889,0.4416671693325043,0.435920387506485,0.5473989248275757,0.25567954778671265,0.291576623916626,0.4731321930885315,0.3747892677783966,0.32716336846351624
