,what,was,constructed,between,1978,and,1982,to,link,the,henry,cole,wing,to,the,rest,of,the,museum,?
to,0.455847829580307,0.3636345863342285,0.24796472489833832,0.3639189600944519,0.08089005202054977,0.48971283435821533,0.05242690071463585,1.0,0.27267101407051086,0.535392165184021,0.2152724415063858,0.26373547315597534,0.18660299479961395,1.0,0.535392165184021,0.367563933134079,0.41548454761505127,0.535392165184021,0.1640389859676361,0.29463258385658264
link,0.23192204535007477,0.12314239889383316,0.09988033026456833,0.18535888195037842,0.06974384933710098,0.21611225605010986,-0.07016002386808395,0.27267101407051086,0.9999999403953552,0.23401211202144623,0.04516110569238663,0.0972302109003067,0.07132592797279358,0.27267101407051086,0.23401211202144623,0.17462840676307678,0.1763116717338562,0.23401211202144623,0.16827785968780518,0.280567467212677
this,0.5489566326141357,0.3638818562030792,0.26952826976776123,0.29040461778640747,0.04413478448987007,0.42353692650794983,-0.003259818535298109,0.5759071707725525,0.2912815511226654,0.6274310946464539,0.16808448731899261,0.19058366119861603,0.2078077793121338,0.5759071707725525,0.6274310946464539,0.36935269832611084,0.45148900151252747,0.6274310946464539,0.19769281148910522,0.3155723512172699
to,0.455847829580307,0.3636345863342285,0.24796472489833832,0.3639189600944519,0.08089005202054977,0.48971283435821533,0.05242690071463585,1.0,0.27267101407051086,0.535392165184021,0.2152724415063858,0.26373547315597534,0.18660299479961395,1.0,0.535392165184021,0.367563933134079,0.41548454761505127,0.535392165184021,0.1640389859676361,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,0.29105475544929504,0.39067012071609497,0.1314823180437088,0.5171257257461548,0.09180720150470734,0.535392165184021,0.23401211202144623,1.0,0.2542637586593628,0.1850816011428833,0.28874075412750244,0.535392165184021,1.0,0.41330549120903015,0.733189046382904,1.0,0.24861779808998108,0.22068053483963013
rest,0.35225364565849304,0.22034120559692383,0.1900060474872589,0.22641295194625854,-0.021900152787566185,0.34185317158699036,0.12092960625886917,0.367563933134079,0.17462840676307678,0.41330549120903015,0.15828436613082886,0.14573900401592255,0.17792770266532898,0.367563933134079,0.41330549120903015,1.0000001192092896,0.33621829748153687,0.41330549120903015,0.16447272896766663,0.1725541204214096
of,0.33290785551071167,0.4069072902202606,0.2552719712257385,0.3737983703613281,0.13908278942108154,0.5116966962814331,0.04649703577160835,0.41548454761505127,0.1763116717338562,0.733189046382904,0.2390729784965515,0.15229938924312592,0.19099068641662598,0.41548454761505127,0.733189046382904,0.33621829748153687,1.0,0.733189046382904,0.23314370214939117,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.29105475544929504,0.39067012071609497,0.1314823180437088,0.5171257257461548,0.09180720150470734,0.535392165184021,0.23401211202144623,1.0,0.2542637586593628,0.1850816011428833,0.28874075412750244,0.535392165184021,1.0,0.41330549120903015,0.733189046382904,1.0,0.24861779808998108,0.22068053483963013
museum,0.1771627515554428,0.21266788244247437,0.25752630829811096,0.13704949617385864,0.08436280488967896,0.21554097533226013,0.17733906209468842,0.1640389859676361,0.16827785968780518,0.24861779808998108,0.18987026810646057,0.09926386922597885,0.22618886828422546,0.1640389859676361,0.24861779808998108,0.16447272896766663,0.23314370214939117,0.24861779808998108,1.0000001192092896,0.14128351211547852
",",0.3087472915649414,0.45456063747406006,0.21606628596782684,0.27714940905570984,0.12287666648626328,0.6633074283599854,0.1221674457192421,0.44245919585227966,0.22098852694034576,0.4933079481124878,0.25662001967430115,0.30910587310791016,0.18741334974765778,0.44245919585227966,0.4933079481124878,0.3065745532512665,0.4946078956127167,0.4933079481124878,0.20741747319698334,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.257233589887619,0.29385313391685486,0.07501233369112015,0.3739250600337982,0.09245150536298752,0.45503583550453186,0.2753347158432007,0.5829201340675354,0.24300003051757812,0.16531717777252197,0.22610613703727722,0.45503583550453186,0.5829201340675354,0.2692912518978119,0.5052502155303955,0.5829201340675354,0.14725451171398163,0.23916715383529663
