,what,is,formed,when,a,phagosome,fuses,with,a,lysosome,?
the,0.42745697498321533,0.5823672413825989,0.28813210129737854,0.5091903209686279,0.5829201340675354,0.27784448862075806,0.21369671821594238,0.4223487675189972,0.5829201340675354,0.257377564907074,0.22068053483963013
pathogen,0.2550991475582123,0.1968173384666443,0.10832935571670532,0.22033041715621948,0.22937901318073273,0.6352987289428711,0.31648367643356323,0.1530282199382782,0.22937901318073273,0.6100875735282898,0.1893778294324875
is,0.28837618231773376,1.0,0.22319979965686798,0.3471449911594391,0.658733606338501,0.250946044921875,0.27962446212768555,0.3250955045223236,0.658733606338501,0.2310110628604889,0.22961433231830597
killed,0.1862335354089737,0.14937788248062134,0.23097464442253113,0.2550056278705597,0.2230118364095688,0.19246293604373932,0.16449515521526337,0.2035834640264511,0.2230118364095688,0.11773654818534851,0.17928971350193024
by,0.2455483376979828,0.3899846076965332,0.2924628257751465,0.4376842677593231,0.32094135880470276,0.2333115190267563,0.17408230900764465,0.39731505513191223,0.32094135880470276,0.16053690016269684,0.17966607213020325
the,0.42745697498321533,0.5823672413825989,0.28813210129737854,0.5091903209686279,0.5829201340675354,0.27784448862075806,0.21369671821594238,0.4223487675189972,0.5829201340675354,0.257377564907074,0.22068053483963013
activity,0.28365153074264526,0.26035502552986145,0.23020875453948975,0.2616889178752899,0.27737462520599365,0.2061232477426529,0.18548311293125153,0.1629924774169922,0.27737462520599365,0.20119734108448029,0.19043973088264465
of,0.33290785551071167,0.4854315221309662,0.2871689796447754,0.3757161796092987,0.5052502155303955,0.29061612486839294,0.1534012407064438,0.41827285289764404,0.5052502155303955,0.2302597463130951,0.1826142966747284
digestive,0.18389524519443512,0.19913198053836823,0.11105741560459137,0.23396560549736023,0.20615963637828827,0.5237548351287842,0.27366146445274353,0.17488108575344086,0.20615963637828827,0.49629685282707214,0.2069937139749527
enzymes,0.21391288936138153,0.17864304780960083,0.14551225304603577,0.2439504861831665,0.22553952038288116,0.6242105960845947,0.2821820080280304,0.25881341099739075,0.22553952038288116,0.6512635350227356,0.19847454130649567
or,0.33867141604423523,0.41870999336242676,0.20165258646011353,0.417120099067688,0.48853766918182373,0.3513343334197998,0.2622051239013672,0.38158315420150757,0.48853766918182373,0.32893887162208557,0.32389625906944275
