,how,many,students,were,enrolled,in,public,schools,in,victoria,?
just,0.41178324818611145,0.3534678518772125,0.28852394223213196,0.2839916944503784,0.18713980913162231,0.3910168707370758,0.2533758282661438,0.243617981672287,0.3910168707370758,0.17689859867095947,0.4144178032875061
under,0.23006081581115723,0.21268652379512787,0.14875805377960205,0.28293636441230774,0.20075306296348572,0.2535393238067627,0.23320595920085907,0.13950802385807037,0.2535393238067627,0.17063091695308685,0.18233340978622437
"540,800",0.0028197690844535828,0.03994673117995262,0.18429327011108398,0.019309455528855324,0.19508396089076996,0.064845971763134,0.07420384883880615,0.11291035264730453,0.064845971763134,0.11362303793430328,0.10513605922460556
students,0.25370386242866516,0.2713872492313385,1.0,0.24280844628810883,0.5516462326049805,0.2676171064376831,0.3258378803730011,0.6169943809509277,0.2676171064376831,0.1336544007062912,0.18017297983169556
were,0.2082374095916748,0.4804460406303406,0.24280844628810883,1.0000001192092896,0.2295490801334381,0.3815755248069763,0.16988693177700043,0.2387605458498001,0.3815755248069763,0.19546319544315338,0.17890112102031708
enrolled,0.1429833322763443,0.18917465209960938,0.5516462326049805,0.2295490801334381,1.0000001192092896,0.27873459458351135,0.24872060120105743,0.4235188961029053,0.27873459458351135,0.13111041486263275,0.09043214470148087
in,0.2601168751716614,0.41474202275276184,0.2676171064376831,0.3815755248069763,0.27873459458351135,1.0,0.29074716567993164,0.2632134258747101,1.0,0.20823122560977936,0.20430970191955566
public,0.15624697506427765,0.25114959478378296,0.3258378803730011,0.16988693177700043,0.24872060120105743,0.29074716567993164,1.0000001192092896,0.4260808527469635,0.29074716567993164,0.19629675149917603,0.19872993230819702
schools,0.12874440848827362,0.3108086585998535,0.6169943809509277,0.2387605458498001,0.4235188961029053,0.2632134258747101,0.4260808527469635,1.0,0.2632134258747101,0.11402804404497147,0.18349280953407288
",",0.22659391164779663,0.40610817074775696,0.26501646637916565,0.36755475401878357,0.2806628942489624,0.5201468467712402,0.2588968276977539,0.2760516405105591,0.5201468467712402,0.2279360294342041,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.28111961483955383,0.42175528407096863,0.2505527436733246,0.4954058527946472,0.3227643668651581,0.29319998621940613,0.4954058527946472,0.24507255852222443,0.20544172823429108
just,0.41178324818611145,0.3534678518772125,0.28852394223213196,0.2839916944503784,0.18713980913162231,0.3910168707370758,0.2533758282661438,0.243617981672287,0.3910168707370758,0.17689859867095947,0.4144178032875061
over,0.31446483731269836,0.47131630778312683,0.23574309051036835,0.30589473247528076,0.23689807951450348,0.3605569899082184,0.1844375878572464,0.1698845475912094,0.3605569899082184,0.18112502992153168,0.25742942094802856
"311,800",0.03414645045995712,0.07006862759590149,0.16564349830150604,0.02127997949719429,0.17837326228618622,0.009047362022101879,0.18055659532546997,0.10745244473218918,0.009047362022101879,0.1651611030101776,-0.08404809236526489
in,0.2601168751716614,0.41474202275276184,0.2676171064376831,0.3815755248069763,0.27873459458351135,1.0,0.29074716567993164,0.2632134258747101,1.0,0.20823122560977936,0.20430970191955566
private,0.08935344964265823,0.2148355096578598,0.35454505681991577,0.16483961045742035,0.3378857970237732,0.21135757863521576,0.5126727223396301,0.4158569872379303,0.21135757863521576,0.1497776210308075,0.14389030635356903
schools,0.12874440848827362,0.3108086585998535,0.6169943809509277,0.2387605458498001,0.4235188961029053,0.2632134258747101,0.4260808527469635,1.0,0.2632134258747101,0.11402804404497147,0.18349280953407288
.,0.3287222981452942,0.3974229395389557,0.2607303857803345,0.3378238379955292,0.23470427095890045,0.5591574311256409,0.21888655424118042,0.2752705216407776,0.5591574311256409,0.23069117963314056,0.4130953550338745
