,in,what,districts,are,the,registration,numbers,for,cars,all,of,the,same,type,?
but,0.48674455285072327,0.5029441118240356,0.1810166984796524,0.47990062832832336,0.4859698414802551,0.20334504544734955,0.29839861392974854,0.45162561535835266,0.24367184937000275,0.4908081889152527,0.39942997694015503,0.4859698414802551,0.40670013427734375,0.24026720225811005,0.27921953797340393
for,0.4322226941585541,0.3017193675041199,0.12341930717229843,0.3895993232727051,0.4739971458911896,0.31512561440467834,0.2885598838329315,0.9999999403953552,0.2283150851726532,0.41144001483917236,0.4185989499092102,0.4739971458911896,0.31941699981689453,0.20848464965820312,0.264628142118454
instance,0.23631897568702698,0.3862040638923645,0.21836069226264954,0.34717559814453125,0.3539782464504242,0.3194447457790375,0.41426777839660645,0.4085063934326172,0.21466076374053955,0.3858231008052826,0.3011147379875183,0.3539782464504242,0.34104618430137634,0.27324962615966797,0.30205854773521423
the,0.6662389636039734,0.42745697498321533,0.233962744474411,0.40399202704429626,1.0,0.2935751974582672,0.293011337518692,0.4739971458911896,0.22665506601333618,0.4860881567001343,0.733189046382904,1.0,0.4583131968975067,0.21819381415843964,0.22068053483963013
districts,0.26488247513771057,0.16162313520908356,1.0000001192092896,0.26054954528808594,0.233962744474411,0.20725074410438538,0.20339517295360565,0.12341930717229843,0.2211819887161255,0.1688939481973648,0.2693168818950653,0.233962744474411,0.123306505382061,0.08947861194610596,0.10677915066480637
in,1.0,0.30808621644973755,0.26488247513771057,0.3841303884983063,0.6662389636039734,0.2465285360813141,0.23087690770626068,0.4322226941585541,0.2354678511619568,0.3335905969142914,0.5696388483047485,0.6662389636039734,0.3692481815814972,0.20604541897773743,0.20430970191955566
kraków,0.269519180059433,0.15572486817836761,0.19308389723300934,0.07054777443408966,0.19051972031593323,0.14668786525726318,0.1756615936756134,0.1366969496011734,0.08642677962779999,0.16069044172763824,0.20613795518875122,0.19051972031593323,0.09863977879285812,0.13151250779628754,0.17615953087806702
do,0.23402775824069977,0.4609605669975281,0.17972218990325928,0.41111594438552856,0.30239659547805786,0.15197570621967316,0.23637384176254272,0.29510271549224854,0.23710529506206512,0.38664430379867554,0.26150479912757874,0.30239659547805786,0.3155553936958313,0.18961571156978607,0.4093979299068451
not,0.3403114080429077,0.5449194312095642,0.16717323660850525,0.46186959743499756,0.4310511648654938,0.2501163184642792,0.3080960810184479,0.39280617237091064,0.24613699316978455,0.4974499046802521,0.3307090103626251,0.4310511648654938,0.4056454598903656,0.2697264850139618,0.41942933201789856
have,0.36843645572662354,0.39808809757232666,0.1888095736503601,0.6577680706977844,0.40389683842658997,0.25223851203918457,0.31616076827049255,0.41175219416618347,0.24615220725536346,0.5559456944465637,0.3802283704280853,0.40389683842658997,0.4098116159439087,0.242574080824852,0.32991164922714233
