,who,led,the,broncos,with,105,receptions,?
veteran,0.3301067650318146,0.11634194850921631,0.2511998414993286,0.300178200006485,0.19804871082305908,0.11982870101928711,0.14420856535434723,0.15891358256340027
receiver,0.1811998039484024,0.16551369428634644,0.21850530803203583,0.4237789511680603,0.19242490828037262,-0.055226534605026245,0.42157527804374695,0.11587938666343689
demaryius,0.30839893221855164,0.2139289677143097,0.2600218653678894,0.32119283080101013,0.22710293531417847,0.2478802651166916,0.2352401614189148,0.24024760723114014
thomas,0.26103657484054565,0.12460912764072418,0.23505409061908722,0.14653393626213074,0.1763175129890442,0.024280300363898277,0.2011502981185913,0.16133050620555878
led,0.2450801581144333,0.9999999403953552,0.3267505168914795,0.26527854800224304,0.27114903926849365,0.12869715690612793,0.18360571563243866,0.09273858368396759
the,0.3733934462070465,0.3267505168914795,1.0,0.25985947251319885,0.4223487675189972,0.1126137226819992,0.19359152019023895,0.22068053483963013
team,0.22248858213424683,0.2298295497894287,0.22564226388931274,0.32797038555145264,0.21111343801021576,0.15539230406284332,0.10043574869632721,0.11243411153554916
with,0.3282766342163086,0.27114903926849365,0.4223487675189972,0.2245701551437378,0.9999999403953552,0.07072126120328903,0.2013084441423416,0.2433311939239502
105,0.19679556787014008,0.12869715690612793,0.1126137226819992,0.05315272882580757,0.07072126120328903,1.0000001192092896,0.02965521439909935,0.1772395223379135
receptions,0.11577852070331573,0.18360571563243866,0.19359152019023895,0.29118359088897705,0.2013084441423416,0.02965521439909935,1.0,0.12913717329502106
for,0.37110671401023865,0.2628403306007385,0.4739971458911896,0.2739109396934509,0.39140474796295166,0.10084040462970734,0.25616052746772766,0.264628142118454
"1,304",0.14443686604499817,0.2546238899230957,0.17036905884742737,0.25409209728240967,0.07352504879236221,-0.01244942657649517,0.06390853226184845,-0.0522308424115181
yards,0.13584628701210022,0.2245277762413025,0.16070343554019928,0.4475782513618469,0.14512313902378082,0.03800547868013382,0.5398510098457336,0.12453813850879669
and,0.41279885172843933,0.2780643701553345,0.5171257257461548,0.20959050953388214,0.5477725267410278,0.1044745147228241,0.24803747236728668,0.20544172823429108
