,who,was,the,president,of,upt,in,1951,?
leonard,0.21672336757183075,0.2949611246585846,0.16797682642936707,0.12866686284542084,0.1521100252866745,0.167876735329628,0.22365060448646545,-0.2293945550918579,0.1752568930387497
goldenson,0.2747582197189331,0.2537340223789215,0.28907305002212524,0.2002224326133728,0.21861588954925537,0.2830306887626648,0.2430626004934311,-0.20853081345558167,0.2495560646057129
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.26552814245224,0.4946078956127167,0.23893846571445465,0.5201468467712402,-0.13638553023338318,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,1.0,0.24330610036849976,0.733189046382904,0.25772973895072937,0.6662389636039734,-0.20524539053440094,0.22068053483963013
president,0.22565458714962006,0.2505730390548706,0.24330610036849976,1.0000001192092896,0.21610750257968903,0.09464675933122635,0.18811661005020142,-0.19481784105300903,0.14148259162902832
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.21610750257968903,1.0,0.16551406681537628,0.5696388483047485,-0.1484760046005249,0.1826142966747284
upt,0.20039580762386322,0.14962729811668396,0.25772973895072937,0.09464675933122635,0.16551406681537628,0.9999999403953552,0.18964797258377075,-0.08868690580129623,0.22407570481300354
(,0.2443375140428543,0.2980341613292694,0.33289089798927307,0.2037333846092224,0.35032153129577637,0.19477537274360657,0.3087427020072937,-0.14082515239715576,0.40561532974243164
which,0.3688730001449585,0.2830964922904968,0.6521818041801453,0.15872660279273987,0.5011631846427917,0.328300416469574,0.4840516746044159,-0.1621738225221634,0.25814583897590637
sought,0.31337496638298035,0.2759144902229309,0.2821049392223358,0.22228649258613586,0.33104926347732544,0.22360385954380035,0.21093487739562988,-0.15651997923851013,0.1753331869840622
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.21247753500938416,0.41548454761505127,0.28000348806381226,0.45010748505592346,-0.14842139184474945,0.29463258385658264
diversify,0.16437923908233643,0.15051187574863434,0.276214599609375,0.19541029632091522,0.25247740745544434,0.22076496481895447,0.2213495820760727,-0.15651218593120575,0.10382850468158722
itself,0.1538408249616623,0.24240277707576752,0.45971640944480896,0.13913089036941528,0.3157202899456024,0.25958123803138733,0.28042417764663696,-0.10048264265060425,0.17933900654315948
at,0.22096660733222961,0.36707764863967896,0.457212895154953,0.1509951651096344,0.42558613419532776,0.08853987604379654,0.4374977946281433,-0.2668457627296448,0.21978627145290375
the,0.3733934462070465,0.48711544275283813,1.0,0.24330610036849976,0.733189046382904,0.25772973895072937,0.6662389636039734,-0.20524539053440094,0.22068053483963013
time,0.36634087562561035,0.3641340136528015,0.43061500787734985,0.1640392541885376,0.35127586126327515,0.23358342051506042,0.3431483507156372,-0.15036329627037048,0.27391523122787476
),0.2457384318113327,0.3267642855644226,0.3456730246543884,0.1912459284067154,0.3680361211299896,0.20382604002952576,0.3326910734176636,-0.14332346618175507,0.42300865054130554
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.26552814245224,0.4946078956127167,0.23893846571445465,0.5201468467712402,-0.13638553023338318,0.31091248989105225
approached,0.18674971163272858,0.2790989577770233,0.24724338948726654,0.13100400567054749,0.21413658559322357,0.1744234263896942,0.19645096361637115,-0.12437701970338821,0.1428859978914261
noble,0.20064976811408997,0.16863727569580078,0.2295120358467102,0.10329665243625641,0.24601131677627563,0.1683807224035263,0.21956220269203186,-0.0564076229929924,0.11942308396100998
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.18811661005020142,0.5696388483047485,0.18964797258377075,1.0,-0.18103405833244324,0.20430970191955566
1951,-0.03120521828532219,-0.15923678874969482,-0.20524539053440094,-0.19481784105300903,-0.1484760046005249,-0.08868690580129623,-0.18103405833244324,0.9999998807907104,-0.20064012706279755
on,0.2340552806854248,0.3909217119216919,0.5107308030128479,0.18996542692184448,0.3966929316520691,0.27111709117889404,0.46853652596473694,-0.19031549990177155,0.2714994251728058
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.16959697008132935,0.5052502155303955,0.2500040829181671,0.539380669593811,-0.06786880642175674,0.23916715383529663
proposal,0.25690221786499023,0.21197108924388885,0.24154584109783173,0.24125193059444427,0.18171913921833038,0.16816319525241852,0.19013147056102753,-0.24029313027858734,0.362845778465271
for,0.37110671401023865,0.3863949179649353,0.4739971458911896,0.17469504475593567,0.4185989499092102,0.17705684900283813,0.4322226941585541,-0.22101764380931854,0.264628142118454
upt,0.20039580762386322,0.14962729811668396,0.25772973895072937,0.09464675933122635,0.16551406681537628,0.9999999403953552,0.18964797258377075,-0.08868690580129623,0.22407570481300354
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.21247753500938416,0.41548454761505127,0.28000348806381226,0.45010748505592346,-0.14842139184474945,0.29463258385658264
purchase,0.2028260976076126,0.20900961756706238,0.242343470454216,0.204679936170578,0.21814467012882233,0.204925999045372,0.18969708681106567,-0.1812049150466919,0.07106894254684448
abc,0.14673753082752228,0.21565799415111542,0.2068762183189392,0.20593604445457458,0.14607268571853638,0.16452030837535858,0.1697147786617279,-0.20744729042053223,0.19065172970294952
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.26255303621292114,0.5352458953857422,0.25213178992271423,0.5591574311256409,-0.2380293607711792,0.4130953550338745
