,what,did,alec,shelbrooke,propose,payments,of,benefits,to,be,made,on,?
conservative,0.1886831820011139,0.14079563319683075,0.22683185338974,0.31350529193878174,0.1920488178730011,0.11768685281276703,0.17898385226726532,0.1971944123506546,0.19727681577205658,0.1902313530445099,0.14293710887432098,0.13765369355678558,0.1597563922405243
mp,0.14097881317138672,0.12989798188209534,0.2558462619781494,0.3275076150894165,0.17269860208034515,0.14289750158786774,0.1861383467912674,0.1359671801328659,0.14164046943187714,0.07183586806058884,0.088470958173275,0.1217389702796936,0.12648896872997284
alec,0.09767507016658783,0.14057587087154388,0.9999999403953552,0.4540390074253082,0.0624622106552124,0.1916504055261612,0.14770014584064484,0.13036194443702698,0.13180144131183624,0.1124798133969307,0.18784986436367035,0.18846864998340607,0.11408696323633194
shelbrooke,0.2311592549085617,0.2533420920372009,0.4540390074253082,1.0000001192092896,0.18304909765720367,0.2075032740831375,0.260927677154541,0.19774359464645386,0.29668310284614563,0.22851349413394928,0.18657229840755463,0.2987897992134094,0.21218322217464447
was,0.22111038863658905,0.41399896144866943,0.2339046150445938,0.36971208453178406,0.2099517434835434,0.20043666660785675,0.4069072902202606,0.09684896469116211,0.3636345863342285,0.42228707671165466,0.3433256447315216,0.3909217119216919,0.18412111699581146
proposing,0.4465944766998291,0.3238937556743622,0.0906539335846901,0.1947597712278366,0.7751643061637878,0.22109277546405792,0.24486245214939117,0.26794880628585815,0.3677877187728882,0.3370688259601593,0.21735185384750366,0.2981484830379486,0.40302783250808716
the,0.42745697498321533,0.34736719727516174,0.18049699068069458,0.2947694659233093,0.2302119880914688,0.24524469673633575,0.733189046382904,0.20434671640396118,0.535392165184021,0.4248143136501312,0.3885267674922943,0.5107308030128479,0.22068053483963013
payments,0.23578545451164246,0.2512747645378113,0.1916504055261612,0.2075032740831375,0.21504954993724823,1.0,0.2094639390707016,0.42937037348747253,0.23819133639335632,0.28484052419662476,0.24160873889923096,0.1832127571105957,0.1551275998353958
of,0.33290785551071167,0.2513895630836487,0.14770014584064484,0.260927677154541,0.2539187967777252,0.2094639390707016,1.0,0.1838720440864563,0.41548454761505127,0.33904364705085754,0.33167365193367004,0.3966929316520691,0.1826142966747284
benefits,0.26291319727897644,0.2136586606502533,0.13036194443702698,0.19774359464645386,0.33355027437210083,0.42937037348747253,0.1838720440864563,1.0,0.29057374596595764,0.3397628366947174,0.14126990735530853,0.20418387651443481,0.25678688287734985
and,0.31309178471565247,0.34479495882987976,0.18556943535804749,0.32106858491897583,0.2163882553577423,0.2686986029148102,0.5116966962814331,0.30031630396842957,0.48971283435821533,0.41766801476478577,0.34954607486724854,0.4077630043029785,0.20544172823429108
tax,0.21278929710388184,0.22152264416217804,0.1853613704442978,0.25871121883392334,0.25827261805534363,0.4986642003059387,0.2403477430343628,0.3700108528137207,0.24948102235794067,0.19502007961273193,0.20196053385734558,0.15417660772800446,0.2097984105348587
credits,0.22962838411331177,0.2646787464618683,0.3021569848060608,0.160832941532135,0.22623714804649353,0.31508126854896545,0.17005175352096558,0.24710552394390106,0.1693650782108307,0.19311507046222687,0.1892155259847641,0.205753892660141,0.14918746054172516
on,0.34226128458976746,0.2670976221561432,0.18846864998340607,0.2987897992134094,0.24382996559143066,0.1832127571105957,0.3966929316520691,0.20418387651443481,0.41031414270401,0.37900757789611816,0.37619519233703613,0.9999999403953552,0.2714994251728058
a,0.3320399522781372,0.2552328109741211,0.20402182638645172,0.296983927488327,0.2968803346157074,0.19741162657737732,0.5052502155303955,0.22249166667461395,0.45503583550453186,0.39883795380592346,0.3180864453315735,0.3848365545272827,0.23916715383529663
``,0.008517155423760414,-0.029888948425650597,0.017638130113482475,-0.049919914454221725,0.1032051295042038,0.03558586910367012,0.06780257821083069,0.04943598434329033,0.06720756739377975,0.07670000940561295,-0.0342245027422905,-0.03274054825305939,0.0685480609536171
welfare,0.24410170316696167,0.18076880276203156,0.10781382769346237,0.19855374097824097,0.3099035918712616,0.3798861503601074,0.31598109006881714,0.45859280228614807,0.2646935284137726,0.24215973913669586,0.14878107607364655,0.19178707897663116,0.17747683823108673
cash,0.1785680204629898,0.18680845201015472,0.2121751755475998,0.2832014858722687,0.02438054047524929,0.4717722535133362,0.12202408164739609,0.3202630281448364,0.21293103694915771,0.22090227901935577,0.16760559380054474,0.2134130448102951,0.19009602069854736
card,0.17012731730937958,0.14130714535713196,0.23968487977981567,0.22768765687942505,0.140382781624794,0.35467076301574707,0.1392979621887207,0.2578571140766144,0.16868703067302704,0.2113480418920517,0.15446887910366058,0.18751953542232513,0.1601250171661377
'',0.08143015950918198,0.01978493109345436,-0.008109874092042446,0.0019775175023823977,0.06205742061138153,0.03852861374616623,0.13035868108272552,-0.0028061349876224995,-0.009905828163027763,0.08835477381944656,0.014119047671556473,0.04238596186041832,0.018684765323996544
",",0.3087472915649414,0.3015086054801941,0.21271130442619324,0.4035413861274719,0.25586456060409546,0.18548235297203064,0.4946078956127167,0.19544656574726105,0.44245919585227966,0.39254459738731384,0.32507219910621643,0.49057599902153015,0.31091248989105225
in,0.30808621644973755,0.2593238651752472,0.16606152057647705,0.36495721340179443,0.18900464475154877,0.21819499135017395,0.5696388483047485,0.14132487773895264,0.45010748505592346,0.3481820821762085,0.25271502137184143,0.46853652596473694,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.18049699068069458,0.2947694659233093,0.2302119880914688,0.24524469673633575,0.733189046382904,0.20434671640396118,0.535392165184021,0.4248143136501312,0.3885267674922943,0.5107308030128479,0.22068053483963013
