,why,did,the,oil,ministers,agree,to,a,cut,in,oil,production,?
the,0.30742117762565613,0.34736719727516174,1.0,0.21849922835826874,0.2563166916370392,0.23006735742092133,0.535392165184021,0.5829201340675354,0.29221418499946594,0.6662389636039734,0.21849922835826874,0.2657334506511688,0.22068053483963013
following,0.23132829368114471,0.28040066361427307,0.39779382944107056,0.10680728405714035,0.20011770725250244,0.18972967565059662,0.31711265444755554,0.27489006519317627,0.2306319624185562,0.355264812707901,0.10680728405714035,0.14300815761089325,0.1555173695087433
day,0.18174687027931213,0.20275387167930603,0.3062323033809662,0.1121358871459961,0.23946794867515564,0.18112683296203613,0.21753256022930145,0.18630309402942657,0.13977299630641937,0.2671984136104584,0.1121358871459961,0.13056614995002747,0.2141837179660797
",",0.2827242314815521,0.3015086054801941,0.4933079481124878,0.20043784379959106,0.2294151484966278,0.26245203614234924,0.44245919585227966,0.427140474319458,0.23439376056194305,0.5201468467712402,0.20043784379959106,0.24176549911499023,0.31091248989105225
oil,0.20345439016819,0.10956666618585587,0.21849922835826874,1.0,0.14376448094844818,0.06887157261371613,0.1619214415550232,0.18393073976039886,0.20037208497524261,0.21800900995731354,1.0,0.27879518270492554,0.14867261052131653
ministers,0.1799299418926239,0.21763740479946136,0.2563166916370392,0.14376448094844818,0.9999999403953552,0.22174540162086487,0.2761210799217224,0.17241229116916656,0.16215787827968597,0.21894918382167816,0.14376448094844818,0.13277609646320343,0.15132683515548706
agreed,0.28612110018730164,0.47254884243011475,0.24722334742546082,0.10595526546239853,0.2544848620891571,0.6964925527572632,0.35596710443496704,0.17516115307807922,0.17564250528812408,0.18135444819927216,0.10595526546239853,0.12681302428245544,0.21258382499217987
to,0.4100138247013092,0.4452643394470215,0.535392165184021,0.1619214415550232,0.2761210799217224,0.2974206805229187,1.0,0.45503583550453186,0.27572008967399597,0.45010748505592346,0.1619214415550232,0.2144220918416977,0.29463258385658264
the,0.30742117762565613,0.34736719727516174,1.0,0.21849922835826874,0.2563166916370392,0.23006735742092133,0.535392165184021,0.5829201340675354,0.29221418499946594,0.6662389636039734,0.21849922835826874,0.2657334506511688,0.22068053483963013
embargo,0.16918177902698517,0.14320364594459534,0.2032013237476349,0.316433310508728,0.26907747983932495,0.22775310277938843,0.24951419234275818,0.17945899069309235,0.11292888969182968,0.171186164021492,0.316433310508728,0.22967331111431122,0.21724076569080353
",",0.2827242314815521,0.3015086054801941,0.4933079481124878,0.20043784379959106,0.2294151484966278,0.26245203614234924,0.44245919585227966,0.427140474319458,0.23439376056194305,0.5201468467712402,0.20043784379959106,0.24176549911499023,0.31091248989105225
a,0.2667238116264343,0.2552328109741211,0.5829201340675354,0.18393073976039886,0.17241229116916656,0.2085130214691162,0.45503583550453186,1.0,0.2642877995967865,0.539380669593811,0.18393073976039886,0.19671310484409332,0.23916715383529663
cut,0.22268815338611603,0.20971950888633728,0.29221418499946594,0.20037208497524261,0.16215787827968597,0.1872594803571701,0.27572008967399597,0.2642877995967865,0.9999998807907104,0.1650969684123993,0.20037208497524261,0.2823193371295929,0.1403924524784088
in,0.23227278888225555,0.2593238651752472,0.6662389636039734,0.21800900995731354,0.21894918382167816,0.15189619362354279,0.45010748505592346,0.539380669593811,0.1650969684123993,1.0,0.21800900995731354,0.22079120576381683,0.20430970191955566
production,0.17283546924591064,0.1752309501171112,0.2657334506511688,0.27879518270492554,0.13277609646320343,0.09241098165512085,0.2144220918416977,0.19671310484409332,0.2823193371295929,0.22079120576381683,0.27879518270492554,1.0,0.19318072497844696
by,0.19170543551445007,0.18574509024620056,0.4408751428127289,0.20634248852729797,0.2074352502822876,0.17940272390842438,0.33534231781959534,0.32094135880470276,0.23997744917869568,0.370934396982193,0.20634248852729797,0.24570661783218384,0.17966607213020325
five,0.19245602190494537,0.1999429613351822,0.41977158188819885,0.10497947037220001,0.24922333657741547,0.15996961295604706,0.29041585326194763,0.2874281108379364,0.1347969025373459,0.3634254038333893,0.10497947037220001,0.11240770667791367,0.18342848122119904
percent,0.2053167074918747,0.19101352989673615,0.277066707611084,0.265217661857605,0.24654662609100342,0.20116445422172546,0.2143162339925766,0.2187717854976654,0.15365464985370636,0.24886950850486755,0.265217661857605,0.2169535905122757,0.14671556651592255
from,0.2592364251613617,0.20248863101005554,0.40150508284568787,0.22372330725193024,0.19095659255981445,0.17374584078788757,0.4069952368736267,0.322764128446579,0.2308090329170227,0.4274188280105591,0.22372330725193024,0.1411544233560562,0.19969791173934937
september,0.16632212698459625,0.2693498432636261,0.2516939043998718,0.11429443955421448,0.1943180412054062,0.21654309332370758,0.22485187649726868,0.21795299649238586,0.12850503623485565,0.25402772426605225,0.11429443955421448,0.1509712189435959,0.2665146589279175
's,-0.016663772985339165,0.05069678649306297,-0.01540423184633255,-0.08246297389268875,0.010393398813903332,0.0038431459106504917,0.03782717138528824,0.04866964742541313,-0.049489881843328476,-0.037580832839012146,-0.08246297389268875,0.01652577519416809,-0.023395681753754616
output,0.18362410366535187,0.14500907063484192,0.22049929201602936,0.219514861702919,0.19454699754714966,0.1366477757692337,0.24095958471298218,0.17850732803344727,0.2251282036304474,0.15088461339473724,0.219514861702919,0.3433966636657715,0.16760045289993286
and,0.27806392312049866,0.34479495882987976,0.5171257257461548,0.19239190220832825,0.2690688669681549,0.24357949197292328,0.48971283435821533,0.3739250600337982,0.2832682728767395,0.4954058527946472,0.19239190220832825,0.25569969415664673,0.20544172823429108
to,0.4100138247013092,0.4452643394470215,0.535392165184021,0.1619214415550232,0.2761210799217224,0.2974206805229187,1.0,0.45503583550453186,0.27572008967399597,0.45010748505592346,0.1619214415550232,0.2144220918416977,0.29463258385658264
