,what,show,aired,on,cbs,after,late,local,programming,?
following,0.2506418824195862,0.16061565279960632,0.10841377824544907,0.2962210774421692,0.10160160809755325,0.39623188972473145,0.2062212973833084,0.19977807998657227,0.2139524221420288,0.1555173695087433
a,0.3320399522781372,0.24886544048786163,0.1767585724592209,0.3848365545272827,0.16314536333084106,0.3831600844860077,0.22989967465400696,0.2435571700334549,0.20890353620052338,0.23916715383529663
break,0.2858539819717407,0.25112879276275635,0.21628087759017944,0.22276534140110016,0.2123289555311203,0.328538179397583,0.2282770723104477,0.11622892320156097,0.2111257016658783,0.19753244519233704
for,0.3017193675041199,0.3141973614692688,0.14468124508857727,0.36199691891670227,0.20941372215747833,0.3650246858596802,0.2018979787826538,0.23619583249092102,0.24722188711166382,0.264628142118454
late,0.1576872020959854,0.296935498714447,0.2827969789505005,0.2571752071380615,0.2876780033111572,0.32546740770339966,1.0,0.12034059315919876,0.18134087324142456,0.11339222639799118
local,0.18981902301311493,0.20184364914894104,0.1279505342245102,0.1699344664812088,0.1919681578874588,0.18020685017108917,0.12034059315919876,1.0,0.1872871369123459,0.15022775530815125
programming,0.22725710272789001,0.2944575250148773,0.3687805235385895,0.2441612184047699,0.337468683719635,0.12044191360473633,0.18134087324142456,0.1872871369123459,0.9999999403953552,0.22249025106430054
",",0.3087472915649414,0.31928569078445435,0.2195960283279419,0.49057599902153015,0.18569420278072357,0.38860568404197693,0.3051932752132416,0.20673875510692596,0.255766898393631,0.31091248989105225
cbs,0.1950361132621765,0.4361982047557831,0.48803529143333435,0.25146469473838806,1.0,0.17707926034927368,0.2876780033111572,0.1919681578874588,0.337468683719635,0.14594407379627228
also,0.42747777700424194,0.32992470264434814,0.18926744163036346,0.3762153089046478,0.24197567999362946,0.33205533027648926,0.296752393245697,0.3284290134906769,0.23027054965496063,0.21848613023757935
aired,0.1692323386669159,0.5127021670341492,1.0000001192092896,0.31848978996276855,0.48803529143333435,0.24781332910060883,0.2827969789505005,0.1279505342245102,0.3687805235385895,0.22283338010311127
a,0.3320399522781372,0.24886544048786163,0.1767585724592209,0.3848365545272827,0.16314536333084106,0.3831600844860077,0.22989967465400696,0.2435571700334549,0.20890353620052338,0.23916715383529663
special,0.24134232103824615,0.2602277398109436,0.2174231857061386,0.23108302056789398,0.161833718419075,0.16394950449466705,0.10394775867462158,0.25123438239097595,0.2700044512748718,0.29623302817344666
episode,0.1919318586587906,0.49653249979019165,0.5992412567138672,0.28993746638298035,0.326662540435791,0.2562639117240906,0.22552569210529327,0.07280656695365906,0.2547909617424011,0.23978739976882935
of,0.33290785551071167,0.21383242309093475,0.15519371628761292,0.3966929316520691,0.16151919960975647,0.3867455720901489,0.21690747141838074,0.20668989419937134,0.14286333322525024,0.1826142966747284
the,0.42745697498321533,0.319829523563385,0.2525516450405121,0.5107308030128479,0.2283918708562851,0.4565047025680542,0.31481194496154785,0.2130540907382965,0.17869283258914948,0.22068053483963013
late,0.1576872020959854,0.296935498714447,0.2827969789505005,0.2571752071380615,0.2876780033111572,0.32546740770339966,1.0,0.12034059315919876,0.18134087324142456,0.11339222639799118
late,0.1576872020959854,0.296935498714447,0.2827969789505005,0.2571752071380615,0.2876780033111572,0.32546740770339966,1.0,0.12034059315919876,0.18134087324142456,0.11339222639799118
show,0.29653704166412354,0.9999999403953552,0.5127021670341492,0.3708709180355072,0.4361982047557831,0.21172942221164703,0.296935498714447,0.20184364914894104,0.2944575250148773,0.2520138621330261
with,0.2464839518070221,0.3004990220069885,0.18900629878044128,0.40749499201774597,0.20131054520606995,0.33843478560447693,0.2326577752828598,0.16601361334323883,0.17035330832004547,0.2433311939239502
james,0.20536290109157562,0.16689370572566986,0.15174098312854767,0.22752492129802704,0.1633354276418686,0.21556003391742706,0.18667662143707275,0.09028737246990204,0.17296341061592102,0.12139993160963058
corden,0.09480065107345581,0.21721796691417694,0.24807099997997284,0.26439931988716125,0.3014756739139557,0.1688326895236969,0.16196192800998688,0.1349363923072815,0.20994825661182404,0.150565043091774
.,0.3567904531955719,0.3016606271266937,0.2278250902891159,0.49257001280784607,0.2350580096244812,0.35870397090911865,0.3287466764450073,0.26217252016067505,0.1874377578496933,0.4130953550338745
