,the,production,of,what,signalling,molecules,is,regulated,by,the,immune,system,?
conversely,0.2955932319164276,0.21059297025203705,0.2602832615375519,0.28675293922424316,0.37294521927833557,0.3584563136100769,0.31768763065338135,0.3130206763744354,0.29702624678611755,0.2955932319164276,0.2236391007900238,0.2553504705429077,0.1408759355545044
",",0.4933079481124878,0.24176549911499023,0.4946078956127167,0.3087472915649414,0.20490175485610962,0.18639802932739258,0.4691906273365021,0.18714715540409088,0.3680937886238098,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.31091248989105225
some,0.4566698372364044,0.17459151148796082,0.4300730526447296,0.4491020441055298,0.32368817925453186,0.26514920592308044,0.3038453459739685,0.24244548380374908,0.306446373462677,0.4566698372364044,0.25199633836746216,0.26198622584342957,0.2562315762042999
hormones,0.2688761353492737,0.2743189334869385,0.23877643048763275,0.23283596336841583,0.47815924882888794,0.501282811164856,0.22572803497314453,0.3698481321334839,0.23948505520820618,0.2688761353492737,0.460243821144104,0.3152490556240082,0.17588594555854797
are,0.40399202704429626,0.17701907455921173,0.39081433415412903,0.29724663496017456,0.2727263569831848,0.3300325572490692,0.5330929756164551,0.24762985110282898,0.37842893600463867,0.40399202704429626,0.23878547549247742,0.21917270123958588,0.24591213464736938
regulated,0.2870032787322998,0.2580600082874298,0.2244439423084259,0.14951778948307037,0.3720248341560364,0.31932997703552246,0.17237335443496704,1.0,0.2721811532974243,0.2870032787322998,0.2852437198162079,0.3051774203777313,0.10525284707546234
by,0.4408751428127289,0.24570661783218384,0.3646814823150635,0.2455483376979828,0.2654992640018463,0.22475433349609375,0.3899846076965332,0.2721811532974243,1.0000001192092896,0.4408751428127289,0.17260463535785675,0.23017624020576477,0.17966607213020325
the,1.0,0.2657334506511688,0.733189046382904,0.42745697498321533,0.3087414503097534,0.2374771386384964,0.5823672413825989,0.2870032787322998,0.4408751428127289,1.0,0.21364226937294006,0.3233085572719574,0.22068053483963013
immune,0.21364226937294006,0.20439130067825317,0.16620753705501556,0.2410416603088379,0.4386085867881775,0.3475925624370575,0.2092347890138626,0.2852437198162079,0.17260463535785675,0.21364226937294006,1.0,0.3962631821632385,0.16080476343631744
system,0.3233085572719574,0.17619770765304565,0.25597915053367615,0.23557309806346893,0.38647547364234924,0.26136019825935364,0.2282046526670456,0.3051774203777313,0.23017624020576477,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.15556083619594574
",",0.4933079481124878,0.24176549911499023,0.4946078956127167,0.3087472915649414,0.20490175485610962,0.18639802932739258,0.4691906273365021,0.18714715540409088,0.3680937886238098,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.31091248989105225
notably,0.33497244119644165,0.2726338803768158,0.3080497682094574,0.1358402669429779,0.19172964990139008,0.20632390677928925,0.18971042335033417,0.2626588046550751,0.2677176892757416,0.33497244119644165,0.1588468700647354,0.07666528224945068,0.10343469679355621
thyroid,0.2674546539783478,0.2747567296028137,0.27127042412757874,0.2366444319486618,0.3311888873577118,0.3921046555042267,0.26481926441192627,0.2186926007270813,0.17507906258106232,0.2674546539783478,0.46507614850997925,0.25396135449409485,0.2127137929201126
hormone,0.22626186907291412,0.28797098994255066,0.19605669379234314,0.21333132684230804,0.44799041748046875,0.457994669675827,0.22903338074684143,0.3473827540874481,0.2381024956703186,0.22626186907291412,0.456246018409729,0.2890639901161194,0.1590825915336609
activity,0.28331097960472107,0.27091124653816223,0.23575159907341003,0.28365153074264526,0.31317976117134094,0.31623217463493347,0.26035502552986145,0.26426008343696594,0.14420075714588165,0.28331097960472107,0.2832125723361969,0.2964344620704651,0.19043973088264465
.,0.5934505462646484,0.22297915816307068,0.5352458953857422,0.3567904531955719,0.2779206335544586,0.25748172402381897,0.4569662809371948,0.1949521005153656,0.3936232924461365,0.5934505462646484,0.18267881870269775,0.2277725487947464,0.4130953550338745
