,what,covered,the,new,field,at,levi,'s,stadium,?
as,0.31749409437179565,0.264883816242218,0.48381632566452026,0.24585270881652832,0.21304655075073242,0.28092536330223083,0.16246658563613892,-0.05775856226682663,0.1262112706899643,0.27043893933296204
is,0.28837618231773376,0.2292746752500534,0.5823672413825989,0.2208656519651413,0.17269009351730347,0.25906258821487427,0.09836933761835098,0.02396530658006668,0.18311816453933716,0.22961433231830597
customary,0.3171907961368561,0.21658927202224731,0.2734152376651764,0.19772575795650482,0.18212701380252838,0.1937057375907898,0.19984184205532074,-0.025633657351136208,0.05628880485892296,0.27931293845176697
for,0.3017193675041199,0.18988674879074097,0.4739971458911896,0.2700757384300232,0.24342265725135803,0.34237727522850037,0.16166196763515472,-0.07241261005401611,0.18393352627754211,0.264628142118454
super,0.13651713728904724,0.0629468634724617,0.21959073841571808,0.2769954204559326,0.1592533439397812,0.11449114978313446,0.08340612053871155,0.09726737439632416,0.1715150624513626,0.166326642036438
bowl,0.15942467749118805,0.2147122174501419,0.21576224267482758,0.1471257209777832,0.15438513457775116,0.2709662914276123,0.1602962166070938,-0.02838491089642048,0.25985562801361084,0.21118052303791046
games,0.1820194572210312,0.14350055158138275,0.2676136791706085,0.173325777053833,0.23703651130199432,0.23006781935691833,0.041736580431461334,0.15553481876850128,0.3625812530517578,0.1360001415014267
played,0.14831039309501648,0.22554920613765717,0.2603478729724884,0.1566726267337799,0.16662807762622833,0.20532193779945374,0.10978957265615463,0.03920676186680794,0.2688959240913391,0.14096300303936005
at,0.2838611304759979,0.2529606819152832,0.457212895154953,0.1898733228445053,0.190035879611969,1.0,0.1250557154417038,-0.08481216430664062,0.22218671441078186,0.21978627145290375
natural,0.15666867792606354,0.16128890216350555,0.2291368842124939,0.2129286676645279,0.22582797706127167,0.15606315433979034,0.10994745045900345,-0.049410052597522736,0.1219581812620163,0.16155436635017395
grass,0.1307278871536255,0.31345006823539734,0.22174039483070374,0.18255791068077087,0.29531729221343994,0.12183058261871338,0.15273632109165192,0.13683730363845825,0.28554368019104004,0.12344902008771896
stadiums,0.1592150628566742,0.2446727305650711,0.2981659770011902,0.19259852170944214,0.3018037974834442,0.2064119428396225,0.13798938691616058,0.08834433555603027,0.8583540916442871,0.11989521980285645
",",0.3087472915649414,0.30773067474365234,0.4933079481124878,0.36073189973831177,0.27645614743232727,0.38314947485923767,0.2592664957046509,-0.0016132977325469255,0.2056228220462799,0.31091248989105225
the,0.42745697498321533,0.3132939636707306,1.0,0.3845241069793701,0.2105809599161148,0.457212895154953,0.15661084651947021,-0.01540423184633255,0.21145665645599365,0.22068053483963013
nfl,0.12579965591430664,0.23700068891048431,0.15305201709270477,0.13000497221946716,0.1883016675710678,0.20260320603847504,0.12570512294769287,0.01630374602973461,0.28547149896621704,0.10610254108905792
re-sodded,0.24762454628944397,0.4380066990852356,0.32192739844322205,0.1974133551120758,0.15449942648410797,0.20068974792957306,0.14817176759243011,-0.029789293184876442,0.1386032998561859,0.2500745952129364
the,0.42745697498321533,0.3132939636707306,1.0,0.3845241069793701,0.2105809599161148,0.457212895154953,0.15661084651947021,-0.01540423184633255,0.21145665645599365,0.22068053483963013
field,0.1825202852487564,0.1415695697069168,0.2105809599161148,0.11123427003622055,1.0,0.190035879611969,0.1189475953578949,0.07850787043571472,0.31675073504447937,0.11279727518558502
with,0.2464839518070221,0.339670330286026,0.4223487675189972,0.24325589835643768,0.15400348603725433,0.29126521944999695,0.08109969645738602,-0.04624466598033905,0.11267887055873871,0.2433311939239502
a,0.3320399522781372,0.2658964991569519,0.5829201340675354,0.3214259147644043,0.2030690312385559,0.3095070421695709,0.14748936891555786,0.04866964742541313,0.14596018195152283,0.23916715383529663
new,0.2130378633737564,0.11802878975868225,0.3845241069793701,0.9999999403953552,0.11123427003622055,0.1898733228445053,0.17616036534309387,-0.008355522528290749,0.17546728253364563,0.14782847464084625
playing,0.1880110800266266,0.15597455203533173,0.27700236439704895,0.16280901432037354,0.17465682327747345,0.19664570689201355,0.12751458585262299,0.049456462264060974,0.27812471985816956,0.1513366848230362
surface,0.23580394685268402,0.3269762098789215,0.2555135488510132,0.10920759290456772,0.27078428864479065,0.16544756293296814,0.06838182359933853,0.11841000616550446,0.11611777544021606,0.14613434672355652
;,0.10986888408660889,-0.02585909329354763,0.09152708947658539,0.021862374618649483,-0.016989825293421745,0.00622112350538373,-0.014587413519620895,0.006909397430717945,0.06735169887542725,0.10349778085947037
a,0.3320399522781372,0.2658964991569519,0.5829201340675354,0.3214259147644043,0.2030690312385559,0.3095070421695709,0.14748936891555786,0.04866964742541313,0.14596018195152283,0.23916715383529663
hybrid,0.11194796860218048,0.11070674657821655,0.18110306560993195,0.14411896467208862,0.19807501137256622,0.13576987385749817,0.06417365372180939,0.050983648747205734,0.1529722511768341,0.12404834479093552
bermuda,0.14449000358581543,0.15030458569526672,0.20580384135246277,0.16530592739582062,0.17539438605308533,0.16332536935806274,0.10976310074329376,0.028801413252949715,0.18874354660511017,0.12929651141166687
419,0.02194921299815178,0.12014134973287582,0.031122731044888496,-0.030110469087958336,0.014212913811206818,0.0008186824852600694,-0.09244410693645477,-0.05459090694785118,0.002711470238864422,0.0011153079103678465
turf,0.16994749009609222,0.292127400636673,0.18297892808914185,0.1401023417711258,0.22418086230754852,0.14422428607940674,0.1276061236858368,0.07264405488967896,0.3282683491706848,0.11744038760662079
.,0.3567904531955719,0.2543253004550934,0.5934505462646484,0.35031336545944214,0.23224417865276337,0.4549728035926819,0.16844750940799713,-0.003708066651597619,0.1958179920911789,0.4130953550338745
