,what,type,of,wages,do,people,unable,to,afford,an,education,receive,?
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.20887167751789093,0.38329678773880005,0.15704652667045593,0.22066821157932281,0.42092081904411316,0.28273826837539673,0.37218472361564636,0.2414141446352005,0.2558284401893616,0.27043893933296204
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.19376714527606964,0.26237669587135315,0.3483705520629883,0.22923994064331055,0.45503583550453186,0.23003704845905304,0.44552403688430786,0.21779850125312805,0.25780048966407776,0.23916715383529663
result,0.19945499300956726,0.23009227216243744,0.231380432844162,0.251219242811203,0.23993156850337982,0.1918027251958847,0.2747875154018402,0.23653174936771393,0.1461828351020813,0.20189309120178223,0.14211563766002655,0.16925542056560516,0.17218433320522308
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2121202051639557,0.3283645510673523,0.36644625663757324,0.20128878951072693,0.44245919585227966,0.2340298891067505,0.3581022024154663,0.2718683183193207,0.26574233174324036,0.31091248989105225
those,0.44466671347618103,0.17623955011367798,0.37935635447502136,0.3016762435436249,0.43052518367767334,0.4342038333415985,0.2889555096626282,0.47350940108299255,0.3288448452949524,0.19012226164340973,0.21833743155002594,0.3035503327846527,0.3328189253807068
who,0.40942975878715515,0.1257498413324356,0.2827862501144409,0.2824365496635437,0.2662210166454315,0.3933800458908081,0.370140939950943,0.42656609416007996,0.2909376323223114,0.2848317325115204,0.2051982581615448,0.29829421639442444,0.26220351457595825
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.17474032938480377,0.41111594438552856,0.385090708732605,0.13948975503444672,0.3504326641559601,0.24162916839122772,0.1556541919708252,0.14324818551540375,0.23715950548648834,0.24591213464736938
unable,0.2877064049243927,0.12375636398792267,0.2372649908065796,0.239951491355896,0.2597893476486206,0.25711342692375183,1.0,0.47413626313209534,0.3808014392852783,0.14945384860038757,0.16456829011440277,0.25344425439834595,0.1804998219013214
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.24337364733219147,0.38876664638519287,0.37275731563568115,0.47413626313209534,1.0,0.36459875106811523,0.3138085603713989,0.2626708149909973,0.3372296690940857,0.29463258385658264
afford,0.2490071803331375,0.09533671289682388,0.2350609004497528,0.38763517141342163,0.3151162266731262,0.24805530905723572,0.3808014392852783,0.36459875106811523,1.0,0.18411780893802643,0.23300747573375702,0.3825474679470062,0.2048596292734146
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.15565986931324005,0.25865980982780457,0.16753636300563812,0.14945384860038757,0.3138085603713989,0.18411780893802643,1.0,0.1506793051958084,0.16254110634326935,0.19793890416622162
education,0.19940856099128723,0.07525362819433212,0.3015166223049164,0.3931823968887329,0.18523280322551727,0.21798217296600342,0.16456829011440277,0.2626708149909973,0.23300747573375702,0.1506793051958084,1.0,0.22655272483825684,0.18067774176597595
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2121202051639557,0.3283645510673523,0.36644625663757324,0.20128878951072693,0.44245919585227966,0.2340298891067505,0.3581022024154663,0.2718683183193207,0.26574233174324036,0.31091248989105225
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.23854075372219086,0.39439281821250916,0.335800439119339,0.2607837915420532,0.38921234011650085,0.32725057005882263,0.3096676766872406,0.14504022896289825,0.32854461669921875,0.32389625906944275
choose,0.37237128615379333,0.24412953853607178,0.33839884400367737,0.22446481883525848,0.37000808119773865,0.26329439878463745,0.2870008647441864,0.38412243127822876,0.2882891893386841,0.15850293636322021,0.23230762779712677,0.3238315284252167,0.2863835394382477
