,what,act,set,out,the,parliament,'s,powers,as,a,devolved,legislature,?
following,0.2506418824195862,0.12268640846014023,0.2539300322532654,0.167931467294693,0.39779382944107056,0.1793711930513382,-0.005975736305117607,0.17181889712810516,0.39620932936668396,0.27489006519317627,0.19581462442874908,0.19494104385375977,0.1555173695087433
a,0.3320399522781372,0.2060188204050064,0.2540091574192047,0.34264278411865234,0.5829201340675354,0.22951169312000275,0.04866964742541313,0.17258815467357635,0.39550232887268066,1.0,0.325216144323349,0.21936477720737457,0.23916715383529663
referendum,0.24703842401504517,0.2536916732788086,0.1806296855211258,0.14977535605430603,0.2520652413368225,0.5673837661743164,0.005843086168169975,0.23122607171535492,0.18037116527557373,0.21418535709381104,0.38743284344673157,0.5113765597343445,0.18056513369083405
in,0.30808621644973755,0.22050046920776367,0.2663729190826416,0.3576207756996155,0.6662389636039734,0.2323146015405655,-0.037580832839012146,0.16362762451171875,0.3887844979763031,0.539380669593811,0.31779801845550537,0.24105465412139893,0.20430970191955566
1997,0.09033724665641785,-0.016858212649822235,-0.010522629134356976,0.0071790278889238834,0.017451778054237366,0.044171590358018875,0.02537059597671032,-0.026013530790805817,-0.03100343979895115,-0.015615028329193592,0.029562273994088173,0.011097334325313568,0.03663474693894386
",",0.3087472915649414,0.1787904053926468,0.24912182986736298,0.3161109685897827,0.4933079481124878,0.25442883372306824,-0.0016132977325469255,0.24735067784786224,0.48816442489624023,0.427140474319458,0.28898313641548157,0.22554227709770203,0.31091248989105225
in,0.30808621644973755,0.22050046920776367,0.2663729190826416,0.3576207756996155,0.6662389636039734,0.2323146015405655,-0.037580832839012146,0.16362762451171875,0.3887844979763031,0.539380669593811,0.31779801845550537,0.24105465412139893,0.20430970191955566
which,0.5261979103088379,0.3216746747493744,0.3371303975582123,0.37864550948143005,0.6521818041801453,0.20252443850040436,0.03856118768453598,0.21036413311958313,0.41006597876548767,0.56894451379776,0.3757217228412628,0.26002246141433716,0.25814583897590637
the,0.42745697498321533,0.28682878613471985,0.2927955985069275,0.39404502511024475,1.0,0.26521381735801697,-0.01540423184633255,0.25233519077301025,0.48381632566452026,0.5829201340675354,0.39628729224205017,0.2745116055011749,0.22068053483963013
scottish,0.13777151703834534,0.1456814855337143,0.15980373322963715,0.15245208144187927,0.21724988520145416,0.3418616056442261,0.09608723223209381,0.09824219346046448,0.185140922665596,0.18544672429561615,0.3193187713623047,0.17548753321170807,0.06442669779062271
