,harrogate,market,is,in,the,local,what,?
in,0.18553614616394043,0.27003997564315796,0.5394441485404968,1.0,0.6662389636039734,0.2223825752735138,0.30808621644973755,0.20430970191955566
terms,0.15131251513957977,0.20738965272903442,0.27452221512794495,0.2410934716463089,0.29706791043281555,0.10994669049978256,0.23885610699653625,0.23466452956199646
of,0.17222554981708527,0.1694333702325821,0.4854315221309662,0.5696388483047485,0.733189046382904,0.20668989419937134,0.33290785551071167,0.1826142966747284
housing,0.3497673273086548,0.31252264976501465,0.19461371004581451,0.255455881357193,0.24837790429592133,0.24631761014461517,0.14871764183044434,0.11872038245201111
stock,0.2111259251832962,0.4188719391822815,0.1890118271112442,0.20128266513347626,0.21356552839279175,0.1157073900103569,0.13911938667297363,0.14784406125545502
",",0.2635239362716675,0.2499394416809082,0.4691906273365021,0.5201468467712402,0.4933079481124878,0.20673875510692596,0.3087472915649414,0.31091248989105225
the,0.19138553738594055,0.2041238248348236,0.5823672413825989,0.6662389636039734,1.0,0.2130540907382965,0.42745697498321533,0.22068053483963013
authority,0.34121173620224,0.24295413494110107,0.20664075016975403,0.214982271194458,0.2645063102245331,0.2930438816547394,0.23046736419200897,0.18404170870780945
is,0.22963382303714752,0.2463478147983551,1.0,0.5394441485404968,0.5823672413825989,0.13173899054527283,0.28837618231773376,0.22961433231830597
one,0.147756889462471,0.19177107512950897,0.4544198513031006,0.4129433035850525,0.5514441132545471,0.1661648005247116,0.376489520072937,0.2673267424106598
of,0.17222554981708527,0.1694333702325821,0.4854315221309662,0.5696388483047485,0.733189046382904,0.20668989419937134,0.33290785551071167,0.1826142966747284
few,0.14524732530117035,0.1860819309949875,0.22223958373069763,0.3588411808013916,0.34660017490386963,0.14678311347961426,0.2780759632587433,0.2334265559911728
authorities,0.31244876980781555,0.23859041929244995,0.17750932276248932,0.2868952453136444,0.2784515917301178,0.2754886746406555,0.23251837491989136,0.17285770177841187
to,0.23854225873947144,0.23798635601997375,0.42745086550712585,0.45010748505592346,0.535392165184021,0.2207600325345993,0.455847829580307,0.29463258385658264
see,0.16541965305805206,0.16518181562423706,0.30759111046791077,0.2973747253417969,0.3770301640033722,0.16311562061309814,0.44941186904907227,0.42005208134651184
the,0.19138553738594055,0.2041238248348236,0.5823672413825989,0.6662389636039734,1.0,0.2130540907382965,0.42745697498321533,0.22068053483963013
proportion,0.09510383754968643,0.22654809057712555,0.267301470041275,0.2268213927745819,0.2945463955402374,0.18006129562854767,0.21334725618362427,0.16980072855949402
of,0.17222554981708527,0.1694333702325821,0.4854315221309662,0.5696388483047485,0.733189046382904,0.20668989419937134,0.33290785551071167,0.1826142966747284
detached,0.17083564400672913,0.13894464075565338,0.11884669959545135,0.17419780790805817,0.22360335290431976,0.19965963065624237,0.14088524878025055,0.1312139630317688
homes,0.2363555133342743,0.21927422285079956,0.1548708975315094,0.2459857165813446,0.22941356897354126,0.1883237659931183,0.1709814965724945,0.12707971036434174
rise,0.16661719977855682,0.18306975066661835,0.1640702784061432,0.1934409737586975,0.3404741883277893,0.03548646718263626,0.23887591063976288,0.10799103230237961
in,0.18553614616394043,0.27003997564315796,0.5394441485404968,1.0,0.6662389636039734,0.2223825752735138,0.30808621644973755,0.20430970191955566
the,0.19138553738594055,0.2041238248348236,0.5823672413825989,0.6662389636039734,1.0,0.2130540907382965,0.42745697498321533,0.22068053483963013
2010,0.20965957641601562,0.11510158330202103,0.24019573628902435,0.2692960798740387,0.31722962856292725,0.26805999875068665,0.2741409242153168,0.21232788264751434
census,0.2007356435060501,0.15550580620765686,0.18403194844722748,0.2571312189102173,0.2524987757205963,0.1956220418214798,0.2061002552509308,0.12548218667507172
(,0.10001863539218903,0.11048517376184464,0.35393038392066956,0.3087427020072937,0.33289089798927307,0.18996672332286835,0.2411840260028839,0.40561532974243164
to,0.23854225873947144,0.23798635601997375,0.42745086550712585,0.45010748505592346,0.535392165184021,0.2207600325345993,0.455847829580307,0.29463258385658264
7.8,0.006676986813545227,0.0437530092895031,0.049609895795583725,0.05974779278039932,0.05780068784952164,-0.008952416479587555,-0.044524502009153366,-0.09796684235334396
%,0.06442050635814667,0.14935611188411713,0.18672586977481842,0.19465309381484985,0.21490740776062012,0.18490466475486755,0.20738190412521362,0.21441808342933655
),0.12817460298538208,0.10896787792444229,0.37732169032096863,0.3326910734176636,0.3456730246543884,0.18753306567668915,0.26259949803352356,0.42300865054130554
