,what,beverage,company,signed,a,contract,allowing,them,to,broadcast,ads,at,a,discount,?
this,0.5489566326141357,0.2233901023864746,0.2114456593990326,0.13896159827709198,0.5422310829162598,0.21657794713974,0.34193018078804016,0.5015315413475037,0.5759071707725525,0.24977970123291016,0.20538488030433655,0.32544323801994324,0.5422310829162598,0.27842849493026733,0.3155723512172699
would,0.45766422152519226,0.21608486771583557,0.2073281854391098,0.24808698892593384,0.398599237203598,0.27568092942237854,0.513235330581665,0.5105606913566589,0.5965728163719177,0.1730719655752182,0.2619149684906006,0.3073931038379669,0.398599237203598,0.2625957131385803,0.37178951501846313
be,0.3929833769798279,0.22752946615219116,0.1454060822725296,0.11773345619440079,0.39883795380592346,0.1361851990222931,0.3555369973182678,0.4282684326171875,0.4972836375236511,0.20571625232696533,0.21184858679771423,0.30379733443260193,0.39883795380592346,0.23872312903404236,0.3324260413646698
the,0.42745697498321533,0.23865100741386414,0.26591673493385315,0.20675969123840332,0.5829201340675354,0.23003633320331573,0.3440283536911011,0.4788833558559418,0.535392165184021,0.2713715434074402,0.18265272676944733,0.457212895154953,0.5829201340675354,0.2309042513370514,0.22068053483963013
final,0.20972409844398499,0.10684607177972794,0.07612226158380508,0.1869414746761322,0.24625235795974731,0.18886879086494446,0.16776584088802338,0.20280428230762482,0.26099109649658203,0.22910454869270325,0.15712609887123108,0.20822679996490479,0.24625235795974731,0.13252626359462738,0.17315025627613068
year,0.15184831619262695,0.1202557384967804,0.1253320872783661,0.29146623611450195,0.29350247979164124,0.361080527305603,0.1680530458688736,0.23057101666927338,0.23523004353046417,0.23991180956363678,0.23746393620967865,0.3146436810493469,0.29350247979164124,0.21942609548568726,0.18315006792545319
in,0.30808621644973755,0.2225954681634903,0.22141718864440918,0.21830837428569794,0.539380669593811,0.20341484248638153,0.22594089806079865,0.29119014739990234,0.45010748505592346,0.26723843812942505,0.170392245054245,0.4374977946281433,0.539380669593811,0.1967834085226059,0.20430970191955566
a,0.3320399522781372,0.24760311841964722,0.22037413716316223,0.20831720530986786,1.0,0.20562967658042908,0.3025304675102234,0.3151612877845764,0.45503583550453186,0.2046348601579666,0.12881463766098022,0.3095070421695709,1.0,0.18131038546562195,0.23916715383529663
multi-year,0.1837952584028244,0.23919416964054108,0.30106908082962036,0.2147224396467209,0.23240144550800323,0.2798756957054138,0.24522243440151215,0.15259866416454315,0.23433144390583038,0.22974362969398499,0.26025280356407166,0.22030407190322876,0.23240144550800323,0.25867655873298645,0.23846855759620667
contract,0.2276902049779892,0.1971496045589447,0.32347777485847473,0.6361355781555176,0.20562967658042908,1.0000001192092896,0.2791324853897095,0.2593438923358917,0.2871469259262085,0.23274089395999908,0.1882823407649994,0.11972115933895111,0.20562967658042908,0.18620026111602783,0.12573233246803284
with,0.2464839518070221,0.1922173947095871,0.24132338166236877,0.32675501704216003,0.3783375024795532,0.2929249107837677,0.3900178074836731,0.4064640402793884,0.4239959120750427,0.1932039111852646,0.19044262170791626,0.29126521944999695,0.3783375024795532,0.1599145382642746,0.2433311939239502
anheuser-busch,0.2608986794948578,0.44165894389152527,0.37906011939048767,0.19910913705825806,0.2742675840854645,0.25447869300842285,0.14239361882209778,0.20716720819473267,0.26502183079719543,0.3397272825241089,0.33323046565055847,0.19075694680213928,0.2742675840854645,0.2830316126346588,0.33981800079345703
inbev,0.1596394181251526,0.3577899932861328,0.2887456715106964,0.16163665056228638,0.2264009267091751,0.20811185240745544,0.10409539937973022,0.09274845570325851,0.12917304039001465,0.2244446873664856,0.21954692900180817,0.20404523611068726,0.2264009267091751,0.20573726296424866,0.24258218705654144
that,0.6297725439071655,0.2547377049922943,0.22723333537578583,0.19894394278526306,0.47537946701049805,0.24800655245780945,0.4088030755519867,0.5601773262023926,0.5436353087425232,0.267183780670166,0.2523993253707886,0.3183255195617676,0.47537946701049805,0.272271066904068,0.32716336846351624
allowed,0.2693612575531006,0.26290664076805115,0.18670186400413513,0.289312481880188,0.275193989276886,0.21793121099472046,0.6210888028144836,0.40940260887145996,0.42967355251312256,0.1806621551513672,0.23240910470485687,0.25512567162513733,0.275193989276886,0.26610496640205383,0.2309964895248413
the,0.42745697498321533,0.23865100741386414,0.26591673493385315,0.20675969123840332,0.5829201340675354,0.23003633320331573,0.3440283536911011,0.4788833558559418,0.535392165184021,0.2713715434074402,0.18265272676944733,0.457212895154953,0.5829201340675354,0.2309042513370514,0.22068053483963013
beer,0.15748022496700287,0.5393140316009521,0.29909056425094604,0.12078191339969635,0.23359490931034088,0.15886910259723663,0.09569958597421646,0.18028374016284943,0.1757139414548874,0.19781234860420227,0.20401501655578613,0.18449972569942474,0.23359490931034088,0.29311656951904297,0.15216413140296936
manufacturer,0.13465645909309387,0.39978206157684326,0.5423061847686768,0.10885663330554962,0.25058242678642273,0.19213628768920898,0.1554308533668518,0.10178292542695999,0.18490533530712128,0.11733224242925644,0.24986515939235687,0.10305935889482498,0.25058242678642273,0.23660631477832794,0.11731472611427307
to,0.455847829580307,0.21660216152668,0.24903783202171326,0.23242348432540894,0.45503583550453186,0.2871469259262085,0.47026363015174866,0.5916602611541748,1.0,0.2326623648405075,0.18482619524002075,0.36524343490600586,0.45503583550453186,0.2974597215652466,0.29463258385658264
air,0.10361403971910477,0.21558412909507751,0.17644211649894714,0.03702802583575249,0.23199330270290375,0.11548496037721634,0.21077902615070343,0.23022675514221191,0.24103909730911255,0.243733212351799,0.1469961702823639,0.18523330986499786,0.23199330270290375,0.15184065699577332,0.1491677612066269
multiple,0.19839626550674438,0.14835761487483978,0.13512057065963745,0.04389061778783798,0.23904410004615784,0.16582398116588593,0.23802419006824493,0.2383362501859665,0.2663446366786957,0.14311794936656952,0.1386433094739914,0.1886529177427292,0.23904410004615784,0.12177232652902603,0.1591399908065796
advertisements,0.2247598022222519,0.3775135278701782,0.36208584904670715,0.20475532114505768,0.20390553772449493,0.2635096609592438,0.2403479814529419,0.3125752806663513,0.2288525402545929,0.29642391204833984,0.5834730267524719,0.12257517874240875,0.20390553772449493,0.30940139293670654,0.1904435008764267
during,0.24137552082538605,0.19817093014717102,0.12950238585472107,0.2060910165309906,0.30341604351997375,0.2301333099603653,0.22225120663642883,0.26723581552505493,0.2828781306743622,0.24461494386196136,0.1481192260980606,0.372769296169281,0.30341604351997375,0.0938262790441513,0.1325719803571701
the,0.42745697498321533,0.23865100741386414,0.26591673493385315,0.20675969123840332,0.5829201340675354,0.23003633320331573,0.3440283536911011,0.4788833558559418,0.535392165184021,0.2713715434074402,0.18265272676944733,0.457212895154953,0.5829201340675354,0.2309042513370514,0.22068053483963013
game,0.2246788740158081,0.16699673235416412,0.19029217958450317,0.1436261236667633,0.23211604356765747,0.19243565201759338,0.21068871021270752,0.2747063934803009,0.2540906071662903,0.2862359285354614,0.1905524879693985,0.18453927338123322,0.23211604356765747,0.21692045032978058,0.1829071193933487
at,0.2838611304759979,0.15651363134384155,0.17487694323062897,0.1363757848739624,0.3095070421695709,0.11972115933895111,0.1780121624469757,0.24689407646656036,0.36524343490600586,0.2025444209575653,0.13438895344734192,1.0,0.3095070421695709,0.1966882199048996,0.21978627145290375
