,who,got,a,touchdown,making,the,score,10-7,?
newton,0.19243690371513367,0.13640323281288147,0.1884482353925705,0.29466405510902405,0.16950273513793945,0.1876603662967682,0.12628361582756042,-0.02940237522125244,0.09645649790763855
completed,0.15320545434951782,0.22905148565769196,0.2692357301712036,0.24650275707244873,0.1751878708600998,0.29278936982154846,0.13628706336021423,0.016848012804985046,0.08272653818130493
4,0.09137360751628876,0.12990136444568634,0.08102071285247803,-0.0011191320372745395,-0.04722372069954872,0.15499350428581238,0.06030788645148277,0.11511119455099106,0.010515431873500347
of,0.2827862501144409,0.2380109280347824,0.5052502155303955,0.15340197086334229,0.3250596821308136,0.733189046382904,0.1790168732404709,0.06215137243270874,0.1826142966747284
4,0.09137360751628876,0.12990136444568634,0.08102071285247803,-0.0011191320372745395,-0.04722372069954872,0.15499350428581238,0.06030788645148277,0.11511119455099106,0.010515431873500347
passes,0.08672328293323517,0.15404118597507477,0.31111034750938416,0.431114137172699,0.2612727880477905,0.3752402365207672,0.10257738083600998,0.08279396593570709,0.09716983139514923
for,0.37110671401023865,0.293374627828598,0.44038116931915283,0.26143357157707214,0.4092673361301422,0.4739971458911896,0.19645971059799194,-0.10289883613586426,0.264628142118454
51,0.0596969798207283,0.029205430299043655,0.08300291746854782,0.050676796585321426,-0.04925096035003662,0.026102188974618912,0.012510739266872406,0.11650937795639038,-0.06252402067184448
yards,0.13584628701210022,0.1256139725446701,0.19167225062847137,0.6753588914871216,0.16940386593341827,0.16070343554019928,0.2295611947774887,0.05333596095442772,0.12453813850879669
and,0.41279885172843933,0.28609535098075867,0.3739250600337982,0.21398694813251495,0.38677045702934265,0.5171257257461548,0.16766662895679474,-0.046674929559230804,0.20544172823429108
rushed,0.22218874096870422,0.26606348156929016,0.22125563025474548,0.37774065136909485,0.16077159345149994,0.25936806201934814,0.17134244740009308,-0.04362354427576065,0.10077773034572601
twice,0.24565871059894562,0.2468252331018448,0.3332133889198303,0.292905330657959,0.16357964277267456,0.3638015687465668,0.17078441381454468,-0.13345734775066376,0.16248004138469696
