,how,many,uk,viewers,watched,the,doctor,who,film,?
although,0.26196205615997314,0.36542749404907227,0.13957524299621582,0.21457013487815857,0.2583036720752716,0.3265823423862457,0.15578992664813995,0.3003382384777069,0.155008003115654,0.15541206300258636
the,0.33890387415885925,0.4335206151008606,0.2143084555864334,0.24207380414009094,0.3087751269340515,1.0,0.2820442318916321,0.3733934462070465,0.2824619710445404,0.22068053483963013
film,0.1829524040222168,0.15848217904567719,0.12005265057086945,0.2860561013221741,0.13729272782802582,0.2824619710445404,0.20001187920570374,0.16308167576789856,0.9999999403953552,0.16369038820266724
was,0.16678167879581451,0.260356068611145,0.206756129860878,0.1538165658712387,0.2939668893814087,0.48711544275283813,0.19672659039497375,0.3318818509578705,0.25235438346862793,0.18412111699581146
successful,0.17852677404880524,0.28810474276542664,0.2159426361322403,0.22734209895133972,0.22831107676029205,0.31354787945747375,0.10717684030532837,0.22461774945259094,0.13639669120311737,0.1132197454571724
in,0.2601168751716614,0.41474202275276184,0.2261405885219574,0.15653292834758759,0.2272925227880478,0.6662389636039734,0.25567495822906494,0.2792111933231354,0.22183799743652344,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.2143084555864334,0.24207380414009094,0.3087751269340515,1.0,0.2820442318916321,0.3733934462070465,0.2824619710445404,0.22068053483963013
uk,0.14388126134872437,0.18414634466171265,1.0,0.24397726356983185,0.20339719951152802,0.2143084555864334,0.08348814398050308,0.10701356083154678,0.12005265057086945,0.20222434401512146
(,0.1676948219537735,0.1455259770154953,0.19727066159248352,0.09349163621664047,0.09627440571784973,0.33289089798927307,0.1570640504360199,0.2443375140428543,0.22846083343029022,0.40561532974243164
with,0.3525622487068176,0.35744401812553406,0.170000359416008,0.13734501600265503,0.226169154047966,0.4223487675189972,0.17277967929840088,0.3282766342163086,0.10958370566368103,0.2433311939239502
9.1,0.19151999056339264,0.11847492307424545,0.14080171287059784,0.18547065556049347,0.16659210622310638,0.14999046921730042,-0.0550156906247139,0.048191364854574203,0.05765737220644951,0.08549001812934875
million,0.21114659309387207,0.3520967364311218,0.19965504109859467,0.3995528519153595,0.2870323359966278,0.277012437582016,0.13021644949913025,0.20240086317062378,0.16036273539066315,0.23092924058437347
viewers,0.27856409549713135,0.263645738363266,0.24397726356983185,0.9999999403953552,0.40416061878204346,0.24207380414009094,0.15965759754180908,0.24101194739341736,0.2860561013221741,0.2274174839258194
),0.17939934134483337,0.16602720320224762,0.1962110996246338,0.12322468310594559,0.11937865614891052,0.3456730246543884,0.1509941965341568,0.2457384318113327,0.24370460212230682,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.2632971405982971,0.18595917522907257,0.22514888644218445,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.2552308440208435,0.31091248989105225
it,0.36714982986450195,0.39615920186042786,0.21589650213718414,0.2282128632068634,0.2719147503376007,0.6251175999641418,0.24568085372447968,0.2868398427963257,0.24434618651866913,0.25732165575027466
was,0.16678167879581451,0.260356068611145,0.206756129860878,0.1538165658712387,0.2939668893814087,0.48711544275283813,0.19672659039497375,0.3318818509578705,0.25235438346862793,0.18412111699581146
