,how,long,were,the,fighters,of,the,warsaw,ghetto,uprising,able,to,hold,out,?
despite,0.180110901594162,0.1907714456319809,0.3547813892364502,0.3172689974308014,0.1406390219926834,0.33505672216415405,0.3172689974308014,0.1416676640510559,0.16586582362651825,0.24668338894844055,0.27489015460014343,0.3584847152233124,0.2367401123046875,0.2752241790294647,0.14350546896457672
being,0.33768191933631897,0.25129425525665283,0.4775565266609192,0.419739305973053,0.17568890750408173,0.34885138273239136,0.419739305973053,0.14698296785354614,0.19680510461330414,0.20831336081027985,0.3341618478298187,0.4514104127883911,0.2421935498714447,0.32819026708602905,0.26743772625923157
heavily,0.18862779438495636,0.23500795662403107,0.28229883313179016,0.2549211382865906,0.24286234378814697,0.15830223262310028,0.2549211382865906,0.1449614316225052,0.15464261174201965,0.20097152888774872,0.24699392914772034,0.21706987917423248,0.11174000054597855,0.1396830528974533,0.1724066138267517
outgunned,0.2595520317554474,0.2838290333747864,0.3615139126777649,0.3159548044204712,0.3312389850616455,0.2787001430988312,0.3159548044204712,0.14521300792694092,0.2708238363265991,0.21887396275997162,0.32831600308418274,0.3078320026397705,0.2588491439819336,0.37242424488067627,0.23763586580753326
and,0.33647966384887695,0.3395216166973114,0.42175528407096863,0.5171257257461548,0.30053067207336426,0.5116966962814331,0.5171257257461548,0.2083624005317688,0.1805059313774109,0.20715351402759552,0.3303895890712738,0.48971283435821533,0.30117684602737427,0.3881998062133789,0.20544172823429108
outnumbered,0.22564128041267395,0.1951633095741272,0.42891231179237366,0.30156463384628296,0.2914693057537079,0.2561200261116028,0.30156463384628296,0.18949706852436066,0.22101694345474243,0.3193762004375458,0.2689446806907654,0.19627566635608673,0.21350200474262238,0.27819857001304626,0.16433721780776978
",",0.22659391164779663,0.3431144952774048,0.36755475401878357,0.4933079481124878,0.2337292581796646,0.4946078956127167,0.4933079481124878,0.25300899147987366,0.2404474914073944,0.2470635622739792,0.28725793957710266,0.44245919585227966,0.2803111970424652,0.3161109685897827,0.31091248989105225
the,0.33890387415885925,0.3075225353240967,0.3906462490558624,1.0,0.21890133619308472,0.733189046382904,1.0,0.23137180507183075,0.20106086134910583,0.2853594124317169,0.3435857892036438,0.535392165184021,0.3067915439605713,0.39404502511024475,0.22068053483963013
ghetto,0.16272084414958954,0.08594705164432526,0.3066713213920593,0.20106086134910583,0.24548229575157166,0.1721765398979187,0.20106086134910583,0.3894329071044922,0.9999999403953552,0.38954538106918335,0.10643791407346725,0.1876654475927353,0.14075492322444916,0.2403564751148224,0.1595032513141632
held,0.06776752322912216,0.1376456916332245,0.2591556906700134,0.32185450196266174,0.15030868351459503,0.28960686922073364,0.32185450196266174,0.1729760617017746,0.1233459860086441,0.2814653217792511,0.2665520906448364,0.22177374362945557,0.4960750639438629,0.18820293247699738,0.14103956520557404
out,0.3963836133480072,0.21854935586452484,0.3354760408401489,0.39404502511024475,0.19723385572433472,0.34176841378211975,0.39404502511024475,0.10430089384317398,0.2403564751148224,0.18895624577999115,0.31663835048675537,0.42386990785598755,0.3249528706073761,1.0,0.22020699083805084
for,0.3308170735836029,0.2547193765640259,0.33592689037323,0.4739971458911896,0.20845195651054382,0.4185989499092102,0.4739971458911896,0.1427849680185318,0.12759855389595032,0.1721724420785904,0.2947812080383301,0.4451248347759247,0.325223445892334,0.3312093913555145,0.264628142118454
almost,0.23828135430812836,0.29538002610206604,0.3111434280872345,0.3341992199420929,0.21881930530071259,0.3144364058971405,0.3341992199420929,0.1495814025402069,0.19584022462368011,0.1377968192100525,0.2157076597213745,0.2893180847167969,0.24760319292545319,0.28658488392829895,0.1372147500514984
a,0.29312583804130554,0.3795371353626251,0.17203083634376526,0.5829201340675354,0.1978943943977356,0.5052502155303955,0.5829201340675354,0.19591784477233887,0.1481446474790573,0.17451336979866028,0.2874686121940613,0.45503583550453186,0.2822398841381073,0.34264278411865234,0.23916715383529663
month,0.1799258142709732,0.2322886437177658,0.17786099016666412,0.2821349799633026,0.15930652618408203,0.23822399973869324,0.2821349799633026,0.10619107633829117,0.03531119227409363,0.18798519670963287,0.158161461353302,0.24505755305290222,0.09421335160732269,0.20629318058490753,0.23961511254310608
.,0.3287222981452942,0.3247973620891571,0.3378238379955292,0.5934505462646484,0.22764107584953308,0.5352458953857422,0.5934505462646484,0.26825499534606934,0.16494348645210266,0.17839539051055908,0.34544092416763306,0.4645031690597534,0.30296799540519714,0.34234723448753357,0.4130953550338745
