,many,construction,companies,are,now,placing,more,emphasis,on,what,?
in,0.41474202275276184,0.3031303882598877,0.2321794629096985,0.3841303884983063,0.3619694113731384,0.25675341486930847,0.32563260197639465,0.2321949303150177,0.46853652596473694,0.30808621644973755,0.20430970191955566
response,0.23894017934799194,0.15773724019527435,0.10905969887971878,0.20697586238384247,0.2033289521932602,0.16926904022693634,0.3111054003238678,0.27556368708610535,0.20197884738445282,0.3532308340072632,0.2007838636636734
",",0.40610817074775696,0.23704268038272858,0.28041911125183105,0.4062570035457611,0.43216821551322937,0.24170760810375214,0.3696524500846863,0.2289692610502243,0.49057599902153015,0.3087472915649414,0.31091248989105225
many,0.9999999403953552,0.19303908944129944,0.3244176208972931,0.5655534863471985,0.32994627952575684,0.22437140345573425,0.48608261346817017,0.2665420472621918,0.32520127296447754,0.36131182312965393,0.2124512493610382
companies,0.3244176208972931,0.25014862418174744,1.0000001192092896,0.24720293283462524,0.21395471692085266,0.16630172729492188,0.19523975253105164,0.18644589185714722,0.23421919345855713,0.20801754295825958,0.14365637302398682
are,0.5655534863471985,0.18089833855628967,0.24720293283462524,1.0,0.3292219042778015,0.2545259892940521,0.4066504240036011,0.24338316917419434,0.268924742937088,0.29724663496017456,0.24591213464736938
growing,0.31936097145080566,0.21797116100788116,0.19242914021015167,0.2877160608768463,0.1893898844718933,0.2200893610715866,0.3068521320819855,0.14786440134048462,0.1896074265241623,0.20045997202396393,0.10178618133068085
beyond,0.23185981810092926,0.18919743597507477,0.14402340352535248,0.22019080817699432,0.24619314074516296,0.18830013275146484,0.2507440447807312,0.29497483372688293,0.2961121201515198,0.3297902047634125,0.1875571459531784
traditional,0.30595701932907104,0.21913377940654755,0.18882769346237183,0.29966410994529724,0.15938696265220642,0.17530517280101776,0.21138900518417358,0.30167633295059204,0.14103850722312927,0.20066824555397034,0.1327509582042694
offerings,0.3246396481990814,0.23244571685791016,0.33591169118881226,0.3236941397190094,0.16473883390426636,0.22007982432842255,0.2678634226322174,0.27350959181785583,0.2287275493144989,0.2059011310338974,0.128221794962883
of,0.37253960967063904,0.2815735340118408,0.22608543932437897,0.39081433415412903,0.29182544350624084,0.31249165534973145,0.30478984117507935,0.25674107670783997,0.3966929316520691,0.33290785551071167,0.1826142966747284
