,how,much,does,the,rhine,discharge,at,the,dutch,border,?
as,0.33782753348350525,0.36514025926589966,0.31202155351638794,0.48381632566452026,0.18380387127399445,0.1726997345685959,0.28092536330223083,0.48381632566452026,0.20572681725025177,0.13357560336589813,0.27043893933296204
it,0.36714982986450195,0.48116767406463623,0.34188351035118103,0.6251175999641418,0.17693428695201874,0.16424249112606049,0.36473900079727173,0.6251175999641418,0.09631947427988052,0.2761725187301636,0.25732165575027466
approaches,0.30376937985420227,0.24077993631362915,0.26180633902549744,0.2746894657611847,0.11200511455535889,0.13744407892227173,0.2719840705394745,0.2746894657611847,0.16327309608459473,0.18458469212055206,0.16919754445552826
the,0.33890387415885925,0.35023224353790283,0.35928019881248474,1.0,0.30735138058662415,0.2714732885360718,0.457212895154953,1.0,0.1705695390701294,0.2856229841709137,0.22068053483963013
dutch,0.14990761876106262,0.1384192705154419,0.13053582608699799,0.1705695390701294,0.31772172451019287,0.12075502425432205,0.17059023678302765,0.1705695390701294,0.9999999403953552,0.11809620261192322,0.1081366017460823
border,0.17563492059707642,0.13528436422348022,0.17243514955043793,0.2856229841709137,0.32308438420295715,0.14599668979644775,0.18072058260440826,0.2856229841709137,0.11809620261192322,0.9999998807907104,0.1706928312778473
",",0.22659391164779663,0.36182254552841187,0.28617382049560547,0.4933079481124878,0.167837992310524,0.1608646810054779,0.38314947485923767,0.4933079481124878,0.23674406111240387,0.2548258304595947,0.31091248989105225
the,0.33890387415885925,0.35023224353790283,0.35928019881248474,1.0,0.30735138058662415,0.2714732885360718,0.457212895154953,1.0,0.1705695390701294,0.2856229841709137,0.22068053483963013
rhine,0.09285783767700195,0.11189084500074387,0.13532963395118713,0.30735138058662415,1.0,0.22111549973487854,0.19469857215881348,0.30735138058662415,0.31772172451019287,0.32308438420295715,0.13754533231258392
has,0.26820555329322815,0.31650421023368835,0.42885294556617737,0.4177538752555847,0.12709470093250275,0.15075449645519257,0.2743658423423767,0.4177538752555847,0.1535053849220276,0.17754417657852173,0.15994466841220856
an,0.2520636022090912,0.2866077721118927,0.29477936029434204,0.4207492768764496,0.07200640439987183,0.18126574158668518,0.2446778565645218,0.4207492768764496,0.12204162031412125,0.09951579570770264,0.19793890416622162
annual,0.1884455680847168,0.11214926838874817,0.1914888620376587,0.2958983778953552,0.12795452773571014,0.1660868227481842,0.27374956011772156,0.2958983778953552,0.07735099643468857,0.13498082756996155,0.1083487942814827
mean,0.35380423069000244,0.2954164743423462,0.32234957814216614,0.25977957248687744,0.10673598945140839,0.19747482240200043,0.24282926321029663,0.25977957248687744,0.056219570338726044,0.1030975729227066,0.36234524846076965
discharge,0.17195333540439606,0.22099870443344116,0.2124834507703781,0.2714732885360718,0.22111549973487854,1.0,0.15364322066307068,0.2714732885360718,0.12075502425432205,0.14599668979644775,0.13592740893363953
of,0.2480744868516922,0.2671096920967102,0.3119818866252899,0.733189046382904,0.2548927664756775,0.24374468624591827,0.42558613419532776,0.733189046382904,0.14408773183822632,0.24084383249282837,0.1826142966747284
"2,290",-0.09739632159471512,-0.14354278147220612,-0.20577262341976166,-0.05361589789390564,-0.05465353652834892,-0.1356508433818817,-0.026532867923378944,-0.05361589789390564,0.03153596445918083,-0.08471481502056122,-0.12841123342514038
m3/s,0.1881266087293625,0.16530677676200867,0.12215457111597061,0.21639159321784973,0.1787276417016983,0.30525290966033936,0.2467067837715149,0.21639159321784973,0.15780700743198395,0.1844230592250824,0.11470148712396622
(,0.1676948219537735,0.21788647770881653,0.2728188931941986,0.33289089798927307,0.12381801009178162,0.15082648396492004,0.23315078020095825,0.33289089798927307,0.1816992163658142,0.20146091282367706,0.40561532974243164
"81,000",-0.06347505748271942,0.05927705764770508,-0.0006520519964396954,0.0763436108827591,0.08013452589511871,0.17862488329410553,0.08628779649734497,0.0763436108827591,0.0763019323348999,0.031861066818237305,-0.10073599219322205
cu,0.2411341667175293,0.2270694524049759,0.1838236004114151,0.1260254830121994,0.08786342293024063,0.2884971499443054,0.136374369263649,0.1260254830121994,0.004656498786062002,0.09643498063087463,0.3576068878173828
ft/s,0.2571173310279846,0.2520098090171814,0.18939000368118286,0.22741563618183136,0.23744693398475647,0.3827020227909088,0.27598559856414795,0.22741563618183136,0.18051666021347046,0.27827000617980957,0.27464672923088074
),0.17939934134483337,0.22256317734718323,0.2575884759426117,0.3456730246543884,0.12686386704444885,0.14683400094509125,0.23338089883327484,0.3456730246543884,0.1930844932794571,0.20862598717212677,0.42300865054130554
and,0.33647966384887695,0.38395699858665466,0.3461615741252899,0.5171257257461548,0.22029656171798706,0.23449279367923737,0.3571503460407257,0.5171257257461548,0.26873692870140076,0.29048892855644226,0.20544172823429108
an,0.2520636022090912,0.2866077721118927,0.29477936029434204,0.4207492768764496,0.07200640439987183,0.18126574158668518,0.2446778565645218,0.4207492768764496,0.12204162031412125,0.09951579570770264,0.19793890416622162
average,0.2824462950229645,0.3068808615207672,0.17787541449069977,0.27058175206184387,0.13968418538570404,0.3206624984741211,0.26809391379356384,0.27058175206184387,0.09843648225069046,0.13729585707187653,0.21764592826366425
width,0.20070433616638184,0.21870777010917664,0.199994757771492,0.23279894888401031,0.16182301938533783,0.19906535744667053,0.1632803976535797,0.23279894888401031,0.05559714883565903,0.46656784415245056,0.17590105533599854
