,what,did,mongolian,president,tsakhiagian,elbegdorj,note,was,significantly,punished,by,genghis,khan,'s,laws,?
``,0.008517155423760414,-0.029888948425650597,0.08506778627634048,0.057543765753507614,0.134409561753273,0.13407056033611298,0.1187758669257164,-0.012679691426455975,0.17563557624816895,0.01396896317601204,-0.030704375356435776,0.05644606053829193,0.07293079793453217,-0.03416389226913452,-0.04076443985104561,0.0685480609536171
ikh,0.17602427303791046,0.07638876885175705,0.32306721806526184,0.24760790169239044,0.4967177212238312,0.31456366181373596,0.08004705607891083,0.1803065687417984,0.15275903046131134,0.18273821473121643,0.1532905250787735,0.494457870721817,0.5630743503570557,-0.04160108044743538,0.14020198583602905,0.19104276597499847
zasag,0.22751416265964508,0.10781252384185791,0.3454987704753876,0.2576756179332733,0.44551652669906616,0.40518873929977417,0.14791510999202728,0.23516474664211273,0.19288285076618195,0.11447513848543167,0.14627504348754883,0.3965557813644409,0.2867058217525482,-0.0074087828397750854,0.12057389318943024,0.17681355774402618
law,0.2145031988620758,0.2238171398639679,0.08108631521463394,0.24191398918628693,0.16779829561710358,0.24077560007572174,0.12185730040073395,0.21553055942058563,0.15800458192825317,0.35765400528907776,0.1977037936449051,0.17648518085479736,0.10655999183654785,-0.06109188124537468,0.6853237152099609,0.1528988480567932
adopted,0.1504661738872528,0.18617329001426697,0.18023547530174255,0.2198292464017868,0.2127460092306137,0.175091952085495,0.12999007105827332,0.31838172674179077,0.18439112603664398,0.22467520833015442,0.19986462593078613,0.24799492955207825,0.16147825121879578,-0.03255033865571022,0.25524771213531494,0.14235380291938782
during,0.24137552082538605,0.30679523944854736,0.1385686844587326,0.19422510266304016,0.20917831361293793,0.1824808567762375,0.11220504343509674,0.4470829963684082,0.2988471984863281,0.23828311264514923,0.3220438063144684,0.23637251555919647,0.14773862063884735,0.011294117197394371,0.20668524503707886,0.1325719803571701
genghis,0.24369274079799652,0.18339850008487701,0.463535338640213,0.21110491454601288,0.5138601064682007,0.42436280846595764,0.07781893759965897,0.3037589192390442,0.1676313281059265,0.27717989683151245,0.22102472186088562,1.0,0.5896923542022705,0.031423866748809814,0.1581728160381317,0.18813461065292358
khan,0.16476042568683624,0.155345618724823,0.4463278353214264,0.21197029948234558,0.39639604091644287,0.2771810293197632,0.08019249141216278,0.23483267426490784,0.15270061790943146,0.11484967172145844,0.13558374345302582,0.5896923542022705,1.0,0.05307086929678917,0.060260333120822906,0.12862591445446014
’,-0.01733604073524475,0.04859831556677818,0.0329943522810936,0.013139976188540459,0.06645350903272629,0.03455642983317375,0.0070131998509168625,0.023636873811483383,-0.005624124314635992,0.002958569908514619,-0.04605049267411232,0.025488652288913727,0.08343757688999176,-0.1203070729970932,-0.08732537925243378,0.045561522245407104
s,0.3634900748729706,0.33910059928894043,0.15762612223625183,0.20769131183624268,0.18309317529201508,0.2387983202934265,0.2235262542963028,0.3674983084201813,0.24940215051174164,0.16616813838481903,0.40676382184028625,0.2606803774833679,0.17176339030265808,0.05719660595059395,0.24498993158340454,0.25130221247673035
