,compared,to,the,rest,of,florida,",",how,does,jacksonville,'s,filipino,population,rank,?
jacksonville,0.132365882396698,0.1994343250989914,0.2176690250635147,0.23247259855270386,0.23084138333797455,0.568950355052948,0.2837527096271515,0.165566086769104,0.14389668405056,1.0000001192092896,0.02280956320464611,0.21439775824546814,0.23063048720359802,0.07961920648813248,0.1359667330980301
has,0.31465092301368713,0.3619994819164276,0.4177538752555847,0.22801673412322998,0.3909035325050354,0.15315955877304077,0.3734780251979828,0.26820555329322815,0.42885294556617737,0.22732819616794586,-0.040683966130018234,0.10310731828212738,0.25973978638648987,0.1818789839744568,0.15994466841220856
florida,0.14960697293281555,0.20760414004325867,0.24091358482837677,0.15840499103069305,0.2330869883298874,1.0,0.21896368265151978,0.12716838717460632,0.14001260697841644,0.568950355052948,0.03644531965255737,0.20739056169986725,0.17583444714546204,0.1257004290819168,0.13469882309436798
's,0.04780092462897301,0.03782717138528824,-0.01540423184633255,0.04253825545310974,-0.03817026689648628,0.03644531965255737,-0.0016132977325469255,-0.026164190843701363,-0.02895052544772625,0.02280956320464611,0.9999999403953552,0.040928181260824203,0.012951160781085491,0.07260813564062119,-0.023395681753754616
largest,0.20859172940254211,0.18687231838703156,0.3757036626338959,0.20002834498882294,0.36650770902633667,0.1885399967432022,0.26626327633857727,0.08743762224912643,0.18477381765842438,0.1861613392829895,-0.02050611935555935,0.08659178018569946,0.41943269968032837,0.12887515127658844,0.12401245534420013
filipino,0.11502240598201752,0.17775633931159973,0.16211169958114624,0.1259993016719818,0.168240487575531,0.20739056169986725,0.2570640444755554,0.11686347424983978,0.1695898026227951,0.21439775824546814,0.040928181260824203,1.0000001192092896,0.15657423436641693,0.17428985238075256,0.16684114933013916
american,0.1941204071044922,0.16338081657886505,0.24562937021255493,0.1240985170006752,0.22180068492889404,0.2683035433292389,0.3048616647720337,0.22688741981983185,0.1448984146118164,0.38284847140312195,0.01565130427479744,0.42611944675445557,0.14820514619350433,0.12656214833259583,0.18877598643302917
community,0.1365807056427002,0.2863751947879791,0.2601400911808014,0.25095513463020325,0.2367410808801651,0.15371236205101013,0.2761111557483673,0.24500365555286407,0.22672897577285767,0.23076996207237244,0.020855724811553955,0.09968028962612152,0.3055175542831421,0.115860216319561,0.2380419820547104
",",0.25363782048225403,0.44245919585227966,0.4933079481124878,0.3065745532512665,0.4946078956127167,0.21896368265151978,1.0000001192092896,0.22659391164779663,0.28617382049560547,0.2837527096271515,-0.0016132977325469255,0.2570640444755554,0.2967977225780487,0.2213623821735382,0.31091248989105225
with,0.2945909798145294,0.4239959120750427,0.4223487675189972,0.3280266523361206,0.41827285289764404,0.14567138254642487,0.4120737314224243,0.3525622487068176,0.26186925172805786,0.2283513844013214,-0.04624466598033905,0.15016818046569824,0.15404780209064484,0.16758237779140472,0.2433311939239502
"25,033",-0.039361074566841125,-0.10834275931119919,-0.11529945582151413,-0.07506747543811798,-0.08137239515781403,-0.09943925589323044,-0.07580581307411194,0.024969732388854027,-0.08771535009145737,-0.14036649465560913,-0.06212535500526428,0.0014824466779828072,-0.08856529742479324,-0.003263717284426093,-0.001894389046356082
in,0.2479310929775238,0.45010748505592346,0.6662389636039734,0.3255048990249634,0.5696388483047485,0.2330404818058014,0.5201468467712402,0.2601168751716614,0.214483380317688,0.22147351503372192,-0.037580832839012146,0.12307817488908768,0.3268454372882843,0.20269498229026794,0.20430970191955566
