,what,makes,day,length,constant,on,earth,?
the,0.42745697498321533,0.3029823303222656,0.3062323033809662,0.26581600308418274,0.2037150114774704,0.5107308030128479,0.2801888585090637,0.22068053483963013
rotational,0.20972047746181488,0.21000495553016663,0.14667834341526031,0.3315922021865845,0.3620993494987488,0.1888059675693512,0.36299553513526917,0.12318766117095947
inertia,0.2659069001674652,0.21884728968143463,0.09070674329996109,0.34555134177207947,0.49287816882133484,0.12194357812404633,0.40575382113456726,0.20492924749851227
of,0.33290785551071167,0.2927091419696808,0.2934032380580902,0.22847424447536469,0.25393494963645935,0.3966929316520691,0.2329314798116684,0.1826142966747284
planet,0.2183026820421219,0.20236222445964813,0.14999598264694214,0.12702178955078125,0.23158064484596252,0.18479855358600616,0.6280893683433533,0.16979767382144928
earth,0.25883176922798157,0.22482211887836456,0.15831735730171204,0.12514247000217438,0.23102408647537231,0.20645220577716827,1.0,0.17717236280441284
is,0.28837618231773376,0.4565773010253906,0.17517195641994476,0.2527557909488678,0.1972285658121109,0.3635730445384979,0.26888176798820496,0.22961433231830597
what,0.9999998807907104,0.2867553234100342,0.2990210950374603,0.20598092675209045,0.22559526562690735,0.34226128458976746,0.25883176922798157,0.5051238536834717
fixes,0.30188339948654175,0.2698952853679657,0.15831489861011505,0.2094319760799408,0.200810045003891,0.2301238626241684,0.1591905951499939,0.2970799207687378
the,0.42745697498321533,0.3029823303222656,0.3062323033809662,0.26581600308418274,0.2037150114774704,0.5107308030128479,0.2801888585090637,0.22068053483963013
constancy,0.19937188923358917,0.19178050756454468,0.1612352579832077,0.2193944752216339,0.7071918845176697,0.1711403876543045,0.21904458105564117,0.1750911921262741
of,0.33290785551071167,0.2927091419696808,0.2934032380580902,0.22847424447536469,0.25393494963645935,0.3966929316520691,0.2329314798116684,0.1826142966747284
the,0.42745697498321533,0.3029823303222656,0.3062323033809662,0.26581600308418274,0.2037150114774704,0.5107308030128479,0.2801888585090637,0.22068053483963013
length,0.20598092675209045,0.15330755710601807,0.16985498368740082,1.0,0.2570900619029999,0.2846580147743225,0.12514247000217438,0.16668567061424255
of,0.33290785551071167,0.2927091419696808,0.2934032380580902,0.22847424447536469,0.25393494963645935,0.3966929316520691,0.2329314798116684,0.1826142966747284
a,0.3320399522781372,0.3509295880794525,0.18630309402942657,0.2569684684276581,0.26609575748443604,0.3848365545272827,0.21121151745319366,0.23916715383529663
