,the,practice,of,occupying,and,looting,huguenot,homes,was,called,?
escalating,0.2923312485218048,0.2878837287425995,0.2931767404079437,0.3804650902748108,0.26168859004974365,0.5273299217224121,0.30061739683151245,0.22420534491539001,0.1913594752550125,0.1680855005979538,0.29522982239723206
",",0.4933079481124878,0.2838936448097229,0.4946078956127167,0.31829848885536194,0.6633074283599854,0.29912444949150085,0.24752236902713776,0.2378510683774948,0.45456063747406006,0.26549121737480164,0.31091248989105225
he,0.4571082592010498,0.27829742431640625,0.38706058263778687,0.26535916328430176,0.45427167415618896,0.22573082149028778,0.27812662720680237,0.13359268009662628,0.5410010814666748,0.23139433562755585,0.2089974731206894
instituted,0.30944254994392395,0.23266461491584778,0.3629485070705414,0.30225226283073425,0.24969662725925446,0.1961374431848526,0.23543433845043182,0.24330323934555054,0.279317170381546,0.21085497736930847,0.1225171610713005
dragonnades,0.37385791540145874,0.2233096957206726,0.256828635931015,0.2818099856376648,0.31552204489707947,0.30792009830474854,0.216186061501503,0.2954636812210083,0.22768966853618622,0.25680235028266907,0.21976925432682037
",",0.4933079481124878,0.2838936448097229,0.4946078956127167,0.31829848885536194,0.6633074283599854,0.29912444949150085,0.24752236902713776,0.2378510683774948,0.45456063747406006,0.26549121737480164,0.31091248989105225
which,0.6521818041801453,0.28014135360717773,0.5011631846427917,0.2734883725643158,0.506277859210968,0.2787237763404846,0.22239398956298828,0.2442801296710968,0.2830964922904968,0.5573342442512512,0.25814583897590637
included,0.3825419843196869,0.20056115090847015,0.4391688108444214,0.20744025707244873,0.3643590211868286,0.18201114237308502,0.16424623131752014,0.2082577794790268,0.3148443400859833,0.38541045784950256,0.14385655522346497
the,1.0,0.27333036065101624,0.733189046382904,0.3747284412384033,0.5171257257461548,0.3186131715774536,0.29557526111602783,0.22941356897354126,0.48711544275283813,0.489897221326828,0.22068053483963013
occupation,0.23079249262809753,0.19034607708454132,0.24415746331214905,0.4768368899822235,0.3541368842124939,0.23572993278503418,0.23496206104755402,0.14107148349285126,0.2635958790779114,0.1094021126627922,0.13284437358379364
and,0.5171257257461548,0.2791718542575836,0.5116966962814331,0.34813904762268066,1.0,0.2898617088794708,0.2762077748775482,0.3257494568824768,0.3740963041782379,0.3251761794090271,0.20544172823429108
looting,0.3186131715774536,0.26006045937538147,0.23755797743797302,0.44522011280059814,0.2898617088794708,1.0000001192092896,0.27023831009864807,0.3244496285915375,0.23773007094860077,0.18395601212978363,0.18481022119522095
of,0.733189046382904,0.2597380578517914,1.0,0.37898358702659607,0.5116966962814331,0.23755797743797302,0.29061198234558105,0.2122298777103424,0.4069072902202606,0.4222904443740845,0.1826142966747284
huguenot,0.29557526111602783,0.2525302469730377,0.29061198234558105,0.342575341463089,0.2762077748775482,0.27023831009864807,1.0000001192092896,0.21936725080013275,0.24281072616577148,0.17961494624614716,0.1359742432832718
homes,0.22941356897354126,0.2352609485387802,0.2122298777103424,0.2699490487575531,0.3257494568824768,0.3244496285915375,0.21936725080013275,1.0,0.21167151629924774,0.18369285762310028,0.12707971036434174
by,0.4408751428127289,0.199177086353302,0.3646814823150635,0.24263955652713776,0.4289871156215668,0.23072335124015808,0.1813904494047165,0.1980058252811432,0.4752357602119446,0.3092815577983856,0.17966607213020325
military,0.2290858030319214,0.19918090105056763,0.27347031235694885,0.34045374393463135,0.2530125379562378,0.22427138686180115,0.2661987245082855,0.20531204342842102,0.24704936146736145,0.135273739695549,0.1890317052602768
troops,0.3229958415031433,0.15029244124889374,0.23602326214313507,0.4745293855667114,0.23100681602954865,0.35984256863594055,0.3513084650039673,0.283688485622406,0.2910937964916229,0.11889089643955231,0.14329779148101807
",",0.4933079481124878,0.2838936448097229,0.4946078956127167,0.31829848885536194,0.6633074283599854,0.29912444949150085,0.24752236902713776,0.2378510683774948,0.45456063747406006,0.26549121737480164,0.31091248989105225
in,0.6662389636039734,0.24572531878948212,0.5696388483047485,0.32528671622276306,0.4954058527946472,0.3028382360935211,0.26198551058769226,0.2459857165813446,0.45514053106307983,0.40847352147102356,0.20430970191955566
an,0.4207492768764496,0.16544753313064575,0.32280945777893066,0.1493888646364212,0.2838519215583801,0.16212885081768036,0.18697282671928406,0.11669892817735672,0.3694365322589874,0.2858632802963257,0.19793890416622162
effort,0.25344645977020264,0.2823326885700226,0.21940191090106964,0.23008547723293304,0.25185704231262207,0.2922479212284088,0.23012496531009674,0.22849497199058533,0.23423828184604645,0.06065342575311661,0.27546563744544983
to,0.535392165184021,0.289366751909256,0.41548454761505127,0.2739917039871216,0.48971283435821533,0.22726956009864807,0.24496324360370636,0.2634379267692566,0.3636345863342285,0.2987143397331238,0.29463258385658264
forcibly,0.3338332176208496,0.2253924459218979,0.2843763530254364,0.4441075325012207,0.3080771267414093,0.42349544167518616,0.3398391902446747,0.27376946806907654,0.22755448520183563,0.2009388506412506,0.20553894340991974
convert,0.20079432427883148,0.25027573108673096,0.1875157654285431,0.16338062286376953,0.236050084233284,0.17684265971183777,0.19489090144634247,0.1913762092590332,0.10694126784801483,0.1585402935743332,0.2126215249300003
them,0.4788833558559418,0.2853124737739563,0.34503093361854553,0.29172608256340027,0.48717668652534485,0.32094109058380127,0.2368193119764328,0.3683183491230011,0.23709723353385925,0.24858705699443817,0.35435691475868225
.,0.5934505462646484,0.2513175904750824,0.5352458953857422,0.2618928551673889,0.588965117931366,0.28412654995918274,0.2060975730419159,0.27827757596969604,0.40146201848983765,0.300344854593277,0.4130953550338745
