,what,proposed,attacks,did,shirley,plan,?
in,0.30808621644973755,0.2148248553276062,0.223388671875,0.2593238651752472,0.21833598613739014,0.23924663662910461,0.20430970191955566
addition,0.20643717050552368,0.2413303256034851,0.252182275056839,0.24481791257858276,0.05813424661755562,0.22959387302398682,0.19187232851982117
to,0.455847829580307,0.28162798285484314,0.20225100219249725,0.4452643394470215,0.14755064249038696,0.36421895027160645,0.29463258385658264
renewing,0.29765042662620544,0.28147733211517334,0.20266219973564148,0.22107644379138947,0.2549741268157959,0.3289949595928192,0.22206877171993256
the,0.42745697498321533,0.23840250074863434,0.2845265567302704,0.34736719727516174,0.15386177599430084,0.2852855324745178,0.22068053483963013
efforts,0.20077113807201385,0.26913100481033325,0.24180375039577484,0.36157527565956116,0.16001218557357788,0.38471707701683044,0.16157089173793793
to,0.455847829580307,0.28162798285484314,0.20225100219249725,0.4452643394470215,0.14755064249038696,0.36421895027160645,0.29463258385658264
capture,0.20491331815719604,0.06422484666109085,0.4085727035999298,0.1035466119647026,0.12277411669492722,0.2699999511241913,0.12945853173732758
niagara,0.15394002199172974,0.17508889734745026,0.12704046070575714,0.11969159543514252,0.18408764898777008,0.15046697854995728,0.1411852240562439
",",0.3087472915649414,0.23817701637744904,0.25300389528274536,0.3015086054801941,0.2250218689441681,0.21265573799610138,0.31091248989105225
crown,0.11934377253055573,0.22755363583564758,0.10527914762496948,0.14185261726379395,0.12496813386678696,0.11721591651439667,0.09979621320962906
point,0.3286605179309845,0.19657954573631287,0.1733371913433075,0.18732239305973053,0.07170399278402328,0.21594679355621338,0.19189560413360596
and,0.31309178471565247,0.20594197511672974,0.28638073801994324,0.34479495882987976,0.2159835696220398,0.26844465732574463,0.20544172823429108
duquesne,0.19560393691062927,0.1586364507675171,0.08023995906114578,0.17667728662490845,0.31125563383102417,0.19357971847057343,0.18955427408218384
",",0.3087472915649414,0.23817701637744904,0.25300389528274536,0.3015086054801941,0.2250218689441681,0.21265573799610138,0.31091248989105225
he,0.3114890456199646,0.1249079629778862,0.22715699672698975,0.3292143940925598,0.21588757634162903,0.22293999791145325,0.2089974731206894
proposed,0.22754324972629547,1.0,0.12947817146778107,0.30101871490478516,0.08343793451786041,0.3594205975532532,0.24553193151950836
attacks,0.19946885108947754,0.12947817146778107,0.9999999403953552,0.13600324094295502,0.06863762438297272,0.2259524017572403,0.14532065391540527
on,0.34226128458976746,0.2377385050058365,0.2935330867767334,0.2670976221561432,0.22180449962615967,0.21909739077091217,0.2714994251728058
