,what,time,framd,does,the,seven,years,war,cover,?
``,0.008517155423760414,0.041467953473329544,0.02236872725188732,0.06539655476808548,0.029072100296616554,0.06245608255267143,0.023748915642499924,0.02770489826798439,-0.07604461163282394,0.0685480609536171
seven,0.15978287160396576,0.23534709215164185,0.15317782759666443,0.1019262820482254,0.28151169419288635,0.9999999403953552,0.262826532125473,0.19957704842090607,0.1579538732767105,0.1732930988073349
years,0.1981470286846161,0.42289087176322937,0.202577605843544,0.11878147721290588,0.2912273406982422,0.262826532125473,1.0,0.3038960099220276,0.12731869518756866,0.1914375126361847
'',0.08143015950918198,-0.01899585872888565,0.025479957461357117,-0.004023602232336998,0.041273195296525955,0.005304059479385614,0.03180740773677826,-0.04993505775928497,0.004184584598988295,0.018684765323996544
refers,0.200907364487648,0.1749909520149231,0.27150633931159973,0.2934504449367523,0.3041703402996063,0.1412118822336197,0.1246909350156784,0.14431026577949524,0.22917765378952026,0.07924893498420715
to,0.455847829580307,0.3679993152618408,0.22349980473518372,0.4391997456550598,0.535392165184021,0.2853301167488098,0.23891852796077728,0.2610234022140503,0.2887181341648102,0.29463258385658264
events,0.269866019487381,0.26387345790863037,0.11551345884799957,0.16785870492458344,0.3102840185165405,0.14508935809135437,0.24912318587303162,0.23569287359714508,0.12965911626815796,0.09835197776556015
in,0.30808621644973755,0.3431483507156372,0.1682843267917633,0.214483380317688,0.6662389636039734,0.24717609584331512,0.33554986119270325,0.29904094338417053,0.19227565824985504,0.20430970191955566
europe,0.17179538309574127,0.3088011145591736,0.17186832427978516,0.1306854486465454,0.34463706612586975,0.14857347309589386,0.26117831468582153,0.3000480532646179,0.19740472733974457,0.18278923630714417
",",0.3087472915649414,0.3029961884021759,0.21665659546852112,0.28617382049560547,0.4933079481124878,0.32867714762687683,0.2589467465877533,0.2671184241771698,0.24982257187366486,0.31091248989105225
from,0.2737620174884796,0.2964353561401367,0.16751457750797272,0.1777622550725937,0.40150508284568787,0.1701260805130005,0.31063511967658997,0.1811102032661438,0.19020850956439972,0.19969791173934937
the,0.42745697498321533,0.43061500787734985,0.17095425724983215,0.35928019881248474,1.0,0.28151169419288635,0.2912273406982422,0.366199791431427,0.26727065443992615,0.22068053483963013
official,0.18967986106872559,0.18294629454612732,0.14665289223194122,0.16098397970199585,0.3133983910083771,0.09089227020740509,0.14684586226940155,0.14714589715003967,0.1595933586359024,0.18097688257694244
declaration,0.2672334909439087,0.21609079837799072,0.2500109076499939,0.16446754336357117,0.28377723693847656,0.16800400614738464,0.16624867916107178,0.3986024558544159,0.1533554196357727,0.19811923801898956
of,0.33290785551071167,0.35127586126327515,0.16844218969345093,0.3119818866252899,0.733189046382904,0.273354172706604,0.2904134690761566,0.31680163741111755,0.26416900753974915,0.1826142966747284
war,0.22516006231307983,0.2664822041988373,0.13635596632957458,0.13401690125465393,0.366199791431427,0.19957704842090607,0.3038960099220276,1.0000001192092896,0.13952422142028809,0.15510529279708862
in,0.30808621644973755,0.3431483507156372,0.1682843267917633,0.214483380317688,0.6662389636039734,0.24717609584331512,0.33554986119270325,0.29904094338417053,0.19227565824985504,0.20430970191955566
1756,0.11805576831102371,0.06766369193792343,0.12614278495311737,0.03230726346373558,0.1283157765865326,0.1475348025560379,0.027495043352246284,0.08749715238809586,0.07302297651767731,0.1882779449224472
to,0.455847829580307,0.3679993152618408,0.22349980473518372,0.4391997456550598,0.535392165184021,0.2853301167488098,0.23891852796077728,0.2610234022140503,0.2887181341648102,0.29463258385658264
the,0.42745697498321533,0.43061500787734985,0.17095425724983215,0.35928019881248474,1.0,0.28151169419288635,0.2912273406982422,0.366199791431427,0.26727065443992615,0.22068053483963013
signing,0.2526516616344452,0.2791033983230591,0.14282344281673431,0.1372034102678299,0.3163802921772003,0.19416983425617218,0.19127359986305237,0.24651086330413818,0.16998058557510376,0.15776143968105316
of,0.33290785551071167,0.35127586126327515,0.16844218969345093,0.3119818866252899,0.733189046382904,0.273354172706604,0.2904134690761566,0.31680163741111755,0.26416900753974915,0.1826142966747284
the,0.42745697498321533,0.43061500787734985,0.17095425724983215,0.35928019881248474,1.0,0.28151169419288635,0.2912273406982422,0.366199791431427,0.26727065443992615,0.22068053483963013
peace,0.18390877544879913,0.22546234726905823,0.20840413868427277,0.1564483791589737,0.2625678777694702,0.13691307604312897,0.11236364394426346,0.36546048521995544,0.09729328006505966,0.1404135823249817
treaty,0.17237819731235504,0.1570194661617279,0.17255143821239471,0.13167302310466766,0.2690109610557556,0.18125413358211517,0.16044063866138458,0.412763386964798,0.09508942812681198,0.1174844279885292
in,0.30808621644973755,0.3431483507156372,0.1682843267917633,0.214483380317688,0.6662389636039734,0.24717609584331512,0.33554986119270325,0.29904094338417053,0.19227565824985504,0.20430970191955566
1763,0.10448963940143585,0.023535199463367462,0.1050771027803421,0.12341106683015823,0.08999345451593399,0.0751839205622673,0.011441891081631184,0.05294172465801239,0.09659703820943832,0.1296161562204361
.,0.3567904531955719,0.371569961309433,0.21085728704929352,0.3022993505001068,0.5934505462646484,0.2632206678390503,0.31919315457344055,0.3000848889350891,0.22325164079666138,0.4130953550338745
